,Speaker,Speaker Party,"('allgemein', 'volksinitiativ')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'villig')","('d', 'h')","('darum', 'geht')","('de', 'dardel')","('drei', 'jahr')","('einseit', 'massnahm')","('erneuerbar', 'energi')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('folg', 'geb')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'klar')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('herr', 'kolleg')","('herr', 'schluer')","('initiativ', 'folg')","('inn', 'sich')","('kanton', 'uri')","('kanton', 'zurich')","('kenntnis', 'nehm')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('konstruktiv', 'referendum')","('konsumentinn', 'konsument')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('pro', 'helvetia')","('pro', 'jahr')","('servic', 'public')","('spfraktion', 'bitt')","('spfraktion', 'mocht')","('spfraktion', 'unterstutzt')","('st', 'gall')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'stimmt')","('svpfraktion', 'unterstutzt')","('uns', 'kommission')","('vier', 'jahr')","('vorstoss', 'rahm')","('zweit', 'etapp')","('zweit', 'saul')"
0,Adolf Ogi,Schweizerische Volkspartei (SVP),-0.16041379958516502,-0.4243169591348368,-0.8379154240671367,-0.8942091948438389,1.2932224599073328,-0.4403458598135748,4.347373610741569,-0.3766376698624526,-0.28326664841758176,0.4998221536063164,0.08438569585959005,0.3151293690942408,0.27672832823265736,1.5788440366578689,-0.3702839754845841,-0.5600998972286942,0.7533545885779331,-0.07569544869743113,0.5389800283587167,1.6822127673027414,-0.17236201537219742,-0.24202886023675205,-0.36921020935260496,0.684726713668933,-0.39380260526894373,-0.8740228752587679,2.3302468007999657,-0.13266383572437976,1.4464085121147545,-0.4957494801771445,0.1308566873796994,-0.30114556934163217,-0.7066411685622235,-0.41110788545563437,-0.20257140795439899,0.7655675685220825,-0.19382348002840463,3.101613795670779,0.12396184451632017,-0.46487432225162356,0.2164694438807265,-0.4847242669579389,-0.05397045230876836,-0.3924356620054596,-0.29454657137075074,-0.31821983683874544,-0.2873102494155695,-0.46880208921481337,-0.21515757329434312,-0.4349368849965545,-0.2631766366166482,0.017373436824362893,-0.51391415967312,-0.8098356833694331,0.37031518175606587,0.9436090546268274,-0.49493824646466494,-0.5293904715527801,-0.5080758067142678,-0.3456735025924516,-0.44905466588915866,-0.9482683404449188,-0.24510492427021519,-0.5461842750674539,0.2113552160709142,-0.3582791461559158,-0.2600384891072186,-0.3411258636451095,-0.1434234310865928,-0.6579528127859616,-0.3401027415680334,-0.36544598376238985,-0.2739706576812735,-0.21933826914529223,-0.32716616540107873,-0.3438717412918083,-0.32622423023180497,-0.17523064678850264,-0.40598703675889786,-0.5428321575921794,0.25407315256034163,-0.10841896570973387,-0.2578591520524377,-0.29740974430998574
1,Bruno Zuppiger,Schweizerische Volkspartei (SVP),-0.16041379958516502,-0.4774350037054337,0.549865895746063,0.329234452367416,-0.6326541609906515,-0.13439410968241275,-0.3108794758444982,0.009587685513779653,-0.28326664841758176,-0.2828631459435293,-0.32909082381780613,0.31385004111014836,-0.5557556429673068,2.636316067500397,-0.3702839754845841,-0.30164633597635593,-0.3435678495267968,-0.35361050600676863,-0.39627452247923994,-0.32827639927257446,-0.17236201537219742,-0.01602982014099343,-0.36921020935260496,0.0017312570368392768,-0.39380260526894373,-0.3971380714102009,0.09661289355495106,-0.13266383572437976,0.10711227651222673,-0.4957494801771445,-0.3932815761945639,-0.2875636671552977,-0.12445946146304139,-0.4552669448424694,-0.1432682907647785,-0.29967690919061585,-0.19382348002840463,-0.018146839622131164,-0.2579885129612586,-0.006022480804943271,-0.037764246416090906,-0.4847242669579389,0.7884035115524817,-0.3924356620054596,-0.29454657137075074,-0.31821983683874544,-0.2873102494155695,0.2816983314822034,2.1393617753111362,0.2697777268628983,0.11916011822728091,0.3418743426602937,1.5212670311515208,0.0036221701738089417,-0.47960246186575456,-0.1551290794730801,-0.49493824646466494,-0.5293904715527801,1.2698376288142668,2.081128186512405,-0.3300210892854183,-0.9572853446573427,-0.11120005466991727,-0.30070805123657723,-0.4495725666687759,-0.3582791461559158,0.37145685057581257,-0.12295935502320567,-0.35909171059738515,-0.46055906856595147,1.9846132710910023,1.1904761651198257,0.05931840656091247,-0.21933826914529223,-0.32716616540107873,3.3903557698056503,3.5706995132224915,0.7688063004960503,-0.22215866335716028,-0.3248302718832276,-0.2372389238536098,-0.10841896570973387,-0.2578591520524377,-0.29740974430998574
2,Caspar Baader,Schweizerische Volkspartei (SVP),0.2591147724790643,-0.6237615411200998,0.09298315671291081,-0.028893169779547836,-0.4067797424902707,0.2984709590216758,-0.3108794758444982,1.7020317369766278,-0.28326664841758176,-0.2828631459435293,-0.11086710509918035,-0.26412191259208107,0.13482517810916025,0.06553885492682929,0.12072004271037134,-0.24804115290179685,1.0187557614278755,-0.2730817421241065,-0.14947123823033473,-0.551116028301449,-0.17236201537219742,-0.24202886023675205,-0.36921020935260496,0.43193775038321264,-0.39380260526894373,0.2775656140348086,-0.37668499757131607,-0.13266383572437976,-0.49346216396411824,-0.4957494801771445,-0.3932815761945639,-0.1434639413948718,-0.530908542160063,1.2762109704378048,-0.1667698964658503,-0.21936085729957908,-0.08455068388526091,-0.22593645893937336,-0.2579885129612586,-0.18786376611899805,-0.5218840798320796,-0.3736961592751189,0.5228283551240556,-0.004762569371285245,-0.29454657137075074,0.19623547677767625,0.5003215951523146,-0.3177754613461544,2.1007963721874257,-0.22221747437971964,0.42927770826735673,0.039018736148248065,0.8526330784551576,0.6634268736033274,-0.47960246186575456,-0.6069910826743408,0.5498696576066069,-0.5293904715527801,-0.3386021868364016,0.6310392759855524,-0.44905466588915866,0.38010254706042723,-0.24510492427021519,0.5971637150956445,-0.4495725666687759,-0.3582791461559158,-0.2600384891072186,-0.3411258636451095,-0.35909171059738515,0.17621852852897052,-0.10619613041777237,-0.2312579889117014,1.1344842397273716,-0.21933826914529223,-0.32716616540107873,0.15709869846859148,0.4579715354262819,-0.17523064678850264,0.3708580523202968,-0.5428321575921794,-0.2835593560432497,-0.10841896570973387,-0.2578591520524377,-0.20975956807795132
3,Christian Speck,Schweizerische Volkspartei (SVP),-0.16041379958516502,0.07218989426718289,-0.2623216451115348,0.7777158498961287,-0.3998828136810988,-0.4403458598135748,-0.3108794758444982,0.7188910090645084,-0.28326664841758176,-0.2828631459435293,-0.32909082381780613,-0.010401007682453969,-0.13934811112890533,-0.6343008771576478,-0.3702839754845841,-0.5600998972286942,-0.43979036489638657,-0.7418741890124607,-0.39627452247923994,1.5582374466795834,-0.17236201537219742,5.382069389474493,-0.36921020935260496,-0.5286603101025251,-0.39380260526894373,-0.08285521085860088,-0.37668499757131607,-0.13266383572437976,-0.07930717870782887,-0.4957494801771445,-0.3932815761945639,-0.4883413462750686,1.1043439126814154,0.7655407135180191,-0.12878203313067274,-0.29967690919061585,-0.11875056664761889,-0.22593645893937336,-0.2579885129612586,-0.274561726435316,-0.5218840798320796,-0.2558877091383862,0.5562914920438224,-0.3924356620054596,-0.29454657137075074,-0.31821983683874544,-0.2873102494155695,-0.46880208921481337,1.4769788972321405,0.0034924345953951177,-0.2631766366166482,-0.436545411960918,0.9893860944891089,-0.4724473115436102,0.44492627260836304,-0.18531070182430937,-0.49493824646466494,-0.5293904715527801,-0.3916435487829094,7.706615053623153,-0.44905466588915866,-0.006092969554909864,-0.24510492427021519,0.552898577433237,-0.2099231797975142,-0.3582791461559158,-0.2600384891072186,-0.3411258636451095,-0.35909171059738515,-0.6579528127859616,-0.3401027415680334,-0.36544598376238985,3.0436548367600276,1.6881982631723103,0.6374353199642551,-0.3438717412918083,-0.32622423023180497,0.6078636148266736,0.5089450201718875,-0.2715779028550868,-0.5751264051830667,-0.10841896570973387,-0.2578591520524377,-0.29740974430998574
4,Christoffel Brändli,Schweizerische Volkspartei (SVP),-0.16041379958516502,2.4969595652375443,-0.7215531014696307,-0.9294538082242665,0.6378894430739908,-0.4403458598135748,-0.3108794758444982,0.32690194430924363,0.04373035387379637,-0.2828631459435293,-0.32909082381780613,0.506282292050727,-0.03368481266249271,0.3012175307701878,-0.3702839754845841,-0.07250810921791709,-0.15021576807936968,0.28360928855581397,-0.39627452247923994,0.3824154082611025,-0.17236201537219742,-0.24202886023675205,-0.36921020935260496,0.2718380736355896,0.16549123928164167,1.4051626764681022,-0.019520385286216357,-0.13266383572437976,-0.665464030576445,0.11373534354676279,-0.3932815761945639,0.14115139704903068,-0.48697538555952286,0.3959767117997533,-0.20257140795439899,-0.29967690919061585,0.011063012739989837,-0.22593645893937336,-0.2579885129612586,-0.003190062030581105,-0.1565529092450141,1.5970527520949367,3.194127832047321,-0.3924356620054596,-0.29454657137075074,-0.31821983683874544,0.04086968582104882,-0.28001880437898974,-0.7148797787926415,-0.4349368849965545,-0.2631766366166482,0.9005389687204701,-0.6665603937193639,-0.6052158837898831,0.08110709469030751,0.5864685137438037,1.1375741036466973,-0.5293904715527801,-0.5080758067142678,0.26477198401880087,1.4372968744562276,0.020625867608080873,-0.24510492427021519,-0.7659712891127508,0.4224849244460929,-0.3582791461559158,-0.2600384891072186,-0.3411258636451095,-0.35909171059738515,0.08684302767379919,-0.3401027415680334,-0.36544598376238985,-0.2739706576812735,-0.21933826914529223,-0.32716616540107873,-0.3438717412918083,-0.32622423023180497,-0.17523064678850264,-0.40598703675889786,0.6087426183055703,0.29011011418775623,-0.10841896570973387,-0.2578591520524377,-0.29740974430998574
5,Christoph Blocher,Schweizerische Volkspartei (SVP),-0.16041379958516502,-0.8466701915742173,-0.06455352618832791,-0.9312300619490095,-0.16353036872062976,-0.4403458598135748,-0.3108794758444982,-1.015827007782471,-0.28326664841758176,-0.2828631459435293,-0.32909082381780613,-1.1445838607552905,-0.6355062082755387,1.570256554542119,-0.3702839754845841,2.3564491362880777,-0.34239962436336613,-0.2550512633976314,-0.39627452247923994,1.2245521587266213,-0.17236201537219742,-0.24202886023675205,0.2320760699114844,-0.5286603101025251,0.5354856287535674,-0.8740228752587679,-0.37668499757131607,-0.13266383572437976,-0.5841884232761148,0.17937217071702982,-0.3932815761945639,0.7599304931801061,-0.7066411685622235,-0.7622262600924194,-0.20257140795439899,-0.29967690919061585,-0.19382348002840463,-0.22593645893937336,-0.2579885129612586,0.685784910914667,0.6921395024264766,-0.4847242669579389,-0.5730893789983099,-0.3924356620054596,-0.29454657137075074,-0.31821983683874544,0.803256919986116,5.804611683791019,-0.3169577467221131,-0.4349368849965545,-0.2631766366166482,1.336071672556443,-0.30687122997774385,-0.12986834938200514,-0.47960246186575456,0.24285706950033803,-0.49493824646466494,-0.5293904715527801,-0.5080758067142678,-0.3456735025924516,-0.44905466588915866,-0.07688400090733277,-0.24510492427021519,0.5638759250050857,-0.4495725666687759,-0.3582791461559158,-0.2600384891072186,-0.3411258636451095,-0.35909171059738515,-0.16295003881885903,-0.3401027415680334,-0.36544598376238985,-0.2739706576812735,-0.21933826914529223,1.6168768281813632,-0.3438717412918083,-0.32622423023180497,0.613887416839098,0.05499796115622869,-0.5428321575921794,0.19473578539004563,-0.10841896570973387,-0.2578591520524377,1.1589316453915086
6,Christoph Mörgeli,Schweizerische Volkspartei (SVP),-0.16041379958516502,-0.8466701915742173,-0.8379154240671367,0.11265349067529949,0.15937302076393073,-0.4403458598135748,-0.3108794758444982,-0.17909819584975056,-0.28326664841758176,4.786802998867971,-0.32909082381780613,-0.3727503347680614,-0.6355062082755387,-0.8771758484466051,-0.3702839754845841,-0.01298391691530266,-0.40175153136778874,0.0800346464411473,-0.39627452247923994,1.4900884823406357,-0.17236201537219742,-0.24202886023675205,5.721741710465443,-0.5286603101025251,-0.39380260526894373,-0.8740228752587679,-0.37668499757131607,-0.13266383572437976,0.24560337049626887,-0.4957494801771445,-0.3932815761945639,-0.5621189026602703,0.5257694581542269,-0.7622262600924194,0.6761929649463408,-0.29967690919061585,-0.19382348002840463,-0.22593645893937336,-0.2579885129612586,-0.46487432225162356,0.5029410220744938,-0.4847242669579389,-0.5730893789983099,-0.3924356620054596,-0.29454657137075074,0.4033538497920799,-0.2873102494155695,0.5903456906433142,-1.042283982394975,2.548660043135674,1.3555478059693375,0.5526802034442615,0.144410653579061,-0.8098356833694331,-0.47960246186575456,-0.6069910826743408,-0.49493824646466494,-0.5293904715527801,0.6804404885331053,1.366745005304049,-0.44905466588915866,-1.0199645202802898,-0.24510492427021519,-0.8741566069070679,-0.4495725666687759,-0.3582791461559158,-0.2600384891072186,-0.3411258636451095,-0.35909171059738515,-0.6579528127859616,1.3002812846805503,-0.36544598376238985,2.5481653148629504,-0.21933826914529223,-0.32716616540107873,-0.3438717412918083,-0.32622423023180497,-0.17523064678850264,0.37229932335754956,-0.5428321575921794,-0.7276905588027383,-0.10841896570973387,-0.2578591520524377,-0.29740974430998574
7,Elmar Bigger,Schweizerische Volkspartei (SVP),-0.16041379958516502,-0.8466701915742173,1.4470174560293436,0.7604093944517206,-0.6326541609906515,-0.4403458598135748,-0.3108794758444982,1.2109943990544496,-0.28326664841758176,-0.2828631459435293,-0.32909082381780613,-1.1445838607552905,-0.6355062082755387,-0.8771758484466051,-0.3702839754845841,-0.5600998972286942,-0.7232410276417446,-0.7418741890124607,-0.39627452247923994,-0.890582005233286,-0.17236201537219742,-0.24202886023675205,-0.36921020935260496,-0.5286603101025251,-0.39380260526894373,-0.8740228752587679,6.636729207299734,-0.13266383572437976,0.4179243500336649,-0.4957494801771445,-0.3932815761945639,-0.9823302020716368,-0.7066411685622235,-0.7622262600924194,0.23681077849597093,-0.29967690919061585,-0.19382348002840463,-0.22593645893937336,-0.2579885129612586,-0.46487432225162356,-0.5218840798320796,-0.4847242669579389,-0.5730893789983099,-0.3924356620054596,-0.29454657137075074,-0.31821983683874544,-0.2873102494155695,3.2382151402886326,1.100725350274844,4.7863577392348455,-0.2631766366166482,-0.4418597475770625,-0.9625071740131018,-0.8098356833694331,-0.47960246186575456,-0.6069910826743408,-0.49493824646466494,-0.5293904715527801,3.651731226651538,-0.3456735025924516,-0.44905466588915866,-1.0199645202802898,-0.24510492427021519,1.2502096334177042,-0.4495725666687759,-0.3582791461559158,-0.2600384891072186,-0.3411258636451095,2.4347928194287882,-0.6579528127859616,-0.3401027415680334,-0.36544598376238985,-0.2739706576812735,-0.21933826914529223,-0.32716616540107873,5.804401837585826,-0.32622423023180497,-0.17523064678850264,2.318015223648668,-0.5428321575921794,1.0892098161224422,-0.10841896570973387,-0.2578591520524377,-0.29740974430998574
8,Ernst Schibli,Schweizerische Volkspartei (SVP),-0.16041379958516502,-0.8466701915742173,-0.8379154240671367,-1.5067362687657526,-0.6326541609906515,-0.4403458598135748,-0.3108794758444982,-1.2216676420279007,-0.28326664841758176,-0.2828631459435293,-0.32909082381780613,-1.1445838607552905,4.56423064982118,-0.8771758484466051,-0.3702839754845841,-0.5600998972286942,-0.7232410276417446,5.586823843980321,-0.39627452247923994,-0.890582005233286,-0.17236201537219742,-0.24202886023675205,-0.36921020935260496,-0.5286603101025251,-0.39380260526894373,-0.8740228752587679,-0.37668499757131607,-0.13266383572437976,-0.788322506728107,-0.4957494801771445,-0.3932815761945639,2.2532968033958856,-0.7066411685622235,-0.7622262600924194,-0.20257140795439899,-0.29967690919061585,-0.19382348002840463,-0.22593645893937336,-0.2579885129612586,-0.46487432225162356,-0.5218840798320796,-0.4847242669579389,-0.5730893789983099,-0.3924356620054596,-0.29454657137075074,-0.31821983683874544,-0.2873102494155695,-0.46880208921481337,-1.042283982394975,-0.4349368849965545,-0.2631766366166482,-0.3722419510055698,-0.9625071740131018,-0.8098356833694331,-0.47960246186575456,-0.6069910826743408,-0.49493824646466494,-0.5293904715527801,5.592974508888914,-0.3456735025924516,-0.44905466588915866,1.0233766050277837,-0.24510492427021519,-0.8741566069070679,-0.4495725666687759,-0.3582791461559158,-0.2600384891072186,-0.3411258636451095,-0.35909171059738515,-0.6579528127859616,-0.3401027415680334,-0.36544598376238985,-0.2739706576812735,-0.21933826914529223,-0.32716616540107873,-0.3438717412918083,-0.32622423023180497,-0.17523064678850264,5.586817936137747,-0.5428321575921794,3.269490266032659,-0.10841896570973387,-0.2578591520524377,-0.29740974430998574
9,Fritz Abraham Oehrli,Schweizerische Volkspartei (SVP),-0.16041379958516502,-0.8466701915742173,-0.8379154240671367,2.649697447132948,0.3837807222610623,-0.4403458598135748,-0.3108794758444982,1.4542606031626848,-0.28326664841758176,-0.2828631459435293,-0.32909082381780613,2.817494905979151,-0.6355062082755387,-0.8771758484466051,-0.3702839754845841,0.844164452242344,-0.31066284075683465,-0.7418741890124607,-0.39627452247923994,-0.890582005233286,-0.17236201537219742,-0.24202886023675205,-0.36921020935260496,-0.5286603101025251,-0.39380260526894373,0.8533598586815968,-0.37668499757131607,-0.13266383572437976,0.5385490357098421,-0.4957494801771445,-0.3932815761945639,-0.9823302020716368,-0.7066411685622235,-0.7622262600924194,-0.20257140795439899,-0.29967690919061585,-0.029914285813689052,-0.22593645893937336,-0.2579885129612586,0.3661573461462529,1.6701029436903134,-0.4847242669579389,-0.5730893789983099,-0.3924356620054596,-0.29454657137075074,-0.31821983683874544,-0.2873102494155695,0.8904375616031168,-1.042283982394975,-0.4349368849965545,-0.2631766366166482,-0.24460932395783322,2.5888541895117534,1.4000581520897077,-0.47960246186575456,-0.6069910826743408,-0.49493824646466494,-0.5293904715527801,0.00034505291933068936,-0.3456735025924516,-0.44905466588915866,-0.3388508118442653,-0.24510492427021519,-0.0952223187879848,-0.4495725666687759,-0.3582791461559158,-0.2600384891072186,-0.3411258636451095,-0.35909171059738515,2.5595652180002055,-0.3401027415680334,-0.36544598376238985,-0.2739706576812735,-0.21933826914529223,3.884926987360879,-0.3438717412918083,-0.32622423023180497,-0.17523064678850264,-0.40598703675889786,-0.5428321575921794,-0.7276905588027383,-0.10841896570973387,-0.2578591520524377,-0.29740974430998574
