,Speaker,Speaker Party,"('allgemein', 'volksinitiativ')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'villig')","('d', 'h')","('darum', 'geht')","('de', 'dardel')","('drei', 'jahr')","('einseit', 'massnahm')","('erneuerbar', 'energi')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('folg', 'geb')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'klar')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('herr', 'kolleg')","('herr', 'schluer')","('initiativ', 'folg')","('inn', 'sich')","('kanton', 'uri')","('kanton', 'zurich')","('kenntnis', 'nehm')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('konstruktiv', 'referendum')","('konsumentinn', 'konsument')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('pro', 'helvetia')","('pro', 'jahr')","('servic', 'public')","('spfraktion', 'bitt')","('spfraktion', 'mocht')","('spfraktion', 'unterstutzt')","('st', 'gall')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'stimmt')","('svpfraktion', 'unterstutzt')","('uns', 'kommission')","('vier', 'jahr')","('vorstoss', 'rahm')","('zweit', 'etapp')","('zweit', 'saul')"
12,Hans Hofmann,Schweizerische Volkspartei (SVP),0.0,0.014336917562724014,0.010752688172043012,0.017921146953405017,0.025089605734767026,0.0,0.0,0.06093189964157706,0.0,0.0035842293906810036,0.0,0.017921146953405017,0.05017921146953405,0.025089605734767026,0.010752688172043012,0.010752688172043012,0.03942652329749104,0.0,0.0,0.02867383512544803,0.0,0.0035842293906810036,0.010752688172043012,0.0035842293906810036,0.017921146953405017,0.02867383512544803,0.0,0.0,0.04659498207885305,0.010752688172043012,0.0,0.0035842293906810036,0.0,0.007168458781362007,0.0035842293906810036,0.0,0.02867383512544803,0.0,0.0035842293906810036,0.1003584229390681,0.0035842293906810036,0.007168458781362007,0.0,0.021505376344086023,0.0,0.0,0.014336917562724014,0.0,0.017921146953405017,0.0,0.0,0.12186379928315412,0.010752688172043012,0.0035842293906810036,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.007168458781362007,0.0,0.0,0.0,0.0,0.0,0.017921146953405017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05734767025089606,0.05734767025089606,0.0,0.0,0.0
13,Hans Kaufmann,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.006172839506172839,0.018518518518518517,0.0,0.006172839506172839,0.07407407407407407,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06172839506172839,0.0,0.0,0.024691358024691357,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.018518518518518517,0.006172839506172839,0.0,0.012345679012345678,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.006172839506172839,0.0,0.42592592592592593,0.0,0.006172839506172839,0.0,0.06172839506172839,0.0,0.0,0.012345679012345678,0.024691358024691357,0.043209876543209874,0.030864197530864196,0.0,0.037037037037037035,0.012345679012345678,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.006172839506172839
14,Hans Lauri,Schweizerische Volkspartei (SVP),0.0,0.022099447513812154,0.027624309392265192,0.049723756906077346,0.0055248618784530384,0.0,0.0,0.03314917127071823,0.011049723756906077,0.0,0.0,0.027624309392265192,0.0,0.06629834254143646,0.016574585635359115,0.011049723756906077,0.022099447513812154,0.022099447513812154,0.0,0.03314917127071823,0.0,0.0,0.0,0.0,0.0,0.016574585635359115,0.0,0.0,0.027624309392265192,0.0,0.0,0.022099447513812154,0.0,0.022099447513812154,0.022099447513812154,0.0,0.0055248618784530384,0.0055248618784530384,0.0,0.0,0.03867403314917127,0.0055248618784530384,0.0,0.011049723756906077,0.0,0.0,0.0,0.0,0.03314917127071823,0.0,0.0,0.2596685082872928,0.03314917127071823,0.0055248618784530384,0.0,0.016574585635359115,0.0,0.0,0.0,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.0,0.04419889502762431,0.016574585635359115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016574585635359115,0.027624309392265192,0.0,0.0,0.0
15,Hans Ulrich Mathys,Schweizerische Volkspartei (SVP),0.0,0.011235955056179775,0.011235955056179775,0.02247191011235955,0.0,0.0,0.011235955056179775,0.02247191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.033707865168539325,0.0,0.0,0.0,0.0449438202247191,0.0,0.02247191011235955,0.0,0.0,0.0,0.0,0.0449438202247191,0.0,0.0,0.5842696629213483,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865168539325,0.011235955056179775,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0449438202247191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865168539325,0.0,0.011235955056179775,0.0,0.0,0.0
16,Hansjörg Walter,Schweizerische Volkspartei (SVP),0.0,0.014285714285714285,0.007142857142857143,0.06428571428571428,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.007142857142857143,0.04285714285714286,0.02142857142857143,0.014285714285714285,0.0,0.007142857142857143,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.007142857142857143,0.007142857142857143,0.0,0.02142857142857143,0.007142857142857143,0.007142857142857143,0.02857142857142857,0.007142857142857143,0.0,0.007142857142857143,0.0,0.007142857142857143,0.0,0.0,0.0,0.05714285714285714,0.02857142857142857,0.007142857142857143,0.0,0.0,0.014285714285714285,0.0,0.007142857142857143,0.02142857142857143,0.014285714285714285,0.0,0.34285714285714286,0.007142857142857143,0.007142857142857143,0.0,0.04285714285714286,0.0,0.0,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.02142857142857143,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.014285714285714285,0.0,0.007142857142857143,0.0
17,Hanspeter Seiler,Schweizerische Volkspartei (SVP),0.0,0.009868421052631578,0.02631578947368421,0.06907894736842106,0.013157894736842105,0.0,0.0,0.10526315789473684,0.0,0.003289473684210526,0.0,0.006578947368421052,0.003289473684210526,0.009868421052631578,0.0,0.01644736842105263,0.006578947368421052,0.0,0.006578947368421052,0.009868421052631578,0.0,0.0,0.003289473684210526,0.0,0.0,0.04276315789473684,0.0,0.0,0.009868421052631578,0.003289473684210526,0.0,0.009868421052631578,0.006578947368421052,0.029605263157894735,0.003289473684210526,0.006578947368421052,0.029605263157894735,0.0,0.0,0.003289473684210526,0.019736842105263157,0.10855263157894737,0.0,0.006578947368421052,0.003289473684210526,0.0,0.0,0.003289473684210526,0.01644736842105263,0.0,0.0,0.019736842105263157,0.039473684210526314,0.039473684210526314,0.0,0.003289473684210526,0.013157894736842105,0.0,0.0,0.0,0.0,0.05263157894736842,0.003289473684210526,0.009868421052631578,0.039473684210526314,0.0,0.0,0.0,0.006578947368421052,0.01644736842105263,0.0,0.0,0.0,0.0,0.01644736842105263,0.0,0.0,0.0,0.003289473684210526,0.006578947368421052,0.029605263157894735,0.10855263157894737,0.0,0.0
18,Hansruedi Wandfluh,Schweizerische Volkspartei (SVP),0.0,0.0,0.006666666666666667,0.05333333333333334,0.0,0.006666666666666667,0.0,0.013333333333333334,0.0,0.0,0.0,0.03333333333333333,0.02666666666666667,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.013333333333333334,0.0,0.0,0.06666666666666667,0.0,0.0,0.02666666666666667,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.0,0.013333333333333334,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.006666666666666667,0.02,0.02666666666666667,0.05333333333333334,0.0,0.25333333333333335,0.02666666666666667,0.06,0.0,0.0,0.006666666666666667,0.0,0.03333333333333333,0.0,0.0,0.02666666666666667,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.013333333333333334,0.006666666666666667,0.02,0.006666666666666667,0.0,0.006666666666666667,0.0,0.013333333333333334,0.0,0.0,0.013333333333333334
19,Hermann Bürgi,Schweizerische Volkspartei (SVP),0.0,0.01405152224824356,0.01873536299765808,0.03278688524590164,0.00468384074941452,0.0,0.00234192037470726,0.14754098360655737,0.00702576112412178,0.0,0.00702576112412178,0.0,0.0,0.01639344262295082,0.00234192037470726,0.03278688524590164,0.03278688524590164,0.0234192037470726,0.0,0.00234192037470726,0.0,0.00468384074941452,0.0,0.0,0.00468384074941452,0.01639344262295082,0.0,0.0,0.04215456674473068,0.0,0.00468384074941452,0.04449648711943794,0.01873536299765808,0.03044496487119438,0.02576112412177986,0.0,0.01405152224824356,0.00468384074941452,0.0,0.00936768149882904,0.0702576112412178,0.00468384074941452,0.00702576112412178,0.06323185011709602,0.0,0.00468384074941452,0.0,0.00234192037470726,0.02576112412177986,0.0,0.0,0.13817330210772832,0.0,0.00702576112412178,0.00468384074941452,0.0117096018735363,0.0,0.0,0.0,0.0,0.0117096018735363,0.01873536299765808,0.0,0.00936768149882904,0.0,0.0,0.0,0.0,0.03747072599531616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117096018735363,0.00702576112412178,0.0,0.0,0.0
20,Hermann Weyeneth,Schweizerische Volkspartei (SVP),0.0,0.0029411764705882353,0.0058823529411764705,0.052941176470588235,0.008823529411764706,0.0,0.0,0.04411764705882353,0.0,0.0,0.0,0.03529411764705882,0.03235294117647059,0.03235294117647059,0.0,0.026470588235294117,0.011764705882352941,0.020588235294117647,0.0,0.020588235294117647,0.0,0.008823529411764706,0.0,0.0,0.0,0.0029411764705882353,0.0,0.0,0.04411764705882353,0.0029411764705882353,0.0,0.03235294117647059,0.0029411764705882353,0.0029411764705882353,0.0029411764705882353,0.0,0.0,0.0,0.0,0.0,0.01764705882352941,0.01764705882352941,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.27058823529411763,0.026470588235294117,0.020588235294117647,0.0,0.020588235294117647,0.0029411764705882353,0.0,0.0058823529411764705,0.0058823529411764705,0.011764705882352941,0.023529411764705882,0.0029411764705882353,0.0029411764705882353,0.0029411764705882353,0.0,0.0,0.0,0.0029411764705882353,0.020588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0029411764705882353,0.07058823529411765,0.0029411764705882353,0.0029411764705882353,0.0
21,J. Alexander Baumann,Schweizerische Volkspartei (SVP),0.0,0.01079136690647482,0.007194244604316547,0.02158273381294964,0.014388489208633094,0.0,0.039568345323741004,0.13309352517985612,0.025179856115107913,0.0035971223021582736,0.0035971223021582736,0.017985611510791366,0.0,0.017985611510791366,0.0035971223021582736,0.0,0.02158273381294964,0.01079136690647482,0.0035971223021582736,0.02158273381294964,0.0,0.0,0.0,0.0035971223021582736,0.0,0.07194244604316546,0.007194244604316547,0.0,0.0035971223021582736,0.0,0.0,0.050359712230215826,0.039568345323741004,0.017985611510791366,0.0035971223021582736,0.0,0.04316546762589928,0.014388489208633094,0.0,0.0,0.007194244604316547,0.01079136690647482,0.0,0.0539568345323741,0.0,0.0,0.0,0.0,0.017985611510791366,0.01079136690647482,0.0,0.07553956834532374,0.014388489208633094,0.01079136690647482,0.0,0.007194244604316547,0.01079136690647482,0.0,0.01079136690647482,0.0,0.0,0.10431654676258993,0.0,0.0035971223021582736,0.0035971223021582736,0.0,0.0,0.0,0.0,0.01079136690647482,0.007194244604316547,0.0,0.0,0.0,0.0,0.0035971223021582736,0.0,0.0,0.01079136690647482,0.0035971223021582736,0.007194244604316547,0.0,0.0,0.0035971223021582736
