,Speaker Party,Speaker,"('allgemein', 'volksinitiativ')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'villig')","('d', 'h')","('darum', 'geht')","('de', 'dardel')","('drei', 'jahr')","('einseit', 'massnahm')","('erneuerbar', 'energi')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('folg', 'geb')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'klar')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('herr', 'kolleg')","('herr', 'schluer')","('initiativ', 'folg')","('inn', 'sich')","('kanton', 'uri')","('kanton', 'zurich')","('kenntnis', 'nehm')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('konstruktiv', 'referendum')","('konsumentinn', 'konsument')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('pro', 'helvetia')","('pro', 'jahr')","('servic', 'public')","('spfraktion', 'bitt')","('spfraktion', 'mocht')","('spfraktion', 'unterstutzt')","('st', 'gall')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'stimmt')","('svpfraktion', 'unterstutzt')","('uns', 'kommission')","('vier', 'jahr')","('vorstoss', 'rahm')","('zweit', 'etapp')","('zweit', 'saul')"
82,Sozialdemokratische Partei der Schweiz (SP),Roberto Zanetti,0,0,0,4,0,0,0,3,0,0,0,1,7,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
83,Sozialdemokratische Partei der Schweiz (SP),Rudolf Rechsteiner,0,0,6,26,0,3,0,0,0,0,0,2,7,2,0,3,8,5,0,4,0,56,4,1,0,1,0,0,8,2,0,9,0,2,2,0,2,0,0,0,1,0,2,0,0,2,0,8,8,0,0,31,6,4,2,9,0,3,0,1,2,4,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,34
84,Sozialdemokratische Partei der Schweiz (SP),Rudolf Strahm,0,3,11,36,7,0,0,26,1,0,0,8,1,5,3,14,24,5,0,6,0,2,0,2,0,10,1,0,6,0,0,13,0,2,2,2,6,0,0,4,0,1,3,3,0,0,0,3,9,0,3,77,16,13,10,5,2,12,0,2,1,26,0,21,0,2,2,3,3,0,0,0,0,0,0,1,0,0,1,0,9,0,0,1
85,Sozialdemokratische Partei der Schweiz (SP),Ruth-Gaby Vermot-Mangold,0,1,0,9,3,0,0,3,0,0,0,5,1,1,1,2,2,2,0,1,0,0,0,0,0,7,0,0,1,1,6,6,0,1,0,1,2,0,0,0,4,0,1,0,0,0,0,1,1,0,0,11,4,2,0,2,0,1,0,0,0,27,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Sozialdemokratische Partei der Schweiz (SP),Simonetta Sommaruga,0,1,4,28,2,0,0,15,0,1,0,9,49,3,3,0,1,3,1,0,0,6,5,0,0,0,1,0,2,1,1,24,0,3,0,0,0,0,0,0,1,0,1,0,0,53,0,6,3,0,3,33,10,10,1,7,1,26,0,0,0,1,0,6,7,3,1,2,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0
87,Sozialdemokratische Partei der Schweiz (SP),Stephanie Baumann,0,0,1,6,0,0,1,4,0,0,0,0,6,2,0,0,5,1,0,2,0,0,0,1,0,2,0,0,1,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,13,1,3,0,1,0,1,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
88,Sozialdemokratische Partei der Schweiz (SP),Susanne Leutenegger Oberholzer,0,3,4,19,9,15,0,6,2,1,0,7,24,2,3,6,3,2,1,1,0,0,0,4,1,11,0,0,34,2,1,4,6,3,0,1,6,0,0,2,2,1,1,2,10,2,0,0,4,0,0,27,4,5,13,1,0,5,0,0,1,46,0,3,13,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
89,Sozialdemokratische Partei der Schweiz (SP),Urs Hofmann,0,2,5,11,0,3,4,8,0,0,0,5,5,2,0,14,4,2,0,4,0,2,0,0,1,0,0,0,1,0,0,8,0,0,2,0,0,0,0,0,6,5,0,0,0,0,0,4,14,0,0,100,5,4,0,40,1,0,0,0,0,0,2,4,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,2
90,Sozialdemokratische Partei der Schweiz (SP),Ursula Koch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Sozialdemokratische Partei der Schweiz (SP),Ursula Wyss,0,0,0,4,3,2,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,1,0,1,0,2,0,0,0,6,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
92,Sozialdemokratische Partei der Schweiz (SP),Vreni Hubmann,0,1,2,14,3,1,0,10,0,0,0,3,10,0,0,4,1,0,0,1,0,0,0,0,0,2,0,0,6,1,1,3,1,1,0,0,0,0,0,4,1,0,0,0,4,0,0,0,0,0,0,4,3,2,0,0,0,5,1,0,0,5,0,3,0,1,0,4,7,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0
93,Sozialdemokratische Partei der Schweiz (SP),Vreni Müller-Hemmi,0,3,1,10,1,0,1,35,0,5,1,0,0,8,1,1,3,1,0,4,0,0,3,0,0,3,0,0,2,1,0,8,0,8,0,5,1,0,0,0,6,15,3,0,0,0,0,1,3,0,0,61,1,1,0,4,9,4,0,0,0,25,54,11,1,0,0,1,2,4,0,0,0,0,0,0,0,0,0,2,12,0,0,0
94,Sozialdemokratische Partei der Schweiz (SP),Werner Marti,0,0,8,21,1,2,3,7,7,0,0,0,0,4,1,2,1,1,0,0,0,0,0,2,2,1,0,0,1,2,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,1,2,0,5,0,0,15,11,4,1,2,0,6,0,0,2,5,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
