,Speaker Party,Phrase,Counts,Freq,N,tf_idf
3,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",207.0,2,13,387.4630506186294
6,Schweizerische Volkspartei (SVP),"('artikel', 'absatz')",504.0,9,13,185.33328918315993
7,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",185.0,5,13,176.76961733007573
8,Sozialdemokratische Partei der Schweiz (SP),"('artikel', 'absatz')",465.0,9,13,170.99202275827255
22,Schweizerische Volkspartei (SVP),"('million', 'frank')",1543.0,12,13,123.50589794026659
33,Sozialdemokratische Partei der Schweiz (SP),"('bitt', 'deshalb')",295.0,9,13,108.47881013696862
34,Sozialdemokratische Partei der Schweiz (SP),"('antrag', 'mind')",649.0,11,13,108.41810094639489
42,Schweizerische Volkspartei (SVP),"('mehrheit', 'svpfraktion')",81.0,4,13,95.47105470367335
44,Sozialdemokratische Partei der Schweiz (SP),"('million', 'frank')",1186.0,12,13,94.93065130081412
53,Sozialdemokratische Partei der Schweiz (SP),"('parlamentar', 'initiativ')",532.0,11,13,88.87277304080443
57,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bitt')",59.0,3,13,86.51388705881219
58,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'unterstutzt')",73.0,4,13,86.04181473294017
64,Schweizerische Volkspartei (SVP),"('svpfraktion', 'unterstutzt')",71.0,4,13,83.68450474025688
66,Sozialdemokratische Partei der Schweiz (SP),"('stimm', 'enthalt')",132.0,7,13,81.71317550962151
70,Schweizerische Volkspartei (SVP),"('antrag', 'mind')",476.0,11,13,79.51774429966713
71,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bitt')",31.0,1,13,79.51343008130763
79,Sozialdemokratische Partei der Schweiz (SP),"('antwort', 'bundesrat')",121.0,7,13,74.90374421715305
84,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bittet')",29.0,1,13,74.38353136638456
88,Sozialdemokratische Partei der Schweiz (SP),"('pro', 'helvetia')",61.0,4,13,71.89795477684042
93,Schweizerische Volkspartei (SVP),"('bitt', 'antrag')",193.0,9,13,70.97088256418624
96,Schweizerische Volkspartei (SVP),"('folg', 'geb')",191.0,9,13,70.23543300393561
100,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'rechtsfrag')",143.0,8,13,69.42761765678321
111,Sozialdemokratische Partei der Schweiz (SP),"('kanton', 'zurich')",107.0,7,13,66.23719529946591
114,Sozialdemokratische Partei der Schweiz (SP),"('servic', 'public')",179.0,9,13,65.82273564243181
115,Schweizerische Volkspartei (SVP),"('parlamentar', 'initiativ')",390.0,11,13,65.15109301863484
