,Phrase,Counts,Freq,N,tf_idf
110,"('vergang', 'jahr')",364,11,15,147.58929935137184
113,"('aeschi', 'thomas')",361,8,15,146.37290402704735
40,"('initiativ', 'folg')",655,13,15,146.1590261108074
41,"('geh', 'davon')",654,12,15,145.9358825594932
176,"('gleich', 'lang')",285,8,15,145.58530277330735
177,"('vorlieg', 'motion')",285,12,15,145.58530277330735
42,"('imm', 'mehr')",652,9,15,145.48959545686478
178,"('frank', 'mehr')",284,11,15,145.07447714954137
333,"('eben', 'gerad')",190,11,15,144.80660988891037
246,"('wichtig', 'punkt')",230,11,15,144.57999166714603
68,"('sinn', 'bitt')",465,10,15,144.22204166128535
179,"('bundesamt', 'justiz')",282,12,15,144.05282590200937
69,"('kommission', 'folg')",464,9,15,143.91188673298151
252,"('lehn', 'ab')",227,13,15,142.6941656888789
253,"('verfug', 'steh')",227,9,15,142.6941656888789
72,"('geht', 'frag')",460,8,15,142.67126701976613
184,"('nationalrat', 'folg')",279,6,15,142.5203490307114
185,"('gesagt', 'wurd')",279,10,15,142.5203490307114
118,"('ganz', 'kurz')",351,12,15,142.3182529459657
470,"('offent', 'beschaffungswes')",155,6,15,142.02506344049405
350,"('sech', 'jahr')",186,10,15,141.7580496807228
189,"('geschatzt', 'kolleg')",276,9,15,140.98787215941343
258,"('beantragt', 'bundesrat')",224,10,15,140.8083397106118
193,"('kanton', 'bern')",274,10,15,139.96622091188146
124,"('standerat', 'folg')",342,10,15,138.66906697299223
197,"('rechnung', 'getrag')",271,12,15,138.4337440405835
269,"('forschung', 'innovation')",220,11,15,138.2939050729223
198,"('schweiz', 'wirtschaft')",269,12,15,137.4120927930515
369,"('mehrheit', 'uns')",180,11,15,137.1852093684414
199,"('zinsbereinigt', 'gewinnsteu')",268,7,15,136.90126716928552
79,"('zwei', 'drei')",439,12,15,136.1580135253855
81,"('international', 'zusammenarbeit')",436,10,15,135.227548740474
375,"('nam', 'mind')",177,10,15,134.89878921230073
82,"('art', 'weis')",434,12,15,134.60723888386633
84,"('bitt', 'motion')",433,11,15,134.29708395556247
282,"('jahr', 'prozent')",213,9,15,133.8936444569657
283,"('amtlich', 'bulletin')",212,9,15,133.2650357975433
135,"('worum', 'geht')",328,11,15,132.99255545947793
207,"('motion', 'bundesrat')",260,12,15,132.81466217915758
287,"('ja', 'eigent')",211,10,15,132.63642713812092
389,"('heut', 'geltend')",174,7,15,132.61236905616002
140,"('mind', 'kommission')",323,12,15,130.9652299189371
141,"('de', 'la')",323,8,15,130.9652299189371
212,"('ja', 'bereit')",256,12,15,130.77135968409362
550,"('frag', 'warum')",142,10,15,130.11328392613004
403,"('moglich', 'geb')",170,8,15,129.56380884797244
404,"('nachhalt', 'entwickl')",170,10,15,129.56380884797244
298,"('mindest', 'prozent')",206,10,15,129.49338384100906
300,"('frau', 'bundesprasidentin')",206,8,15,129.49338384100906
88,"('letzt', 'woch')",417,12,15,129.33460510270106
146,"('grund', 'weshalb')",318,10,15,128.93790437839627
148,"('schluss', 'gekomm')",315,10,15,127.72150905407179
90,"('darauf', 'hinweis')",408,9,15,126.5432107479665
311,"('bundesrat', 'stellungnahm')",200,11,15,125.72173188447482
218,"('kurz', 'zeit')",246,12,15,125.66310344643372
91,"('direkt', 'bundessteu')",403,9,15,124.9924361064473
220,"('sinn', 'macht')",244,11,15,124.64145219890173
221,"('staatspolit', 'kommission')",243,11,15,124.13062657513575
222,"('bundesrat', 'entwurf')",243,10,15,124.13062657513575
320,"('umso', 'mehr')",197,9,15,123.8359059062077
322,"('artikel', 'stgb')",197,9,15,123.8359059062077
323,"('wurd', 'stimm')",197,9,15,123.8359059062077
96,"('indirekt', 'gegenvorschlag')",399,12,15,123.75181639323193
595,"('beid', 'seit')",135,10,15,123.69924880301095
154,"('neu', 'gesetz')",305,11,15,123.66685797299014
224,"('interess', 'daran')",242,9,15,123.61980095136975
225,"('bereit', 'gesagt')",242,11,15,123.61980095136975
157,"('daran', 'erinn')",304,8,15,123.26139286488197
226,"('bundesrat', 'bericht')",241,11,15,123.10897532760376
228,"('status', 'quo')",241,9,15,123.10897532760376
229,"('stimm', 'abgelehnt')",241,8,15,123.10897532760376
230,"('sicht', 'bundesrat')",239,8,15,122.08732408007178
232,"('gemass', 'bundesrat')",239,10,15,122.08732408007178
235,"('eidgenoss', 'steuerverwalt')",238,8,15,121.57649845630579
450,"('fakultativ', 'referendum')",159,8,15,121.18026827545658
236,"('jurist', 'person')",237,9,15,121.0656728325398
98,"('mind', 'folg')",388,11,15,120.34011218188971
58,"('vorlauf', 'aufgenomm')",539,8,15,120.27437415835907
617,"('wurd', 'erwahnt')",131,8,15,120.03408587551432
335,"('schlicht', 'einfach')",190,9,15,119.43564529025107
340,"('massnahm', 'ergreif')",189,10,15,118.8070366308287
242,"('erinn', 'daran')",232,10,15,118.51154471370985
345,"('buchstab', 'd')",188,10,15,118.17842797140634
