,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'buchstab')","('absatz', 'litera')","('angehor', 'arme')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('antrag', 'wurd')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'buchstab')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('ausserhalb', 'bauzon')","('automat', 'informationsaustausch')","('beantragt', 'einstimm')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('bericht', 'kommission')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'mehrheit')","('bitt', 'minderheitsantrag')","('buchstab', 'a')","('buchstab', 'b')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'antrag')","('bundesrat', 'beantragt')","('bundesrat', 'empfiehlt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'kommission')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'eintret')","('cvpfraktion', 'unterstutzt')","('dank', 'bundesrat')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darf', 'sag')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('deshalb', 'glaub')","('differenz', 'nationalrat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('diskussion', 'einverstand')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('empfiehlt', 'stimm')","('enthalt', 'abgelehnt')","('entsprech', 'antrag')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('erwahnt', 'word')","('etwa', 'million')","('etwa', 'prozent')","('europa', 'gerichtshof')","('europa', 'union')","('fakultativ', 'referendum')","('fassung', 'bundesrat')","('fassung', 'mehrheit')","('fassung', 'nationalrat')","('fdpfraktion', 'bitt')","('fdpfraktion', 'empfiehlt')","('fdpfraktion', 'lehnt')","('fdpfraktion', 'mehrheit')","('fdpfraktion', 'unterstutzt')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'forst')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('frau', 'sommaruga')","('ganz', 'klar')","('ganz', 'kurz')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bieri')","('herr', 'bundesrat')","('herr', 'david')","('herr', 'jenny')","('herr', 'kolleg')","('herr', 'leuenberg')","('herr', 'nationalrat')","('herr', 'stahelin')","('herr', 'standerat')","('herr', 'visch')","('herrn', 'bundesrat')","('herrn', 'david')","('herrn', 'kolleg')","('herrn', 'standerat')","('heut', 'geltend')","('heut', 'morg')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('insof', 'glaub')","('international', 'organisation')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'thurgau')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'antrag')","('kommission', 'beantragt')","('kommission', 'bundesrat')","('kommission', 'empfiehlt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'wurd')","('kommission', 'zuzustimm')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('landlich', 'raum')","('lasst', 'mitteil')","('le', 'conseil')","('lehnt', 'spfraktion')","('leutenegg', 'oberholz')","('liegt', 'schriftlich')","('mehr', 'geld')","('mehrheit', 'cvpfraktion')","('mehrheit', 'fdpfraktion')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'unterstutz')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('meinung', 'kommission')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'beton')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('mocht', 'nochmal')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'nationalrat')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpfraktion')","('nam', 'fdpfraktion')","('nam', 'kommission')","('nam', 'mehrheit')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'fassung')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('offent', 'verkehr')","('organisation', 'arbeitswelt')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('postulat', 'uberweis')","('pro', 'helvetia')","('recht', 'gesagt')","('rentnerinn', 'rentn')","('richtig', 'gesagt')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('schluss', 'gekomm')","('schon', 'gesagt')","('schriftlich', 'antwort')","('schriftlich', 'bericht')","('schweiz', 'tourismus')","('schweizer', 'nationalbank')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('standort', 'schweiz')","('stellung', 'nehm')","('stellungnahm', 'bundesrat')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('teilt', 'antrag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('verdeckt', 'ermittl')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vollig', 'klar')","('vorberat', 'kommission')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('vorlieg', 'motion')","('worum', 'geht')","('wurd', 'kommission')","('zwanzig', 'jahr')","('zwei', 'drei')","('zwei', 'drittel')","('zweit', 'saul')"
10,Christlichdemokratische Volkspartei der Schweiz (CVP),Felix Walker,0,1,0,0,0,0,0,1,2,2,9,0,0,0,0,12,0,0,0,0,0,0,0,1,3,2,0,0,1,0,1,0,3,0,4,1,1,0,11,0,0,3,0,0,0,1,2,1,9,0,5,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,7,0,2,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,1,3,4,0,2,0,0,14,0,0,8,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,6,1,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,1,0,4,3,0,0,1,0,3,0,0,42,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,2,1,0,5,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,6,0,0,0,0,2,0,1,3,3,0
11,Christlichdemokratische Volkspartei der Schweiz (CVP),Filippo Lombardi,0,1,0,0,0,1,0,2,2,2,5,0,3,0,0,6,1,1,0,0,0,1,0,0,5,0,1,0,2,0,3,0,0,0,1,0,4,2,1,0,1,2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,0,3,1,0,0,0,0,1,0,0,0,0,0,0,8,2,5,1,0,0,0,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,3,1,0,3,22,1,2,6,1,0,0,0,0,4,1,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,2,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,4,0,0,3,0,1,0,0,10,1,0,0,0,0,0,0,3,2,0,4,0,0,0,3,0,0,0,1,5,2,1,0,0,2,0,0,5,2,0,0,0,0,2,1,1,0,0,0,0,2,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,1,2,0,0,0,3,1,2,2,1,0
12,Christlichdemokratische Volkspartei der Schweiz (CVP),Franz Brun,0,4,0,0,0,0,0,0,2,8,9,0,1,0,0,10,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0
13,Christlichdemokratische Volkspartei der Schweiz (CVP),Franz Wicki,4,44,2,0,0,3,15,13,8,8,9,1,2,0,1,197,6,2,0,3,0,3,9,7,10,13,2,1,14,2,9,15,1,0,7,1,21,15,22,15,1,6,0,2,1,6,1,1,6,4,2,1,3,0,0,0,5,1,1,16,0,2,0,0,0,9,13,0,0,0,9,0,2,0,3,2,21,1,0,1,1,0,0,1,8,0,3,0,0,0,0,0,10,4,3,0,1,0,2,0,0,0,4,15,2,0,11,15,6,19,23,3,1,3,0,1,22,0,0,5,2,1,1,0,0,4,0,2,1,3,3,0,8,0,2,0,6,6,0,0,0,6,2,10,32,8,0,3,53,6,8,6,0,1,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,13,3,0,7,0,1,4,1,0,1,4,3,7,8,5,0,0,0,16,7,0,0,4,0,2,7,0,0,26,0,0,0,1,0,0,0,0,0,4,1,1,9,0,0,5,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,4,3,2,19,0,0,0,0,0,0,0,0,0,0,0,43,0,0,4,0,4,0,2,14,0,0,1,1,5,3,2,0,0
14,Christlichdemokratische Volkspartei der Schweiz (CVP),Gerhard Pfister,0,7,0,0,0,0,3,2,6,5,15,1,0,0,0,16,0,0,4,0,0,1,0,0,0,1,0,0,0,0,3,0,4,0,1,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,6,15,1,3,0,7,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,1,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,8,0,4,7,0,0,1,0,0,0,0,2,1,0,1,0,0,1,1,0,1,0,0,0,2,0,1,1,0,0,1,0,0,5,0,0,7,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,7,0,0,1,5,3,1,0,4,6,2,0,0,2
15,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansheiri Inderkum,2,15,0,1,0,0,18,10,0,24,12,0,6,0,1,111,6,8,11,0,0,4,14,2,13,7,0,0,15,0,5,4,1,0,3,0,12,11,18,2,3,3,0,3,3,0,10,0,2,0,0,0,3,0,0,0,1,7,3,25,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1,5,15,5,2,11,5,0,1,9,8,0,1,0,0,0,0,0,4,2,2,1,1,0,0,5,0,1,0,6,6,0,0,9,6,4,28,2,0,1,10,0,23,0,0,49,0,0,1,0,0,11,1,18,0,0,1,0,2,0,2,3,0,0,1,2,0,0,1,0,19,1,0,8,21,1,3,3,0,0,6,0,0,0,0,0,1,0,0,2,19,0,0,0,0,12,1,0,15,0,0,1,2,0,1,1,1,1,2,1,0,0,0,3,1,0,0,8,0,10,3,2,0,17,0,2,0,1,0,0,0,0,0,0,6,0,2,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,4,2,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,16,1,1,10,0,2,1,4,2,0,0,2,0
16,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansruedi Stadler,2,5,0,0,0,4,1,6,5,6,9,1,14,0,1,51,3,0,0,0,0,0,1,1,3,3,0,3,3,0,0,0,2,0,0,1,3,3,14,1,0,5,0,0,0,0,3,0,5,3,0,1,3,0,0,0,8,1,0,4,0,0,0,3,0,5,0,0,0,8,0,1,0,0,0,4,12,0,1,2,3,0,0,0,1,0,3,0,0,0,0,0,2,3,0,0,1,2,0,4,0,0,0,9,2,1,1,4,1,4,10,0,0,1,2,0,33,1,2,15,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,5,0,1,4,0,0,0,21,0,1,4,0,0,9,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,8,1,0,13,0,0,3,2,2,10,3,2,0,0,0,2,0,0,0,2,3,4,4,1,0,15,0,1,3,0,0,0,1,1,5,2,1,1,1,0,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,5,8,0,0,5,7,6,3,4,1,0
17,Christlichdemokratische Volkspartei der Schweiz (CVP),Ida Glanzmann-Hunkeler,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Christlichdemokratische Volkspartei der Schweiz (CVP),Ivo Bischofberger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,Christlichdemokratische Volkspartei der Schweiz (CVP),Jakob Büchler,0,0,0,13,0,0,0,1,0,5,7,4,1,0,7,7,0,0,1,0,0,0,0,2,0,1,0,0,0,0,8,0,2,0,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,6,3,0,0,3,1,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,3,0,0,7,2,5,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
20,Christlichdemokratische Volkspartei der Schweiz (CVP),Jean-Michel Cina,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,2,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0
21,Christlichdemokratische Volkspartei der Schweiz (CVP),Jean-Philippe Maitre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Christlichdemokratische Volkspartei der Schweiz (CVP),Josef Leu,0,0,0,0,0,2,0,0,1,0,3,0,1,0,11,7,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2,0,0,6,0,0,0,4,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,6,2,0,0,0,0,0,0,0,0,0,0,4,0,2,15,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,2,0,0,0,12,0,2,3,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,7,0,0,1,1,0,0,0,0,0
23,Christlichdemokratische Volkspartei der Schweiz (CVP),Joseph Deiss,2,1,1,0,0,2,2,3,1,7,9,0,1,1,0,13,2,0,0,2,0,0,0,0,2,1,0,0,2,0,14,0,2,0,4,3,2,0,6,0,3,1,1,4,1,0,0,8,0,8,0,0,2,0,0,0,0,6,0,3,0,0,34,3,3,0,0,0,0,1,0,1,0,0,0,0,8,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,1,2,0,0,4,19,5,2,5,1,5,0,2,2,0,6,0,0,1,0,2,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,3,0,0,10,0,0,1,0,0,7,0,0,0,0,0,2,0,0,16,0,1,0,3,0,0,4,5,0,0,0,0,4,0,0,4,0,3,0,4,2,2,0,8,0,0,8,4,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,3,0,0,17,0,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,3,0,1
24,Christlichdemokratische Volkspartei der Schweiz (CVP),Kathy Riklin,0,2,0,0,0,0,3,1,1,8,11,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,2,0,2,1,3,0,0,0,0,2,0,1,0,0,3,1,0,0,0,2,0,9,5,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,6,0,1,4,0,2,1,0,2,0,1,0,0,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,0,4,1,1,0,3,2,0,2,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,1,5,0,7,2,1,0,0,0,8,1,1,0,1,0,0,0,0,0,0,2,3,0,2,4,0,0,1,0,0,0,0,8,0,0,0,1,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,9,0,2,13,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,3,1,0,2,0
25,Christlichdemokratische Volkspartei der Schweiz (CVP),Lucrezia Meier-Schatz,2,3,1,0,0,1,0,2,0,7,28,0,2,3,0,15,0,0,0,0,0,0,0,1,2,0,0,3,0,0,3,13,2,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,11,0,2,7,9,0,0,4,0,0,0,5,0,0,0,3,0,0,1,0,1,4,1,0,1,0,0,1,0,4,3,0,0,0,0,0,0,12,2,0,0,0,0,0,0,1,0,0,48,3,0,3,3,0,1,2,1,0,4,5,0,10,0,0,0,0,0,0,0,0,1,0,0,0,1,5,2,7,0,0,0,1,0,0,0,0,1,1,1,2,3,0,1,0,3,1,0,0,2,2,0,0,0,1,0,1,15,0,9,17,0,0,7,1,3,0,0,13,5,2,2,1,0,1,2,1,4,0,3,0,15,0,2,1,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,7,0,0,1,1,2,0,0,1,0
26,Christlichdemokratische Volkspartei der Schweiz (CVP),Marianne Slongo,0,1,0,0,0,1,1,2,2,3,0,0,0,0,1,11,0,2,0,0,0,0,0,0,0,4,0,1,1,0,4,0,1,1,0,0,0,0,6,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,3,0,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,6,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,2,0,0,0,1,0
