,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'buchstab')","('absatz', 'litera')","('angehor', 'arme')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('antrag', 'wurd')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'buchstab')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('ausserhalb', 'bauzon')","('automat', 'informationsaustausch')","('beantragt', 'einstimm')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('bericht', 'kommission')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'mehrheit')","('bitt', 'minderheitsantrag')","('buchstab', 'a')","('buchstab', 'b')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'antrag')","('bundesrat', 'beantragt')","('bundesrat', 'empfiehlt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'kommission')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'eintret')","('cvpfraktion', 'unterstutzt')","('dank', 'bundesrat')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darf', 'sag')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('deshalb', 'glaub')","('differenz', 'nationalrat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('diskussion', 'einverstand')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('empfiehlt', 'stimm')","('enthalt', 'abgelehnt')","('entsprech', 'antrag')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('erwahnt', 'word')","('etwa', 'million')","('etwa', 'prozent')","('europa', 'gerichtshof')","('europa', 'union')","('fakultativ', 'referendum')","('fassung', 'bundesrat')","('fassung', 'mehrheit')","('fassung', 'nationalrat')","('fdpdie', 'liberal')","('fdpfraktion', 'bitt')","('fdpfraktion', 'empfiehlt')","('fdpfraktion', 'lehnt')","('fdpfraktion', 'mehrheit')","('fdpfraktion', 'unterstutzt')","('fdpliberal', 'fraktion')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('frau', 'sommaruga')","('ganz', 'klar')","('ganz', 'kurz')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'leuenberg')","('herr', 'nationalrat')","('herr', 'standerat')","('herrn', 'bundesrat')","('herrn', 'kolleg')","('herrn', 'standerat')","('heut', 'geltend')","('heut', 'morg')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('insof', 'glaub')","('international', 'organisation')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'thurgau')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'antrag')","('kommission', 'beantragt')","('kommission', 'bundesrat')","('kommission', 'empfiehlt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'wurd')","('kommission', 'zuzustimm')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('landlich', 'raum')","('le', 'conseil')","('lehnt', 'spfraktion')","('leutenegg', 'oberholz')","('liegt', 'schriftlich')","('mehr', 'geld')","('mehrheit', 'cvpfraktion')","('mehrheit', 'fdpfraktion')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'unterstutz')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('meinung', 'kommission')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'beton')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('mocht', 'nochmal')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'nationalrat')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpfraktion')","('nam', 'fdpfraktion')","('nam', 'fdpliberal')","('nam', 'kommission')","('nam', 'mehrheit')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'fassung')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('offent', 'verkehr')","('organisation', 'arbeitswelt')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('postulat', 'uberweis')","('pro', 'helvetia')","('recht', 'gesagt')","('rentnerinn', 'rentn')","('richtig', 'gesagt')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('schluss', 'gekomm')","('schon', 'gesagt')","('schriftlich', 'antwort')","('schriftlich', 'bericht')","('schweiz', 'tourismus')","('schweizer', 'nationalbank')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('standort', 'schweiz')","('stellung', 'nehm')","('stellungnahm', 'bundesrat')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('verdeckt', 'ermittl')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vollig', 'klar')","('vorberat', 'kommission')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('vorlieg', 'motion')","('worum', 'geht')","('wurd', 'kommission')","('zwanzig', 'jahr')","('zwei', 'drei')","('zwei', 'drittel')","('zweit', 'saul')"
10,Christlichdemokratische Volkspartei der Schweiz (CVP),Christine Bulliard-Marbach,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
11,Christlichdemokratische Volkspartei der Schweiz (CVP),Corina Casanova,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Christlichdemokratische Volkspartei der Schweiz (CVP),Daniel Fässler,1,8,0,0,0,5,1,2,6,4,6,7,0,0,0,43,0,0,0,33,0,0,1,4,2,1,0,0,0,1,1,0,0,0,1,0,4,5,5,0,2,2,0,1,0,1,0,0,0,0,12,0,5,0,1,5,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,3,17,13,0,1,1,0,5,0,0,0,0,1,0,0,0,0,0,1,6,0,0,1,0,0,4,0,0,0,0,0,0,5,0,4,6,18,0,0,0,2,1,9,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,3,1,0,0,7,1,1,2,1,20,0,0,0,0,1,0,0,0,0,0,1,0,7,15,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,0,2,0,2,0,7,0,0,2,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,14,5,0,0,1,2,10,0,0,0,0
13,Christlichdemokratische Volkspartei der Schweiz (CVP),Dominique de Buman,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Christlichdemokratische Volkspartei der Schweiz (CVP),Doris Leuthard,11,17,4,0,0,22,13,27,7,16,45,1,3,1,0,69,1,1,1,38,1,0,0,0,11,3,1,0,5,2,10,5,31,1,20,2,6,4,36,3,4,14,3,16,17,3,0,11,0,10,8,0,4,0,0,0,1,13,6,23,3,0,9,26,32,4,2,6,0,17,1,16,0,0,0,2,17,48,0,13,9,0,17,1,1,1,3,1,0,0,0,0,0,3,0,5,5,0,0,1,0,0,56,0,11,1,4,16,34,12,9,11,9,3,6,8,0,0,0,129,164,0,0,29,1,7,4,1,30,0,25,0,0,5,0,1,9,9,4,9,10,1,30,1,0,1,4,6,7,21,1,0,0,0,15,0,0,5,72,0,0,2,0,3,1,0,92,3,2,3,1,6,12,17,23,6,1,77,12,0,0,0,0,1,0,0,0,0,7,4,68,2,8,0,0,0,60,0,54,6,9,21,13,40,0,1,0,1,44,96,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,28,1,13,14,8,0,0,4,3,1,28,17,20,0
15,Christlichdemokratische Volkspartei der Schweiz (CVP),Elisabeth Schneider-Schneiter,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,2,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,3,12,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0
16,Christlichdemokratische Volkspartei der Schweiz (CVP),Erich Ettlin,3,4,1,0,0,8,2,0,4,17,7,0,7,1,0,23,1,0,0,0,0,0,5,0,0,0,2,4,1,0,1,0,9,0,2,2,3,1,3,0,2,5,1,6,3,0,0,0,0,3,0,0,2,0,0,0,3,2,1,4,0,2,0,0,0,3,1,0,0,0,2,5,0,0,0,0,10,0,0,8,11,0,0,0,0,1,2,0,0,0,0,0,0,0,7,0,0,0,1,7,4,0,0,0,0,1,2,1,8,1,4,5,3,1,1,0,2,1,0,0,0,0,0,1,1,0,18,4,0,0,9,0,0,0,0,1,1,0,0,4,2,1,0,0,4,3,1,1,1,0,1,0,0,0,1,0,0,0,11,0,0,0,0,2,0,0,85,2,0,3,1,0,8,2,3,5,2,7,0,0,0,0,0,0,0,0,1,1,0,1,0,0,42,1,0,0,1,0,0,5,3,0,0,14,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,1,20
17,Christlichdemokratische Volkspartei der Schweiz (CVP),Fabio Regazzi,1,4,0,0,0,6,0,3,3,3,5,1,0,0,0,24,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,2,0,0,0,1,0,2,4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,3,0,0,6,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,7,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,10,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,3,0,0,2,0
18,Christlichdemokratische Volkspartei der Schweiz (CVP),Filippo Lombardi,0,8,0,0,0,4,0,0,5,2,5,0,6,0,0,9,0,1,0,0,2,1,0,0,7,1,0,0,2,0,0,1,0,0,2,0,0,6,1,0,0,1,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,18,0,1,2,2,0,0,0,0,0,0,0,9,0,0,0,1,3,3,0,2,0,1,0,0,3,16,1,0,0,0,1,2,0,6,9,0,0,0,1,2,0,0,2,1,6,0,4,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,13,0,0,0,0,1,0,0,11,2,0,3,1,0,0,0,2,10,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,1,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,3,0,0,5,0,0,0,0,0,3,0,1,0
19,Christlichdemokratische Volkspartei der Schweiz (CVP),Gerhard Pfister,0,2,0,0,0,1,2,2,0,2,3,0,0,0,0,8,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,3,0,2,0,0,0,1,0,0,1,3,0,2,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,9,0,1,0,1,0,1,0,0,2,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,5,6,1,0,2,1,0,0,0,1
20,Christlichdemokratische Volkspartei der Schweiz (CVP),Ida Glanzmann-Hunkeler,0,3,0,5,0,0,1,0,1,0,10,9,2,0,0,31,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,3,3,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,1,3,3,0,1,1,0,10,4,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4,6,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,13,11,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,1,0,0,2,0,0,0,0,8,0,1,0,0
21,Christlichdemokratische Volkspartei der Schweiz (CVP),Isidor Baumann,13,8,0,6,0,12,11,12,1,4,9,1,1,0,0,33,2,2,0,0,0,7,13,5,12,0,1,0,11,6,3,0,0,0,1,0,5,8,9,0,2,22,2,7,4,3,0,0,0,7,0,0,2,0,0,0,1,5,3,6,3,0,0,0,0,0,4,0,0,7,0,0,0,2,5,3,14,0,0,1,6,0,2,0,0,0,1,0,0,0,0,0,0,1,17,0,0,0,10,4,0,0,2,0,1,2,0,11,5,0,4,8,1,0,0,0,6,0,0,0,0,4,0,1,1,5,4,11,0,1,1,0,1,3,0,0,2,3,5,19,10,6,2,1,6,15,1,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,58,9,0,5,0,3,1,1,15,7,6,2,0,0,0,0,5,0,0,0,1,0,5,1,3,0,17,0,0,0,0,0,2,2,1,0,6,2,0,0,3,3,1,0,4,10,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,3,69,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,13,0,0,4,3,15,6,4,1,0
22,Christlichdemokratische Volkspartei der Schweiz (CVP),Ivo Bischofberger,3,3,3,0,0,3,3,1,5,4,2,0,2,0,0,37,0,1,0,1,0,0,8,5,6,1,0,0,2,2,5,1,1,0,1,0,0,0,14,0,0,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,2,0,0,0,0,0,0,1,0,3,2,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,10,0,0,2,10,0,1,0,0,0,1,1,0,0,0,1,1,9,1,0,1,0,4,0,0,0,0,1,0,0,2,9,2,4,0,0,0,0,0,1,0,2,4,0,3,4,2,0,1,0,4,1,1,0,0,0,1,0,0,0,0,0,0,5,13,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,6,11,3,1,1,0,0,0,4,1,0,0,1,0,8,0,1,2,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,6,0,10,4,0,0,15,6,1,1,0,0,0
23,Christlichdemokratische Volkspartei der Schweiz (CVP),Jakob Büchler,0,0,0,3,0,0,0,0,2,0,3,6,0,0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,2,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,7,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,10,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0
24,Christlichdemokratische Volkspartei der Schweiz (CVP),Kathy Riklin,1,3,2,0,0,0,4,0,3,3,10,2,0,2,0,9,0,0,1,0,1,0,0,1,0,1,0,0,0,3,1,1,0,0,1,0,1,0,4,2,1,3,0,2,1,0,0,0,0,0,0,0,2,5,0,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,3,1,0,1,1,3,5,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,1,3,1,0,1,0,0,4,0,7,0,0,0,0,0,0,0,0,3,4,0,0,7,0,0,0,1,1,1,9,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,1,1,0,4,0,0,2,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,3,1,0,0,7,2,0,0,1,0,0,0,0,5,0,1,0,0
25,Christlichdemokratische Volkspartei der Schweiz (CVP),Konrad Graber,6,27,8,0,0,9,1,9,2,7,7,5,8,1,0,98,1,2,0,0,1,1,9,6,14,8,9,9,21,1,3,0,1,0,2,0,15,10,5,22,0,5,0,1,8,8,0,0,3,2,6,0,6,0,0,0,4,13,1,5,0,1,0,1,0,3,1,0,0,0,7,13,0,0,1,3,6,4,0,3,3,2,0,1,9,3,8,0,0,0,0,0,0,0,9,2,1,1,17,5,1,0,0,0,1,6,0,12,10,11,9,4,0,4,2,9,17,3,0,0,1,3,0,0,2,5,0,7,0,0,0,3,0,1,0,0,8,1,6,11,3,2,14,0,26,14,0,0,2,0,0,0,0,1,1,0,0,13,34,0,0,0,1,0,3,1,67,4,1,1,1,5,12,4,9,8,5,6,0,0,0,0,5,0,0,0,6,0,9,4,7,0,27,2,0,0,2,4,0,1,1,0,1,0,0,5,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,12,2,63,0,0,0,0,0,0,0,0,0,0,17,1,0,0,4,2,0,4,10,0,0,3,6,30,8,18,7,7
26,Christlichdemokratische Volkspartei der Schweiz (CVP),Leo Müller,2,8,0,0,2,3,3,10,12,12,45,18,1,0,0,72,7,0,0,3,10,0,6,9,9,1,0,0,3,2,11,2,13,0,11,2,3,4,11,3,1,11,1,5,4,2,0,0,0,2,1,0,7,7,0,13,0,0,0,0,0,0,0,2,0,0,9,0,0,3,5,1,0,2,19,9,21,1,1,1,6,1,0,1,0,0,0,0,0,0,0,0,0,1,13,0,0,3,4,0,10,1,0,0,5,0,8,5,51,11,4,4,2,0,0,4,5,8,0,0,0,0,0,0,3,2,2,10,0,0,3,22,0,0,0,0,0,0,7,14,2,2,22,0,29,7,4,0,4,0,0,0,9,0,2,2,0,38,53,0,0,3,6,3,1,0,38,6,2,0,0,0,1,1,5,11,0,3,0,25,0,0,9,6,0,0,2,0,0,3,0,0,22,2,0,0,0,1,0,4,1,0,9,5,0,0,1,8,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,88,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,15,9,0,0,2,11,21,1,2,3,0
27,Christlichdemokratische Volkspartei der Schweiz (CVP),Marco Romano,0,6,0,0,0,1,1,1,1,3,18,2,0,1,0,25,4,0,7,0,0,0,0,2,2,2,0,0,0,1,0,0,1,0,0,0,1,2,4,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,7,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,2,0,0,1,3,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,11,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,13,7,0,0,4,0,0,0,0
