,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'buchstab')","('absatz', 'litera')","('angehor', 'arme')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('antrag', 'wurd')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'buchstab')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('ausserhalb', 'bauzon')","('automat', 'informationsaustausch')","('beantragt', 'einstimm')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('bericht', 'kommission')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'mehrheit')","('bitt', 'minderheitsantrag')","('buchstab', 'a')","('buchstab', 'b')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'antrag')","('bundesrat', 'beantragt')","('bundesrat', 'empfiehlt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'kommission')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'eintret')","('cvpfraktion', 'unterstutzt')","('dank', 'bundesrat')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darf', 'sag')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('deshalb', 'glaub')","('differenz', 'nationalrat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('diskussion', 'einverstand')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('empfiehlt', 'stimm')","('enthalt', 'abgelehnt')","('entsprech', 'antrag')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('erwahnt', 'word')","('etwa', 'million')","('etwa', 'prozent')","('europa', 'gerichtshof')","('europa', 'union')","('fakultativ', 'referendum')","('fassung', 'bundesrat')","('fassung', 'mehrheit')","('fassung', 'nationalrat')","('fdpfraktion', 'bitt')","('fdpfraktion', 'empfiehlt')","('fdpfraktion', 'lehnt')","('fdpfraktion', 'mehrheit')","('fdpfraktion', 'unterstutzt')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'forst')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('frau', 'sommaruga')","('ganz', 'klar')","('ganz', 'kurz')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bieri')","('herr', 'bundesrat')","('herr', 'david')","('herr', 'jenny')","('herr', 'kolleg')","('herr', 'leuenberg')","('herr', 'nationalrat')","('herr', 'stahelin')","('herr', 'standerat')","('herrn', 'bundesrat')","('herrn', 'david')","('herrn', 'kolleg')","('herrn', 'standerat')","('heut', 'geltend')","('heut', 'morg')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('insof', 'glaub')","('international', 'organisation')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'thurgau')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'antrag')","('kommission', 'beantragt')","('kommission', 'bundesrat')","('kommission', 'empfiehlt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'wurd')","('kommission', 'zuzustimm')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('landlich', 'raum')","('lasst', 'mitteil')","('le', 'conseil')","('leutenegg', 'oberholz')","('liegt', 'schriftlich')","('mehr', 'geld')","('mehrheit', 'cvpfraktion')","('mehrheit', 'fdpfraktion')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'unterstutz')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('meinung', 'kommission')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'beton')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('mocht', 'nochmal')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'nationalrat')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpfraktion')","('nam', 'fdpfraktion')","('nam', 'kommission')","('nam', 'mehrheit')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'fassung')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('offent', 'verkehr')","('organisation', 'arbeitswelt')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('postulat', 'uberweis')","('pro', 'helvetia')","('recht', 'gesagt')","('rentnerinn', 'rentn')","('richtig', 'gesagt')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('schluss', 'gekomm')","('schon', 'gesagt')","('schriftlich', 'antwort')","('schriftlich', 'bericht')","('schweiz', 'tourismus')","('schweizer', 'nationalbank')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('standort', 'schweiz')","('stellung', 'nehm')","('stellungnahm', 'bundesrat')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('teilt', 'antrag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('verdeckt', 'ermittl')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vollig', 'klar')","('vorberat', 'kommission')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('vorlieg', 'motion')","('worum', 'geht')","('wurd', 'kommission')","('zwanzig', 'jahr')","('zwei', 'drei')","('zwei', 'drittel')","('zweit', 'saul')"
10,Christlichdemokratische Volkspartei der Schweiz (CVP),Eugen David,0,14,1,0,0,0,4,12,1,15,27,3,7,3,0,61,2,8,0,0,0,0,1,0,4,3,0,4,9,0,8,28,1,0,0,2,4,10,14,1,3,1,0,6,2,4,1,2,1,0,22,2,0,0,0,0,1,4,7,0,2,0,0,0,5,12,0,0,0,2,4,0,0,0,4,9,13,0,4,1,1,3,2,5,4,5,0,0,0,0,0,9,0,1,0,8,0,5,0,0,0,0,60,1,16,3,35,11,7,2,3,0,0,5,0,11,0,1,7,4,1,0,0,10,0,3,0,2,4,0,6,0,0,3,3,0,0,0,1,5,2,2,8,2,0,7,0,3,2,1,1,5,0,0,0,0,0,2,0,0,6,12,0,0,1,1,1,3,0,22,17,0,7,7,1,13,6,0,0,0,4,0,0,0,2,2,0,0,8,2,15,1,0,0,9,0,7,0,5,1,2,2,4,0,2,3,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,7,1,1,0,6,0,0,1,3,5,2,4,1,25
11,Christlichdemokratische Volkspartei der Schweiz (CVP),Felix Walker,0,0,0,0,0,0,0,1,0,4,6,0,2,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,1,0,0,7,0,1,2,0,2,0,2,0,0,1,1,22,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,0,2,0,4,2,1,0,1,0,2,0,0,1,0,23,0,0,7,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,1,1,1,0,2,0,1,0,0,0,0,0,1,0,1,2,0,2,6,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0
12,Christlichdemokratische Volkspartei der Schweiz (CVP),Filippo Lombardi,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0
13,Christlichdemokratische Volkspartei der Schweiz (CVP),Franz Brun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Christlichdemokratische Volkspartei der Schweiz (CVP),Franz Wicki,0,27,4,0,0,0,20,24,5,15,19,3,3,3,2,144,5,4,11,1,0,8,16,9,27,17,3,5,33,1,22,19,0,2,2,1,8,6,9,4,6,7,0,6,2,6,2,3,3,3,13,8,0,0,0,3,3,8,12,0,1,0,0,0,7,7,5,0,1,5,2,2,0,2,4,8,1,0,1,2,2,2,1,3,1,16,0,0,0,0,0,20,3,5,0,15,0,7,0,0,0,0,23,3,0,12,10,3,19,27,6,0,5,1,2,18,2,1,6,3,0,1,1,6,1,3,1,9,5,0,12,0,7,0,4,0,2,1,1,7,6,9,45,14,3,0,10,8,6,18,0,4,2,0,0,0,5,2,0,0,1,39,0,0,0,2,9,2,0,7,1,1,8,1,3,2,4,2,0,3,4,1,0,0,31,3,0,0,10,11,9,15,13,0,45,0,9,0,1,0,3,0,0,0,7,0,0,24,0,7,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,10,11,3,11,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,8,0,0,7,15,6,0,1,5,5,5,3,1,1
15,Christlichdemokratische Volkspartei der Schweiz (CVP),Guido Zäch,0,3,0,1,0,0,0,1,0,1,22,0,1,2,8,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,4,1,3,1,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,4,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,4,0,2,13,0,0,2,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,14,11,1,0,0,4,0,2,0,0,1,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,2
16,Christlichdemokratische Volkspartei der Schweiz (CVP),Hans Werner Widrig,0,1,0,0,0,0,5,7,6,13,45,1,5,1,8,24,6,0,0,0,0,0,0,2,2,0,0,1,1,0,10,0,22,0,5,0,4,0,9,0,2,1,0,0,0,3,0,0,0,4,9,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1,2,1,5,0,0,0,4,1,0,0,0,0,0,0,9,0,1,0,10,1,0,0,0,0,0,2,0,0,0,3,0,0,3,3,0,4,5,0,6,0,0,1,0,0,0,0,4,0,1,0,1,1,0,4,0,0,1,0,0,0,0,0,0,0,1,3,2,1,1,0,3,0,4,0,0,0,0,0,0,0,0,18,0,4,20,0,0,0,1,10,0,0,44,1,2,0,0,0,1,0,0,0,0,4,0,12,0,3,11,0,0,0,0,0,0,2,4,21,0,1,0,0,0,1,3,0,0,0,2,0,1,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,1,0,1,0,8
17,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansheiri Inderkum,0,13,0,0,0,0,7,16,1,16,13,0,7,0,13,99,2,8,4,0,0,0,14,0,11,10,1,1,9,0,7,1,0,0,4,0,3,2,31,3,0,5,0,1,1,0,3,0,0,1,26,2,0,0,0,0,7,3,33,2,5,0,1,0,1,6,0,0,4,0,1,1,0,0,4,19,3,2,12,8,0,3,14,4,0,1,0,0,0,0,0,0,4,3,0,6,0,1,2,0,0,0,7,6,1,3,6,4,1,14,5,0,0,0,0,27,4,2,28,1,0,0,0,6,0,9,0,1,8,4,0,0,0,5,2,0,0,0,0,2,0,6,17,0,0,1,0,2,3,5,1,0,2,0,0,0,0,2,0,0,2,24,0,0,0,0,11,2,0,98,0,0,2,2,1,5,6,0,0,2,8,0,0,0,8,6,0,0,3,0,11,5,6,0,19,0,1,0,5,2,1,0,1,0,0,4,0,2,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,2,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,3,0,0,5,0,0,0,3,2,0,0,2,0
18,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansruedi Stadler,0,7,4,0,0,0,3,4,15,8,15,2,19,0,1,38,2,4,1,0,0,0,2,0,9,20,2,0,5,0,4,0,3,0,0,0,3,2,14,3,3,0,0,0,0,1,4,0,3,0,2,0,0,0,0,15,1,1,3,1,0,0,1,0,10,0,0,0,4,0,3,0,0,0,7,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,17,0,0,4,3,6,5,14,0,2,1,0,0,16,0,0,2,0,0,0,0,1,0,2,0,0,1,6,1,0,2,0,1,0,0,0,0,2,2,1,6,3,0,0,22,0,4,1,0,2,11,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,11,0,1,5,0,0,4,4,2,0,4,8,0,0,0,0,0,0,0,2,0,2,0,2,3,16,0,1,0,0,0,0,2,1,4,0,0,0,0,0,4,11,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,17,9,3,0,9,11,0,0,2,0,2,1,0,3,0
19,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansueli Raggenbass,0,2,2,0,0,0,3,0,2,4,7,0,3,0,0,18,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,8,1,0,2,0,0,1,4,5,2,1,0,0,0,0,1,0,1,0,9,0,0,0,3,0,2,0,4,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,2,5,1,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,8,2,0,0,3,1,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,4,0,1,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,10,0,0,1,1,2,0,0,20,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0
20,Christlichdemokratische Volkspartei der Schweiz (CVP),Heinrich Estermann,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0
21,Christlichdemokratische Volkspartei der Schweiz (CVP),Jean-Michel Cina,0,1,2,0,0,0,0,0,1,0,20,0,0,0,0,23,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,2,5,0,4,3,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,1,0,0,0,4,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,2,5,0,3,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,1,0,0,0,3,1,0,1,0,2,4,0,0,1,0,1,1,0,0,0,0,1,13,0,2,14,0,0,5,1,2,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,23,0,0,5,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,2,3,0,0,0,0,0,0,0,0,1
22,Christlichdemokratische Volkspartei der Schweiz (CVP),Josef Leu,0,7,2,1,0,0,1,3,0,2,16,0,1,1,28,14,0,1,0,0,0,1,5,8,2,0,0,2,0,1,5,0,0,0,8,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6,2,2,0,13,0,0,0,0,0,0,5,2,0,0,17,4,1,3,0,0,1,0,0,6,0,0,0,0,0,0,0,3,0,2,0,0,3,0,4,0,1,0,0,0,0,0,0,0,1,5,25,0,2,5,0,7,0,1,0,1,0,0,0,0,0,1,2,0,2,27,0,0,1,0,3,0,0,1,0,4,0,1,0,2,0,0,0,0,0,0,15,0,3,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,12,2,0,0,0,0,4,0,0,0,1
23,Christlichdemokratische Volkspartei der Schweiz (CVP),Joseph Deiss,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,28,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,5,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0
24,Christlichdemokratische Volkspartei der Schweiz (CVP),Kathy Riklin,0,0,2,0,0,0,0,0,0,4,10,1,2,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,4,0,0,4,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,5,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,3,0,2,0,0,3,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,3,6,0,0,2,0,0,3,0,2,0,0,6,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,2,0,2,0,0,1,0
25,Christlichdemokratische Volkspartei der Schweiz (CVP),Lucrezia Meier-Schatz,0,3,5,0,0,0,1,0,1,5,25,0,1,3,0,40,2,0,0,0,0,1,0,1,3,0,0,2,1,0,1,9,0,0,1,1,1,1,2,0,0,1,0,0,0,2,0,1,1,2,2,3,1,0,1,0,4,5,3,0,0,0,0,0,0,13,0,0,0,2,0,0,2,0,0,1,0,1,2,3,0,0,0,0,1,1,0,0,0,0,0,6,2,0,0,3,0,0,0,0,0,1,43,1,0,2,2,0,7,4,0,0,5,4,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,1,5,2,2,3,0,3,0,0,0,1,6,0,0,3,0,0,5,0,5,22,0,0,0,1,4,0,0,19,2,2,0,0,0,2,4,0,0,0,1,0,8,0,0,2,0,2,2,1,1,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,4,0,0,0,0,1,1,0,0,0
26,Christlichdemokratische Volkspartei der Schweiz (CVP),Marianne Slongo,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0
27,Christlichdemokratische Volkspartei der Schweiz (CVP),Melchior Ehrler,0,1,0,0,0,0,0,6,0,5,20,0,2,0,0,3,0,2,0,0,0,0,1,4,0,0,0,0,3,0,1,0,1,0,3,0,1,1,2,3,0,0,0,0,2,1,0,0,0,9,0,3,2,2,1,0,8,4,9,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,3,0,4,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,15,5,1,7,7,14,0,1,3,5,2,9,0,12,0,0,1,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,5,8,2,6,1,0,6,3,0,0,18,1,0,0,0,0,0,7,0,4,28,0,0,3,2,5,2,0,5,0,6,2,0,5,10,2,0,0,0,2,0,6,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,1,2,0,0,0,1,4,0,10,1,0
