,Speaker Party,Speaker,"('absatz', 'artikel')","('absatz', 'buchstab')","('absatz', 'bundesverfass')","('absatz', 'litera')","('absatz', 'streich')","('acht', 'kanton')","('ahv', 'iv')","('allgemein', 'teil')","('allgemein', 'volksinitiativ')","('antrag', 'artikel')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('antrag', 'plattn')","('antrag', 'stell')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('ausdruck', 'gebracht')","('auseinand', 'gesetzt')","('auslanderinn', 'ausland')","('aussenpolit', 'kommission')","('beantragt', 'einstimm')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'bund')","('beim', 'eintret')","('bereit', 'erwahnt')","('bereit', 'heut')","('beschluss', 'nationalrat')","('besteht', 'darin')","('betrag', 'million')","('betroff', 'person')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'nam')","('botschaft', 'bundesrat')","('brunn', 'christian')","('buchstab', 'a')","('buchstab', 'b')","('buchstab', 'c')","('bund', 'kanton')","('bundesamt', 'auslanderfrag')","('bundesamt', 'fluchtling')","('bundesamt', 'justiz')","('bundesamt', 'polizei')","('bundesprasident', 'leuenberg')","('bundesrat', 'antrag')","('bundesrat', 'bereit')","('bundesrat', 'entwurf')","('bundesrat', 'folg')","('bundesrat', 'leuenberg')","('bundesrat', 'losung')","('bundesrat', 'meinung')","('bundesrat', 'nationalrat')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesratin', 'dreifuss')","('corporat', 'governanc')","('cvpfraktion', 'antrag')","('cvpfraktion', 'beantragt')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'bitt')","('cvpfraktion', 'eintret')","('cvpfraktion', 'lehnt')","('cvpfraktion', 'mehrheit')","('cvpfraktion', 'meinung')","('cvpfraktion', 'unterstutzt')","('d', 'h')","('dafur', 'empfehl')","('dafur', 'verstandnis')","('darauf', 'hingewies')","('darf', 'sag')","('darum', 'geht')","('davon', 'ausgeh')","('de', 'dardel')","('delegiert', 'minist')","('demograph', 'entwickl')","('deshalb', 'meinung')","('deshalb', 'muss')","('deshalb', 'richtig')","('direkt', 'bundessteu')","('diskussion', 'kommission')","('drei', 'jahr')","('einfuhr', 'tarmed')","('einseit', 'massnahm')","('einstimm', 'kommission')","('embryonal', 'stammzell')","('entscheid', 'fall')","('entscheid', 'gefallt')","('entsprech', 'antrag')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('erst', 'lesung')","('erst', 'lini')","('erteil', 'rahmenbewill')","('etwa', 'million')","('europa', 'union')","('fassung', 'bundesrat')","('fassung', 'nationalrat')","('fdpfraktion', 'antrag')","('fdpfraktion', 'beantrag')","('fdpfraktion', 'begrusst')","('fdpfraktion', 'bitt')","('fdpfraktion', 'eintret')","('fdpfraktion', 'empfehl')","('fdpfraktion', 'empfiehlt')","('fdpfraktion', 'lehnt')","('fdpfraktion', 'mehrheit')","('fdpfraktion', 'steht')","('fdpfraktion', 'unterstutzt')","('fdpfraktion', 'vorlag')","('flankier', 'massnahm')","('flughaf', 'zurich')","('folg', 'geb')","('frag', 'herrn')","('frank', 'jahr')","('frank', 'mehr')","('frank', 'wenig')","('frau', 'beerli')","('frau', 'brunn')","('frau', 'fassl')","('frau', 'forst')","('frau', 'spoerry')","('freiwill', 'ahv')","('fried', 'sicherheitspolit')","('funf', 'jahr')","('ganz', 'einfach')","('ganz', 'klar')","('ganz', 'kurz')","('ganz', 'schweiz')","('ganz', 'wichtig')","('gefahr', 'straftat')","('gegeb', 'zeit')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemacht', 'word')","('gemass', 'artikel')","('gemass', 'bundesrat')","('gesagt', 'word')","('geschied', 'witw')","('gesetz', 'grundlag')","('gewiss', 'verstandnis')","('gross', 'mehrheit')","('grund', 'dafur')","('grund', 'weshalb')","('herr', 'brandli')","('herr', 'buttik')","('herr', 'david')","('herr', 'hofmann')","('herr', 'kolleg')","('herr', 'leuenberg')","('herr', 'maiss')","('herr', 'merz')","('herr', 'plattn')","('herr', 'reimann')","('herr', 'schluer')","('herr', 'schmid')","('herr', 'schweig')","('herr', 'stadl')","('herr', 'stahelin')","('herr', 'strahm')","('herrn', 'bundesprasident')","('herrn', 'david')","('herrn', 'kolleg')","('herrn', 'leuenberg')","('hess', 'han')","('heut', 'morg')","('initiativ', 'folg')","('inn', 'sich')","('ja', 'schon')","('jurist', 'person')","('kanton', 'gemeind')","('kanton', 'luz')","('kanton', 'uri')","('kanton', 'zurich')","('kenntnis', 'nehm')","('kinderlos', 'witw')","('klar', 'meinung')","('klein', 'kanton')","('kolleg', 'david')","('kolleg', 'leuenberg')","('kolleg', 'maiss')","('kolleg', 'plattn')","('kolleg', 'schmid')","('kommission', 'antrag')","('kommission', 'artikel')","('kommission', 'auffass')","('kommission', 'beantragt')","('kommission', 'bundesrat')","('kommission', 'folg')","('kommission', 'meinung')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'wurd')","('kommission', 'zuzustimm')","('konstruktiv', 'referendum')","('konsumentinn', 'konsument')","('kurz', 'bemerk')","('landlich', 'raum')","('lang', 'zeit')","('lasst', 'mitteil')","('letzt', 'mal')","('leutenegg', 'oberholz')","('litera', 'b')","('losung', 'find')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'bleib')","('mehrheit', 'cvpfraktion')","('mehrheit', 'fdpfraktion')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mehrheit', 'zuzustimm')","('meinung', 'bundesrat')","('meinung', 'kommission')","('meinung', 'mehrheit')","('meinung', 'sei')","('meinung', 'soll')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mind', 'kommission')","('minderheitsantrag', 'abzulehn')","('mitarbeiterinn', 'mitarbeit')","('mitteil', 'mehrheit')","('mocht', 'beliebt')","('mocht', 'daran')","('mocht', 'einfach')","('mocht', 'kurz')","('monist', 'syst')","('motion', 'postulat')","('motion', 'uberweis')","('nach', 'generation')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpfraktion')","('nam', 'fdpfraktion')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nation', 'uni')","('nationalrat', 'artikel')","('nationalrat', 'beschloss')","('nationalrat', 'bloch')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('natur', 'person')","('neu', 'artikel')","('neu', 'auslandergesetz')","('neu', 'finanzausgleich')","('neu', 'steu')","('offent', 'verkehr')","('organisation', 'arbeitswelt')","('parlamentar', 'initiativ')","('pensionskass', 'bund')","('postulat', 'uberweis')","('pro', 'helvetia')","('pro', 'jahr')","('rechnung', 'getrag')","('rechnung', 'trag')","('richtig', 'richtung')","('rund', 'milliard')","('sag', 'bundesrat')","('sag', 'darf')","('schluss', 'gekomm')","('schmid', 'carlo')","('schon', 'erwahnt')","('schon', 'gesagt')","('schriftlich', 'bericht')","('schweizer', 'nationalbank')","('sech', 'jahr')","('seit', 'jahr')","('servic', 'public')","('sinkend', 'beitragsskala')","('sinn', 'bitt')","('spfraktion', 'bitt')","('spfraktion', 'mocht')","('spfraktion', 'unterstutzt')","('st', 'gall')","('staatspolit', 'kommission')","('standerat', 'folg')","('stell', 'fest')","('stellung', 'nehm')","('stimm', 'enthalt')","('strukturell', 'defizit')","('svpfraktion', 'antrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'stimmt')","('svpfraktion', 'unterstutzt')","('teil', 'meinung')","('uberzahl', 'embryon')","('uns', 'kommission')","('verdeckt', 'ermittl')","('verdeckt', 'ermittlungsperson')","('vergang', 'jahr')","('vier', 'jahr')","('volk', 'stand')","('vollig', 'klar')","('vorberat', 'kommission')","('vorlauf', 'aufnahm')","('vorstoss', 'motion')","('vorstoss', 'rahm')","('votum', 'herrn')","('werdend', 'leb')","('wirtschaft', 'leistungsfah')","('wurd', 'bereit')","('wurd', 'kommission')","('zehn', 'jahr')","('zuhand', 'materiali')","('zwanzig', 'jahr')","('zwei', 'drei')","('zwei', 'drittel')","('zweit', 'etapp')","('zweit', 'saul')"
10,Christlichdemokratische Volkspartei der Schweiz (CVP),Eugen David,5,14,1,1,1,0,1,0,0,4,12,1,15,27,1,7,7,3,0,61,0,8,3,0,0,0,1,0,4,6,3,0,1,9,5,2,4,1,8,28,1,0,0,1,1,4,10,12,14,0,0,1,0,2,3,2,4,6,1,3,2,7,0,22,3,0,0,0,0,0,0,0,0,1,0,33,0,0,9,0,8,2,0,0,0,1,1,0,12,1,11,2,0,1,0,2,5,4,9,13,0,18,1,4,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,1,2,3,2,13,3,0,5,16,0,0,11,5,60,1,1,16,0,0,35,11,7,3,2,1,3,0,4,0,0,4,5,0,5,0,1,7,4,0,0,3,2,0,1,1,1,0,0,3,0,3,1,4,4,6,0,3,3,1,1,0,5,6,6,2,0,0,5,6,1,10,2,3,0,8,2,7,6,0,3,2,1,0,5,0,0,5,0,4,0,1,4,0,2,1,0,0,6,12,0,1,1,3,3,5,2,0,84,14,10,0,0,8,0,1,1,13,3,2,2,4,0,4,0,0,0,2,0,0,0,1,8,0,15,1,0,1,0,0,4,0,0,9,0,7,0,9,2,11,6,2,2,0,2,4,2,3,0,2,6,1,1,0,1,0,0,0,19,0,0,23,1,4,0,0,0,0,0,0,0,0,0,0,18,0,1,3,0,1,7,1,1,0,0,2,0,2,2,18,0,5,24,1,2,4,1,0,25
11,Christlichdemokratische Volkspartei der Schweiz (CVP),Felix Walker,1,0,0,0,0,0,3,0,0,0,1,0,4,6,0,1,2,0,1,6,0,0,0,0,0,0,0,0,1,6,0,6,0,0,1,1,2,0,2,0,0,3,0,0,0,0,0,0,7,0,0,0,0,1,1,1,1,2,0,0,0,0,1,22,0,2,0,0,0,0,0,1,2,3,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,2,1,2,0,0,4,0,0,1,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,3,0,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,2,1,1,2,0,2,6,0,4,3,0,1,0,0,0,26,5,4,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,1,1,0,0,1,1,0,4,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,5,0,1,1,0,1,8,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
12,Christlichdemokratische Volkspartei der Schweiz (CVP),Filippo Lombardi,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0,3,0,0
13,Christlichdemokratische Volkspartei der Schweiz (CVP),Franz Brun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Christlichdemokratische Volkspartei der Schweiz (CVP),Franz Wicki,12,27,13,4,2,0,0,1,6,5,24,5,15,19,0,3,3,3,2,144,1,4,24,11,0,8,16,9,27,1,17,12,12,33,3,2,2,0,22,19,0,2,6,8,16,8,6,12,9,3,1,4,0,0,6,9,9,6,2,0,3,15,3,13,2,0,0,0,0,0,0,0,0,0,0,34,0,1,19,0,2,2,0,24,0,2,0,0,7,4,7,0,0,11,0,2,2,4,8,1,4,10,0,1,2,3,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,5,0,1,0,1,12,0,7,10,0,0,12,2,23,3,4,0,0,2,10,3,19,2,27,7,6,0,19,1,5,2,1,5,3,2,1,6,3,1,3,7,13,0,2,0,3,1,0,0,1,3,2,7,5,12,11,0,4,10,7,0,7,2,0,6,1,0,0,0,0,4,9,4,7,45,14,0,5,10,8,6,18,0,4,3,2,2,0,6,0,3,8,5,2,0,0,0,1,39,0,9,2,2,1,0,2,0,68,9,8,2,1,0,0,0,3,2,2,0,18,23,0,4,1,0,0,31,0,0,0,12,10,0,9,15,2,5,1,3,0,13,0,45,0,9,0,3,14,8,2,0,1,0,7,6,0,0,24,7,1,3,1,0,2,0,0,0,4,8,0,4,10,11,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,6,8,6,0,7,0,4,0,11,0,1,2,5,10,1,5,3,1,1,1
15,Christlichdemokratische Volkspartei der Schweiz (CVP),Guido Zäch,0,3,1,0,0,0,1,0,0,2,1,0,1,22,0,0,1,2,8,7,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,5,0,4,3,9,2,0,0,0,1,6,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,4,0,1,2,0,0,1,0,0,0,0,0,2,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,4,0,2,13,0,5,0,0,0,0,0,0,11,9,13,3,1,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,4,1,1,2,2,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,2
16,Christlichdemokratische Volkspartei der Schweiz (CVP),Hans Werner Widrig,3,1,1,0,0,0,5,1,0,0,7,6,13,45,0,1,5,1,8,24,1,0,0,0,0,0,0,2,2,1,0,0,2,1,1,4,1,0,10,0,22,5,13,0,0,4,0,1,9,0,0,0,0,0,2,1,1,0,0,1,0,0,4,9,4,0,11,3,0,5,1,0,3,0,3,7,0,0,0,0,1,1,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,12,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,5,1,1,0,0,2,0,0,0,0,3,2,2,0,0,0,0,0,3,0,0,0,3,1,3,0,2,1,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,4,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1,2,2,3,2,1,0,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,18,0,4,20,0,10,0,0,0,0,0,0,86,11,9,1,2,1,0,0,0,1,0,3,5,4,2,4,0,12,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,2,4,21,2,1,0,10,0,1,4,3,0,0,0,0,0,2,1,0,1,3,0,1,1,0,0,0,3,1,6,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,2,0,1,0,0,0,1,2,0,0,1,0,0,8
17,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansheiri Inderkum,16,13,7,0,1,0,2,0,4,0,16,1,16,13,4,2,7,0,13,99,0,8,0,4,0,0,14,0,11,2,10,18,2,9,7,12,1,0,7,1,0,4,0,4,3,3,2,3,31,0,2,3,0,1,0,4,0,1,3,0,0,2,1,26,0,0,0,0,0,0,0,0,0,0,0,16,0,0,43,2,6,3,0,1,1,1,1,0,6,0,5,0,0,0,0,4,1,4,19,3,0,21,2,12,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,4,0,0,1,0,1,11,0,0,0,0,7,6,0,1,0,1,6,4,1,2,14,1,5,0,1,3,0,2,0,0,2,4,3,28,1,0,2,2,2,0,3,2,2,0,0,3,0,9,1,9,8,0,1,5,2,5,0,10,2,10,0,0,2,5,5,1,9,6,6,3,9,17,0,1,1,0,2,3,5,0,0,4,2,4,0,2,0,0,0,1,2,0,0,0,2,24,0,11,2,2,4,0,1,0,163,6,5,1,0,1,0,1,1,5,5,0,4,3,0,8,0,0,0,8,0,0,0,0,3,0,11,5,1,2,2,7,1,6,0,19,5,1,0,10,6,6,0,0,0,3,0,4,2,4,2,1,0,0,2,0,0,0,0,0,1,1,0,5,10,6,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,6,5,0,0,0,2,0,1,0,0,6,2,4,1,0,0,2,0,0
18,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansruedi Stadler,6,7,3,4,0,0,0,3,0,2,4,15,8,15,0,2,19,0,1,38,1,4,2,1,0,0,2,0,9,1,20,17,15,5,0,0,2,0,4,0,3,0,0,1,0,3,2,2,14,0,0,3,1,1,3,11,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,1,1,1,3,2,0,0,1,0,2,1,0,1,3,1,0,0,8,2,0,7,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,2,4,0,0,1,1,17,0,2,0,0,2,3,6,5,0,14,0,0,0,11,4,1,2,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,1,1,0,0,1,2,0,6,2,3,0,2,1,4,0,2,2,6,1,0,0,6,3,0,2,22,0,4,1,0,2,7,11,3,0,0,0,1,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,22,0,3,0,1,2,0,0,0,4,5,0,2,5,0,8,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,15,0,2,3,16,0,1,0,4,7,5,5,2,1,1,0,3,0,0,0,4,0,11,3,0,0,0,0,0,2,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,2,4,9,17,0,8,9,7,0,9,0,1,0,0,3,14,17,2,5,1,1,0,3,5,0
19,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansueli Raggenbass,1,2,3,2,0,0,0,0,0,0,0,2,4,7,0,1,3,0,0,18,1,0,1,0,0,0,1,1,2,0,2,0,2,0,0,0,0,0,1,8,1,2,2,0,0,0,1,0,4,0,0,5,0,1,2,2,2,0,1,2,0,0,0,9,0,0,1,1,0,0,0,0,2,0,3,2,0,0,6,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,5,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,5,0,8,2,0,0,0,0,3,1,0,0,3,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,1,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,4,0,2,0,3,10,0,2,0,0,0,0,0,0,32,1,1,0,0,0,0,0,0,1,0,0,3,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,8,0,2,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
20,Christlichdemokratische Volkspartei der Schweiz (CVP),Heinrich Estermann,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,Christlichdemokratische Volkspartei der Schweiz (CVP),Jean-Michel Cina,2,1,3,2,0,0,0,0,1,1,0,1,0,20,0,0,0,0,0,23,0,0,1,1,0,0,0,0,4,0,0,3,1,0,0,1,1,0,4,2,5,4,9,2,1,2,0,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,4,7,1,3,2,0,4,9,0,0,1,0,0,0,3,0,0,0,0,1,0,1,5,0,0,0,0,0,0,1,2,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,6,0,1,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,3,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,1,2,0,4,0,0,1,14,1,0,1,0,0,0,0,0,2,0,1,0,13,0,2,14,0,2,1,0,0,0,0,0,16,1,7,0,1,1,0,0,1,0,0,0,1,1,0,1,0,23,0,0,0,0,0,1,0,0,0,1,3,1,3,0,0,0,0,17,2,0,0,0,3,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,2,0,0,0,0,9,0,0,0,1,0,0,0,0,0,1
22,Christlichdemokratische Volkspartei der Schweiz (CVP),Josef Leu,5,7,2,2,2,0,1,0,0,1,3,0,2,16,0,1,1,1,28,14,0,1,4,0,2,1,5,8,2,1,0,3,3,0,2,0,0,0,5,0,0,8,7,0,0,0,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,5,0,0,0,0,3,4,0,0,0,0,2,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,2,0,5,2,0,0,0,1,17,4,1,2,3,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,0,0,3,4,6,0,0,1,1,0,0,7,0,1,0,0,0,0,0,0,5,0,2,25,0,5,4,0,7,0,1,5,1,0,0,0,0,1,0,0,0,0,1,0,2,0,2,27,0,3,0,0,0,0,0,0,5,8,4,0,4,4,0,0,0,2,3,0,1,0,0,0,0,15,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,2,0,0,0,9,3,2,1,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,12,0,0,0,2,0,0,2,4,4,0,0,0,0,0,1
