,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'artikel')","('absatz', 'buchstab')","('administrativ', 'aufwand')","('all', 'grund')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('art', 'weis')","('artikel', 'absatz')","('ausricht', 'antrag')","('beantrag', 'nam')","('beantragt', 'ablehn')","('beantragt', 'annahm')","('beantragt', 'diskussion')","('beantragt', 'ebenfall')","('beantragt', 'einstimm')","('beantragt', 'kurz')","('beantragt', 'stimm')","('befriedigt', 'diskussion')","('beid', 'rat')","('bereit', 'erwahnt')","('bereit', 'heut')","('bericht', 'kommission')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('big', 'to')","('bitt', 'bundesrat')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'nam')","('buchstab', 'a')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'befriedigt')","('bundesrat', 'folg')","('bundesrat', 'leuenberg')","('bundesrat', 'parlament')","('bundesratin', 'widmerschlumpf')","('burg', 'partei')","('burgerinn', 'burg')","('cvpevpglpfraktion', 'bitt')","('cvpevpglpfraktion', 'unterstutzt')","('d', 'h')","('dah', 'find')","('dam', 'herr')","('dank', 'bundesrat')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darum', 'bitt')","('deshalb', 'bitt')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('direkt', 'gegenentwurf')","('direkt', 'gegenvorschlag')","('diskussion', 'beantragt')","('diskussion', 'einverstand')","('drei', 'jahr')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('end', 'jahr')","('entwurf', 'bundesrat')","('erhalt', 'kommission')","('erneuerbar', 'energi')","('erst', 'lini')","('eth', 'zurich')","('etwa', 'million')","('europa', 'union')","('fakultativ', 'referendum')","('famili', 'kind')","('fdpliberal', 'fraktion')","('financial', 'stability')","('flankier', 'massnahm')","('folg', 'geb')","('frag', 'stell')","('fraktion', 'cvpevpglpfraktion')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'dien')","('frau', 'fetz')","('frau', 'forst')","('frau', 'kollegin')","('frau', 'meierschatz')","('frau', 'nationalratin')","('frau', 'sommaruga')","('freisinnigdemokrat', 'fraktion')","('ganz', 'klar')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('gross', 'zahl')","('grund', 'weshalb')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'buttik')","('herr', 'kolleg')","('herr', 'nationalrat')","('herr', 'spuhl')","('herr', 'stahelin')","('herr', 'standerat')","('herrn', 'bundesrat')","('herrn', 'kolleg')","('herrn', 'standerat')","('hoh', 'vergut')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('interess', 'daran')","('international', 'wahrungsfond')","('interpellant', 'schriftlich')","('ja', 'nein')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'gemeind')","('kenntnis', 'genomm')","('kenntnis', 'nehm')","('klar', 'meinung')","('kolleg', 'david')","('kolleg', 'schweig')","('kommission', 'beantragt')","('kommission', 'erhalt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'verkehr')","('konsumentinn', 'konsument')","('lang', 'zeit')","('lasst', 'ausricht')","('letzt', 'bemerk')","('letzt', 'jahr')","('letzt', 'mal')","('letzt', 'punkt')","('letzt', 'woch')","('leutenegg', 'oberholz')","('liegt', 'schriftlich')","('losung', 'find')","('macht', 'sinn')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('milliard', 'frank')","('million', 'frank')","('mind', 'folg')","('mind', 'i')","('mind', 'ii')","('minderheitsantrag', 'abzulehn')","('mitglied', 'bundesrat')","('mocht', 'darauf')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nach', 'jahr')","('nam', 'cvpevpglpfraktion')","('nam', 'fdpfraktion')","('nam', 'fdpliberal')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'folg')","('natur', 'person')","('neu', 'unternehmenssteu')","('oberst', 'organ')","('offent', 'hand')","('offent', 'interess')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('pro', 'helvetia')","('pro', 'jahr')","('produzier', 'landwirtschaft')","('rapp', 'pro')","('recht', 'gesagt')","('regional', 'erschopf')","('richterinn', 'richt')","('richtig', 'gesagt')","('roll', 'spiel')","('rund', 'milliard')","('sag', 'ja')","('sbb', 'cargo')","('schon', 'gesagt')","('schriftlich', 'antwort')","('schriftlich', 'bericht')","('schweiz', 'eu')","('schweiz', 'schul')","('schweizer', 'nationalbank')","('seit', 'fahn')","('sicherheitspolit', 'bericht')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokratinn', 'sozialdemokrat')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'eintret')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('to', 'fail')","('too', 'big')","('uns', 'kommission')","('uns', 'meinung')","('unterstutzt', 'antrag')","('unterstutzt', 'spfraktion')","('vergang', 'jahr')","('verkehr', 'fernmeldewes')","('vorberat', 'kommission')","('vorlag', 'einzutret')","('weshalb', 'bundesrat')","('wirtschaft', 'leistungsfah')","('worum', 'geht')","('wurd', 'kommission')","('z', 'b')","('zehn', 'jahr')","('zwei', 'drei')","('zwingend', 'volkerrecht')"
10,Christlichdemokratische Volkspartei der Schweiz (CVP),Esther Egger-Wyss,0,0,1,0,0,1,0,2,3,8,0,0,1,4,0,0,0,0,0,1,0,0,2,0,2,2,4,0,0,0,0,0,0,1,6,3,1,12,0,0,2,0,2,3,0,3,2,1,0,0,1,1,0,9,4,0,3,2,0,0,0,0,0,0,0,0,0,3,0,4,1,1,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,15,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,4,1,0,0,2,0,3,0,2,0,0,2,0,0,5,0,0,3,0,0,2,0,3,24,0,1,0,28,51,0,1,3,9,2,4,0,0,0,4,3,0,0,2,0,0,0,0,1,0,0,0,0,3,8,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2,1,0,0,0,8,5,1,0,0
11,Christlichdemokratische Volkspartei der Schweiz (CVP),Eugen David,2,3,8,0,2,6,9,21,6,8,4,4,13,35,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,12,0,31,14,2,9,4,10,6,1,0,7,1,2,4,0,16,0,0,16,23,3,10,1,7,13,7,0,5,4,0,1,0,0,14,6,9,3,6,0,11,10,0,3,6,0,6,0,0,2,8,13,0,14,4,39,5,3,11,2,0,1,5,0,62,12,54,12,8,3,11,6,3,5,23,2,6,0,0,4,0,7,4,0,5,1,4,3,1,0,4,4,5,0,3,13,13,7,0,18,4,0,9,0,4,0,6,7,0,0,17,10,21,2,0,0,11,4,20,10,0,4,0,37,48,8,6,7,0,1,4,15,1,18,7,0,0,0,10,0,0,2,5,5,0,0,6,7,0,6,1,3,0,12,0,1,12,0,0,4,6,2,4,0,5,0,0,5,1,1,1,3,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,36,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,0,6,0,3,12,8,24,31,10,1
12,Christlichdemokratische Volkspartei der Schweiz (CVP),Filippo Lombardi,9,3,4,0,0,6,1,3,1,8,4,0,1,13,0,0,5,2,0,1,0,0,3,0,1,0,1,1,0,4,0,0,0,1,3,1,0,2,8,0,1,4,6,0,0,1,0,0,2,0,0,0,1,11,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,33,1,0,1,0,0,0,0,0,0,6,5,0,22,0,7,3,0,5,0,0,0,3,0,2,7,30,1,5,4,3,1,0,0,4,8,6,0,0,0,0,1,1,0,0,11,2,1,0,0,2,0,0,0,0,5,2,0,4,1,12,0,3,0,3,1,0,0,0,5,7,0,0,1,0,0,6,3,0,10,0,0,0,25,87,1,3,0,0,0,0,0,6,12,15,0,0,0,2,0,0,2,2,0,0,0,1,1,2,20,0,1,0,29,0,22,1,0,0,0,0,0,0,0,3,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,1,0,3,0,0,0,6,8,4,0,0
13,Christlichdemokratische Volkspartei der Schweiz (CVP),Gerhard Pfister,0,0,4,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0
14,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansheiri Inderkum,20,7,23,0,0,28,10,25,23,20,30,0,3,128,0,14,17,23,20,21,24,10,20,15,20,10,3,50,0,19,0,0,2,0,1,0,10,8,60,21,1,0,10,11,0,11,0,0,12,2,0,2,1,26,22,1,0,0,3,35,12,16,32,2,0,2,0,6,23,2,8,1,1,1,2,0,0,0,0,22,5,0,0,3,38,2,7,1,9,0,3,2,0,5,1,7,13,4,42,0,2,3,0,11,7,49,1,0,1,0,5,8,0,1,35,16,0,0,17,5,4,1,0,6,0,5,2,13,4,68,29,0,42,1,2,1,7,1,3,12,5,0,4,0,18,0,1,1,25,0,8,0,0,2,0,1,4,1,4,6,9,17,21,3,0,0,0,7,0,0,17,6,0,0,0,0,8,0,44,0,0,0,4,0,0,3,0,4,3,0,0,0,0,3,31,51,4,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,2,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,9,10,0,0,2,6,1,4,1,34
15,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansruedi Stadler,1,12,8,0,0,5,10,3,4,8,10,1,3,37,0,1,0,1,0,1,1,0,1,0,0,4,5,2,3,5,0,1,0,1,0,0,2,5,2,1,0,3,2,0,0,3,0,0,3,0,0,11,1,3,2,0,0,0,0,0,0,0,0,4,1,5,1,3,0,1,1,7,0,0,0,0,0,0,5,2,1,0,1,1,4,0,0,0,3,0,1,1,0,7,4,1,0,0,9,0,1,0,1,9,0,11,0,0,0,0,0,0,0,0,6,0,4,2,0,2,1,0,0,2,9,12,0,3,11,11,0,0,15,0,1,0,7,0,9,13,0,4,3,0,3,2,0,0,1,0,1,0,11,7,0,0,0,1,2,1,11,1,5,3,0,0,0,3,0,0,0,0,0,0,0,6,13,0,17,0,3,14,3,0,0,0,0,2,0,5,6,1,1,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,1,5,0,0,0,2,1,18,2,4,0
16,Christlichdemokratische Volkspartei der Schweiz (CVP),Ida Glanzmann-Hunkeler,0,1,0,0,0,1,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,3,2,0,2,0,0,0,1,0,1,0,1,0,9,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,1,1,2,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,1,0,0,1,0,2,0,8,19,0,4,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,1,0,1,0
17,Christlichdemokratische Volkspartei der Schweiz (CVP),Ivo Bischofberger,2,1,0,2,3,3,5,4,2,2,2,0,7,14,0,0,0,1,0,0,2,0,0,0,4,2,3,0,0,2,0,6,2,0,5,5,1,7,3,0,3,0,4,0,0,2,0,0,3,0,0,8,0,6,0,4,0,0,0,0,0,0,0,1,0,0,3,2,0,0,2,7,1,3,0,0,0,0,2,5,2,0,0,0,1,0,0,0,3,0,0,0,0,4,1,4,0,1,5,0,4,0,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,1,0,3,1,1,1,0,0,0,1,8,0,0,2,0,2,0,0,6,2,0,0,0,3,22,3,0,0,0,1,0,1,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,1,4,18,0,0,0,0,5,4,0,0
18,Christlichdemokratische Volkspartei der Schweiz (CVP),Jakob Büchler,0,0,1,0,0,0,2,2,3,5,0,0,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,13,1,10,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,3,9,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0,2,0,0,0,1,1,3,0,3,0,7,3,0,4,2,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0,3,0,3,0,0,1,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,2,8,2,0,1,0
19,Christlichdemokratische Volkspartei der Schweiz (CVP),Kathrin Amacker-Amann,0,0,0,0,0,1,1,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,7,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0
20,Christlichdemokratische Volkspartei der Schweiz (CVP),Kathy Riklin,0,0,7,1,0,0,0,0,7,12,0,1,0,18,0,0,0,0,0,0,0,0,4,0,0,2,3,0,0,0,0,0,3,0,8,4,6,8,2,0,1,0,1,0,0,2,0,9,5,0,0,2,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,2,0,1,3,4,0,15,1,0,1,0,0,6,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,3,1,0,0,0,3,1,0,0,0,4,0,1,1,6,0,0,0,0,0,6,1,0,1,0,0,0,2,10,12,0,5,0,7,32,1,0,1,1,1,1,0,0,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,17,0,0,0,1,0,0,0,2,1,0,0,0,0,0,8,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,29,0,0,0,0,0,0,0,0,0,0,6,0,1,0,5,0,0,0,0,0,0,4,8,4,0,1
21,Christlichdemokratische Volkspartei der Schweiz (CVP),Konrad Graber,3,2,4,0,0,7,1,7,9,2,14,1,4,25,0,0,0,0,0,0,2,0,2,0,4,0,19,3,9,7,3,7,0,14,2,0,3,6,2,0,0,1,0,0,0,3,0,0,2,0,0,4,1,4,4,0,11,3,0,0,4,0,0,2,1,8,11,4,0,6,13,0,1,0,0,4,0,0,0,6,3,0,6,1,6,0,2,4,2,0,0,1,1,3,10,4,8,2,9,3,0,6,0,2,4,1,0,0,0,0,5,1,0,4,10,3,1,0,0,4,0,3,2,4,2,1,1,5,6,2,2,0,12,3,0,12,1,0,0,8,5,2,1,0,0,2,0,3,14,0,1,2,36,90,0,0,2,0,0,2,6,2,7,6,0,0,0,1,0,0,1,1,1,0,25,2,1,4,18,0,0,0,4,3,5,0,0,1,0,1,3,1,0,0,0,3,1,0,17,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,8,0,0,0,0,0,0,0,0,3,3,8,0,0,0,1,0,0,1,1,3,2,21,4,9,10,0
22,Christlichdemokratische Volkspartei der Schweiz (CVP),Lucrezia Meier-Schatz,0,0,1,5,2,4,1,0,4,14,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,5,0,0,0,0,0,5,2,1,8,0,5,1,0,0,0,0,1,1,0,0,0,3,0,0,0,2,4,1,0,3,19,0,0,0,0,0,0,1,0,3,3,0,0,1,1,1,0,0,6,0,0,0,6,1,1,7,0,1,0,0,0,0,0,1,0,0,14,1,0,0,3,1,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,28,1,4,0,0,0,0,1,0,2,0,2,0,0,3,0,0,11,0,0,0,4,0,1,1,4,20,0,1,0,22,17,0,4,4,2,0,1,0,0,1,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0,37,0,0,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,10,1,1,3,8,0,0
23,Christlichdemokratische Volkspartei der Schweiz (CVP),Markus Zemp,0,0,0,1,1,0,0,0,4,5,0,0,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,4,5,9,0,1,0,0,0,0,0,0,0,3,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,1,7,0,1,0,0,1,1,0,0,13,0,1,4,0,1,0,0,0,5,0,0,0,0,4,0,10,0,0,1,1,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,7,2,0,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,2,0,2,1,0,0,4,2,0,1,2,0,4,3,10,9,0,0,0,7,23,3,4,4,3,0,0,0,0,4,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,3,15,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5,0,0,2,2,2,0,2,0
24,Christlichdemokratische Volkspartei der Schweiz (CVP),Norbert Hochreutener,0,1,0,1,1,2,0,4,5,14,1,1,0,6,0,2,0,0,0,0,1,0,1,0,9,0,1,0,0,1,1,0,0,10,4,4,1,2,0,0,2,3,2,1,2,1,5,1,9,0,2,0,0,7,0,0,3,0,0,1,7,0,0,1,0,3,0,6,0,0,3,0,1,0,0,0,0,0,1,2,1,1,2,0,9,0,0,0,1,0,0,1,0,18,2,13,7,10,0,3,1,2,0,7,0,1,0,0,0,0,1,0,0,1,12,0,1,0,0,6,3,4,0,4,0,0,3,0,0,2,0,4,17,5,0,1,2,0,1,3,3,1,2,2,0,2,2,8,17,0,0,0,4,20,1,11,2,1,1,1,2,0,3,2,13,0,0,0,0,0,0,0,0,0,0,0,2,4,8,0,0,3,4,0,0,0,0,0,0,1,0,2,4,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,5,2,0,4,3,24,4,0,0
25,Christlichdemokratische Volkspartei der Schweiz (CVP),Paul Niederberger,1,3,2,1,1,2,2,4,2,6,5,0,2,8,0,1,0,1,0,1,3,0,1,0,1,2,5,1,0,3,1,0,0,6,2,0,0,6,1,0,1,2,3,1,0,0,0,0,0,0,0,1,1,3,1,0,5,10,0,0,3,0,0,1,1,0,2,0,0,1,1,0,1,0,0,1,1,0,1,8,1,0,0,0,8,1,0,0,0,0,0,0,0,10,2,12,2,0,1,0,0,1,0,2,0,5,0,0,0,1,1,1,0,0,3,6,0,0,0,3,0,6,0,8,1,3,1,1,1,5,0,1,1,1,0,0,3,0,0,2,0,0,2,0,0,0,0,1,4,0,5,0,3,32,1,0,1,1,0,0,0,4,3,1,0,0,0,2,0,0,1,2,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,2,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,0,0,0,0,1,0,0,0,1,1,5,0,0,0,1,0,6,2,1,1,4,1,3,4,0,2
26,Christlichdemokratische Volkspartei der Schweiz (CVP),Peter Bieri,0,8,13,2,1,2,7,9,15,22,3,0,4,88,0,0,0,0,0,0,6,0,6,0,16,2,11,3,0,16,2,4,0,5,3,6,11,18,4,0,15,4,9,2,1,3,0,0,8,0,1,4,3,20,11,0,3,1,0,0,2,0,0,15,0,1,7,21,0,2,12,6,4,1,0,0,0,0,0,14,6,0,9,2,6,4,7,6,0,0,0,3,0,0,7,10,9,4,14,9,2,0,0,7,8,3,1,0,4,0,3,1,0,0,0,5,2,0,0,1,1,1,0,5,1,9,1,2,0,16,0,8,4,8,37,4,5,0,1,10,8,1,10,1,1,10,11,4,39,0,2,0,87,142,1,3,2,0,0,3,1,6,6,18,0,0,0,9,0,0,6,13,0,0,0,5,5,42,21,0,0,4,13,0,2,2,0,0,1,1,2,0,3,1,0,6,1,0,1,0,20,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,13,0,0,0,0,0,0,0,0,3,2,49,0,0,0,14,37,17,19,1,0,2,3,23,8,1,0
27,Christlichdemokratische Volkspartei der Schweiz (CVP),Philipp Stähelin,4,4,8,5,2,20,9,6,5,20,15,0,12,65,0,0,0,1,0,0,3,0,1,0,7,1,4,0,1,10,0,23,0,16,4,3,8,11,3,1,1,1,4,2,0,2,0,0,2,0,0,11,8,45,4,1,2,13,0,0,1,0,0,9,4,3,4,3,0,9,4,0,5,0,3,2,0,0,0,7,9,0,4,1,14,3,11,0,10,0,0,4,0,12,15,14,0,9,7,8,0,9,3,16,1,5,0,0,0,0,5,1,0,0,0,6,1,0,0,4,8,1,11,8,7,6,1,0,2,2,1,1,1,8,0,2,5,0,0,27,2,3,20,0,0,4,1,0,5,0,2,0,85,126,1,10,12,0,0,5,4,2,3,13,0,0,0,5,0,0,0,7,0,0,0,8,2,6,20,1,2,0,5,1,5,0,0,0,0,2,12,3,0,5,0,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,11,0,0,0,0,0,0,0,0,0,0,13,3,1,0,7,0,0,2,0,6,11,1,2,7,4,0
28,Christlichdemokratische Volkspartei der Schweiz (CVP),Pirmin Bischof,3,1,0,1,0,0,1,0,3,18,0,0,1,8,0,4,3,0,0,0,2,0,10,0,1,0,1,0,0,0,18,0,3,8,7,15,0,2,1,0,2,0,0,2,1,1,6,0,4,0,1,0,0,1,0,0,0,1,0,0,18,0,0,7,2,0,1,3,0,0,0,0,0,6,5,1,1,0,0,19,4,0,6,0,8,0,1,0,6,0,0,0,0,1,3,12,10,3,2,4,0,0,2,4,0,13,0,0,0,0,0,1,0,1,11,16,0,0,0,9,0,2,1,2,0,0,1,0,0,18,1,0,1,5,0,0,0,0,0,3,0,1,1,4,0,1,0,21,18,0,3,0,25,27,5,8,1,15,0,0,0,4,5,3,20,0,0,2,0,0,0,0,2,0,0,1,0,0,19,0,0,0,3,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,0,0,0,0,0,0,0,0,18,18,2,1,0,0,0,0,0,13,0,0,1,1,1,2,1,0
29,Christlichdemokratische Volkspartei der Schweiz (CVP),Pius Segmüller,0,1,0,0,0,0,0,0,4,3,0,0,0,10,0,1,0,0,0,0,0,0,0,0,4,2,2,0,0,4,0,0,0,2,3,2,0,3,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,3,0,0,0,0,1,0,5,0,1,0,0,0,0,1,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,1,0,2,9,0,2,0,1,12,0,0,3,3,0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,1,2,2,1,0,0
