,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'buchstab')","('absatz', 'litera')","('angehor', 'arme')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('antrag', 'wurd')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'buchstab')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('ausserhalb', 'bauzon')","('automat', 'informationsaustausch')","('beantragt', 'einstimm')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('bericht', 'kommission')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'mehrheit')","('bitt', 'minderheitsantrag')","('buchstab', 'a')","('buchstab', 'b')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'antrag')","('bundesrat', 'beantragt')","('bundesrat', 'empfiehlt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'kommission')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('cvpfraktion', 'unterstutzt')","('dank', 'bundesrat')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darf', 'sag')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('deshalb', 'glaub')","('differenz', 'nationalrat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('diskussion', 'einverstand')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('empfiehlt', 'stimm')","('enthalt', 'abgelehnt')","('entsprech', 'antrag')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('erwahnt', 'word')","('etwa', 'million')","('etwa', 'prozent')","('europa', 'gerichtshof')","('europa', 'union')","('fakultativ', 'referendum')","('fassung', 'bundesrat')","('fassung', 'mehrheit')","('fassung', 'nationalrat')","('fdpdie', 'liberal')","('fdpfraktion', 'bitt')","('fdpfraktion', 'empfiehlt')","('fdpfraktion', 'lehnt')","('fdpfraktion', 'mehrheit')","('fdpfraktion', 'unterstutzt')","('fdpliberal', 'fraktion')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'forst')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('frau', 'sommaruga')","('ganz', 'klar')","('ganz', 'kurz')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bieri')","('herr', 'bundesrat')","('herr', 'david')","('herr', 'jenny')","('herr', 'kolleg')","('herr', 'leuenberg')","('herr', 'nationalrat')","('herr', 'stahelin')","('herr', 'standerat')","('herr', 'visch')","('herrn', 'bundesrat')","('herrn', 'david')","('herrn', 'kolleg')","('herrn', 'standerat')","('heut', 'geltend')","('heut', 'morg')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('insof', 'glaub')","('international', 'organisation')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'thurgau')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'antrag')","('kommission', 'beantragt')","('kommission', 'bundesrat')","('kommission', 'empfiehlt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'wurd')","('kommission', 'zuzustimm')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('landlich', 'raum')","('lasst', 'mitteil')","('le', 'conseil')","('lehnt', 'spfraktion')","('leutenegg', 'oberholz')","('liegt', 'schriftlich')","('mehr', 'geld')","('mehrheit', 'cvpfraktion')","('mehrheit', 'fdpfraktion')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'unterstutz')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('meinung', 'kommission')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'beton')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('mocht', 'nochmal')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'nationalrat')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpfraktion')","('nam', 'fdpfraktion')","('nam', 'fdpliberal')","('nam', 'kommission')","('nam', 'mehrheit')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'fassung')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('offent', 'verkehr')","('organisation', 'arbeitswelt')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('postulat', 'uberweis')","('pro', 'helvetia')","('recht', 'gesagt')","('rentnerinn', 'rentn')","('richtig', 'gesagt')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('schluss', 'gekomm')","('schon', 'gesagt')","('schriftlich', 'antwort')","('schriftlich', 'bericht')","('schweiz', 'tourismus')","('schweizer', 'nationalbank')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('standort', 'schweiz')","('stellung', 'nehm')","('stellungnahm', 'bundesrat')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('teilt', 'antrag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('verdeckt', 'ermittl')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vollig', 'klar')","('vorberat', 'kommission')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('vorlieg', 'motion')","('worum', 'geht')","('wurd', 'kommission')","('zwanzig', 'jahr')","('zwei', 'drei')","('zwei', 'drittel')","('zweit', 'saul')"
10,Christlichdemokratische Volkspartei der Schweiz (CVP),Esther Egger-Wyss,0,1,0,0,0,1,0,2,1,3,8,1,0,0,0,4,0,1,0,0,0,0,0,2,2,0,0,0,0,3,2,0,1,0,6,0,1,0,12,0,1,0,0,2,1,0,0,0,0,0,1,0,3,0,1,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,15,0,2,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,1,0,2,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,1,0,0,28,0,9,0,0,0,0,1,0,0,0,4,0,0,0,0,2,2,0,0,0,1,0,0,3,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,3,0,2,1,0,0,0,0,8,1,0,3,1
11,Christlichdemokratische Volkspartei der Schweiz (CVP),Eugen David,2,8,0,0,0,6,9,21,4,6,8,3,4,4,0,35,7,4,0,0,0,0,1,0,6,0,1,0,12,0,12,14,2,2,9,0,10,15,6,0,1,1,1,7,6,4,1,10,2,3,2,0,4,0,10,5,1,13,0,7,1,0,1,0,5,4,0,0,6,9,0,2,0,3,6,11,4,3,1,3,6,0,1,0,1,0,0,0,0,0,0,0,8,0,0,4,39,3,11,2,0,1,5,62,1,28,12,54,12,8,3,11,0,2,3,3,23,0,1,6,0,0,4,0,0,7,0,4,0,1,7,1,4,1,8,4,5,0,4,0,1,1,7,5,4,7,6,9,0,4,3,5,1,6,0,0,0,0,0,0,5,0,0,20,10,0,0,0,1,4,5,0,37,8,0,3,6,3,15,6,1,18,3,7,0,0,0,0,10,1,0,0,2,0,5,3,0,0,6,1,0,0,12,1,4,2,5,0,16,5,0,0,0,1,3,0,3,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,7,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,10,0,0,0,6,0,0,0,12,8,5,10,5,6
12,Christlichdemokratische Volkspartei der Schweiz (CVP),Filippo Lombardi,9,4,1,0,0,6,1,3,2,1,8,0,4,0,4,13,0,0,0,0,0,0,8,3,1,0,1,0,4,0,1,0,1,0,3,0,0,5,2,1,0,8,0,1,0,3,4,2,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,2,33,6,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,6,1,0,0,7,0,5,0,0,0,3,2,1,0,7,30,1,5,4,3,2,1,0,0,4,4,0,6,0,0,0,0,0,1,1,1,0,1,2,11,2,0,0,0,0,0,1,0,0,2,0,0,12,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,1,0,0,4,0,25,1,0,1,3,0,0,0,6,12,9,15,0,0,0,0,2,0,0,0,2,1,2,6,2,0,20,0,0,0,1,0,0,0,0,0,7,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,0,6,4,0,1,0
13,Christlichdemokratische Volkspartei der Schweiz (CVP),Gerhard Pfister,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansheiri Inderkum,20,23,0,0,0,28,10,25,1,23,20,2,30,0,0,128,7,4,25,0,0,24,9,20,20,5,50,0,19,4,2,2,0,0,1,0,10,15,8,2,3,60,0,1,0,4,0,0,0,1,0,0,1,0,2,7,1,22,1,1,1,0,0,4,0,3,32,1,0,2,0,0,0,12,6,2,0,1,0,1,1,2,1,0,4,0,0,0,0,0,0,0,22,3,0,3,38,7,1,9,0,3,2,5,7,0,1,7,13,4,42,0,0,1,3,0,11,1,2,49,0,1,1,0,0,5,0,8,0,0,6,35,16,0,1,4,1,0,9,1,3,4,2,7,68,6,0,0,42,1,3,4,2,1,0,0,0,0,0,18,0,0,0,1,25,0,0,1,0,8,3,0,0,0,1,0,1,1,9,2,17,21,1,3,0,0,0,0,7,3,0,0,17,0,6,8,0,0,44,0,0,0,3,0,3,0,1,0,1,3,31,51,1,2,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,3,1,0,23,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,5,0,9,10,1,1,1,2,6,0,1,0,0
15,Christlichdemokratische Volkspartei der Schweiz (CVP),Hansruedi Stadler,1,8,0,0,0,5,10,3,5,4,8,0,10,1,0,37,1,0,0,0,0,1,0,1,0,5,2,3,5,0,0,0,1,0,0,1,2,1,5,2,0,2,0,0,3,1,3,1,1,2,0,0,1,0,11,2,1,2,1,0,0,0,0,3,0,0,0,2,1,5,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,3,0,1,1,7,0,0,4,1,0,0,9,0,0,1,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,1,0,1,11,1,0,0,15,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,2,0,11,0,1,5,1,0,11,0,1,5,4,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,17,0,0,14,0,0,0,6,0,1,1,0,0,4,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,7,0,0,5,0,0,0,2,2,1,0,4,1,0
16,Christlichdemokratische Volkspartei der Schweiz (CVP),Ida Glanzmann-Hunkeler,0,0,0,6,0,1,2,0,0,4,0,1,0,0,3,3,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,3,0,0,3,2,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,2,0,0,8,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,1,0,1,0,0
17,Christlichdemokratische Volkspartei der Schweiz (CVP),Ivo Bischofberger,2,0,2,0,0,3,5,4,0,2,2,0,2,0,0,14,3,1,0,0,0,2,3,0,4,0,0,0,2,0,5,2,0,1,5,1,1,0,7,1,0,3,0,3,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,3,0,0,0,4,2,0,1,4,0,1,5,0,0,3,0,1,4,0,1,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,6,2,0,0,1,0,0,0,0,3,3,0,0,1,1,1,0,8,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,4,18,0,0,10,0,0,0,0,0,0
18,Christlichdemokratische Volkspartei der Schweiz (CVP),Jakob Büchler,0,1,0,3,0,0,2,2,1,3,5,4,0,0,2,12,0,0,0,0,0,0,0,0,1,1,0,0,2,0,4,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,13,1,1,1,10,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0,0,9,1,0,0,0,1,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,10,0,3,0,0,7,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,2,8,0,1,0,0
19,Christlichdemokratische Volkspartei der Schweiz (CVP),Kathrin Amacker-Amann,0,0,0,0,0,1,1,1,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Christlichdemokratische Volkspartei der Schweiz (CVP),Kathy Riklin,0,7,0,0,0,0,0,0,2,7,12,1,0,1,0,18,3,0,0,0,0,0,0,4,0,2,0,0,0,9,4,3,0,0,8,1,6,3,8,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,1,0,0,0,0,15,1,3,0,0,0,0,0,0,0,0,1,6,0,0,2,3,0,0,0,0,0,0,0,1,3,0,1,0,0,2,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,1,0,0,0,5,4,3,0,3,4,0,0,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,2,0,5,0,0,7,1,1,0,2,2,0,0,0,1,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,9,0,0,17,1,0,0,1,0,0,1,0,0,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,0,0,0,0,0,0,0,4,0,0,0,0
21,Christlichdemokratische Volkspartei der Schweiz (CVP),Konrad Graber,3,4,2,1,0,7,1,7,5,9,2,2,14,1,0,25,0,4,1,0,0,2,0,2,4,4,3,9,7,0,14,0,14,0,2,2,3,2,6,3,0,2,0,0,7,2,1,0,6,2,0,1,1,0,4,4,1,4,0,0,0,2,0,0,3,0,0,0,1,8,0,0,0,1,4,6,0,1,1,1,0,0,2,0,4,0,0,0,0,0,0,0,6,0,1,1,6,2,4,2,0,0,1,3,6,0,10,4,8,2,9,3,2,0,6,1,2,2,0,1,1,0,0,0,0,5,1,1,0,0,2,10,3,0,0,0,3,2,2,0,0,4,1,2,2,2,0,0,12,3,11,2,0,12,0,0,0,0,0,0,0,0,0,3,14,0,0,0,1,1,0,2,36,0,0,1,2,3,6,2,2,7,1,6,0,0,0,0,1,0,0,0,1,1,1,1,4,1,18,0,0,0,0,4,0,3,1,0,3,0,0,3,2,17,1,1,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,1,8,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,7,0,1,0,1,0,0,4,2,21,3,10,2,2
22,Christlichdemokratische Volkspartei der Schweiz (CVP),Lucrezia Meier-Schatz,0,1,0,0,0,4,1,0,0,4,14,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,2,0,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,19,0,0,0,1,0,0,1,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,1,0,14,2,0,1,0,0,3,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,28,0,0,0,3,0,0,1,0,1,2,0,2,2,0,0,0,0,0,0,0,4,0,3,0,0,4,20,0,0,2,4,1,0,0,22,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,37,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1,1,4,0,0,2
23,Christlichdemokratische Volkspartei der Schweiz (CVP),Markus Zemp,0,0,0,0,0,0,0,0,2,4,5,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,4,0,4,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,5,1,0,0,4,0,1,0,10,0,0,1,1,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0,10,9,0,0,4,3,0,0,0,7,3,3,0,0,0,0,0,0,4,1,3,0,0,0,0,0,6,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,5,0,0,0,2,2,0,2,1,0
24,Christlichdemokratische Volkspartei der Schweiz (CVP),Norbert Hochreutener,0,0,0,0,0,2,0,4,8,5,14,1,1,1,0,6,0,0,0,0,0,1,1,1,9,2,0,0,1,0,8,0,10,0,4,1,1,1,2,1,0,0,0,2,2,2,3,2,2,2,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,7,6,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,9,0,0,1,2,0,1,18,7,3,2,13,7,10,0,3,0,3,2,0,7,0,0,1,0,0,0,0,1,1,0,0,0,0,3,12,0,0,0,3,4,0,2,0,0,0,3,1,2,0,0,4,17,5,0,0,1,1,0,0,0,0,2,0,0,1,0,8,17,0,0,0,0,0,2,0,4,1,1,0,0,0,2,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,1,4,0,8,0,1,3,0,0,0,0,0,4,3,7,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,4,3,1,0,1,0
25,Christlichdemokratische Volkspartei der Schweiz (CVP),Paul Niederberger,1,2,0,0,0,2,2,4,0,2,6,0,5,0,0,8,1,0,0,0,0,3,0,1,1,2,1,0,3,0,4,0,6,0,2,1,0,1,6,1,0,1,0,1,0,0,2,0,2,1,1,0,0,0,1,1,1,1,0,0,0,0,0,4,10,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,4,0,3,0,0,0,0,0,0,1,8,0,0,0,8,0,0,0,0,0,0,10,0,0,2,12,2,0,1,0,3,0,1,0,2,0,0,5,0,0,0,1,0,1,0,1,0,0,5,3,6,0,1,0,6,0,1,0,0,2,1,1,5,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,5,0,0,3,1,1,0,5,1,0,1,4,3,1,1,0,0,0,0,2,1,0,0,1,0,2,3,0,0,12,0,0,0,0,0,0,2,2,0,0,2,0,1,0,0,0,0,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,6,2,0,0,1,4,1,1,0,0,0
26,Christlichdemokratische Volkspartei der Schweiz (CVP),Peter Bieri,0,13,1,1,0,2,7,9,6,15,22,0,3,0,9,88,6,5,1,0,0,6,5,6,16,6,3,0,16,4,10,0,5,1,3,0,11,13,18,9,9,4,0,15,0,9,4,2,0,0,3,0,7,0,4,11,3,11,0,0,0,4,1,5,1,0,0,0,0,1,0,2,1,6,21,2,0,4,8,0,1,0,4,3,5,0,0,0,0,0,0,0,14,0,0,2,6,7,6,0,1,0,3,0,13,0,7,10,9,4,14,9,0,2,0,0,7,2,0,3,0,1,4,0,0,3,0,1,0,1,6,0,5,0,1,1,1,0,3,2,0,4,1,4,16,6,2,8,4,8,10,2,1,4,0,0,0,0,1,1,5,0,0,4,39,0,0,0,0,2,4,0,87,1,0,0,22,6,1,0,6,6,3,18,1,0,0,0,9,1,0,0,6,1,13,4,42,1,21,0,0,4,2,0,1,2,1,3,4,1,0,6,1,1,2,3,20,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,1,7,13,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,15,2,1,17,19,0,0,7,2,3,5,1,4,0
