term,bestTune.cost,bestTune.loss,bestTune.epsilon,Accuracy.CV.10Fold
1,100000000000,L1,0.01,0.2791887822322605
2,100000000000,L1,0.01,0.20370073404856012
3,100000000000,L1,0.01,0.18201841065113375
4,100000000000,L1,0.01,0.20771000738392043
5,100000000000,L1,0.01,0.20984848484848484
