mtry,splitrule,term1.rf,term2.rf,term3.rf,term4.rf,term5.rf
2,gini,0.3896542657698264,0.36294466403162057,0.28020788631658194,0.29036561264822136,0.29935725144420794
2,extratrees,0.3584640686036567,0.33588368153585546,0.27016958403914926,0.2553524374176548,0.30388623695145434
146,gini,0.6629510089452881,0.6450334086203652,0.5857367777150386,0.629199604743083,0.5372862572210398
146,extratrees,0.6115862746457712,0.5767739506869941,0.47350630528891396,0.5021409749670619,0.4890484443093139
10707,gini,0.6716905207683239,0.6545219273480143,0.6312073216638434,0.6726778656126482,0.660594152224587
10707,extratrees,0.6828835032244643,0.6678147939017505,0.6331761716544325,0.6980566534914361,0.6809840883753927
