,Speaker Party,Speaker,"('ab', 'jahr')","('abgelehnt', 'word')","('ablehn', 'motion')","('absatz', 'buchstab')","('absatz', 'geht')","('absatz', 'litera')","('absatz', 'streich')","('acht', 'jahr')","('administrativ', 'aufwand')","('allgemein', 'teil')","('allgemein', 'wehrpflicht')","('alt', 'mensch')","('amtlich', 'bulletin')","('angehor', 'arme')","('angenomm', 'word')","('angesproch', 'word')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'gestellt')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('antrag', 'stell')","('antrag', 'wurd')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'artikel')","('artikel', 'buchstab')","('artikel', 'geht')","('artikel', 'or')","('artikel', 'stgb')","('artikel', 'streich')","('artikel', 'ziff')","('arztinn', 'arzt')","('aufgab', 'bund')","('aufmerksam', 'gemacht')","('auftrag', 'erfull')","('auftrag', 'gegeb')","('aug', 'behalt')","('ausdruck', 'gebracht')","('ausfuhr', 'herrn')","('auslanderinn', 'ausland')","('aussenpolit', 'kommission')","('aussicht', 'gestellt')","('automat', 'informationsaustausch')","('beantrag', 'nam')","('beantragt', 'einstimm')","('beantragt', 'kommission')","('beantragt', 'mind')","('beantragt', 'motion')","('beantragt', 'stimm')","('beid', 'antrag')","('beid', 'rat')","('beim', 'bund')","('beim', 'bundesamt')","('beim', 'eintret')","('bereit', 'erwahnt')","('bereit', 'heut')","('bericht', 'kommission')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('beschluss', 'standerat')","('besond', 'wichtig')","('best', 'dank')","('betrag', 'million')","('betroff', 'person')","('bissch', 'mehr')","('bitt', 'antrag')","('bitt', 'artikel')","('bitt', 'bundesrat')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'ebenfall')","('bitt', 'kommission')","('bitt', 'mehrheit')","('bitt', 'mind')","('bitt', 'minderheitsantrag')","('bitt', 'motion')","('bitt', 'vorlag')","('bitt', 'wirklich')","('bittet', 'svpfraktion')","('buchstab', 'a')","('buchstab', 'b')","('buchstab', 'e')","('bund', 'kanton')","('bundesamt', 'gesund')","('bundesamt', 'justiz')","('bundesamt', 'migration')","('bundesamt', 'verkehr')","('bundesrat', 'antrag')","('bundesrat', 'beantragt')","('bundesrat', 'beauftragt')","('bundesrat', 'bleib')","('bundesrat', 'bloch')","('bundesrat', 'botschaft')","('bundesrat', 'couchepin')","('bundesrat', 'deshalb')","('bundesrat', 'entwurf')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'kommission')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'mind')","('bundesrat', 'mocht')","('bundesrat', 'motion')","('bundesrat', 'nationalrat')","('bundesrat', 'parlament')","('bundesrat', 'sagt')","('bundesrat', 'schlagt')","('bundesrat', 'schreibt')","('bundesrat', 'standerat')","('bundesrat', 'unterstutz')","('bundesrat', 'unterstutzt')","('bundesrat', 'verwalt')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('bundesrat', 'vorlag')","('bundesratin', 'leuthard')","('burg', 'mehrheit')","('burg', 'partei')","('dafur', 'braucht')","('dam', 'herr')","('dan', 'le')","('dank', 'bundesrat')","('dank', 'frag')","('dank', 'unterstutz')","('daran', 'erinn')","('darauf', 'angewies')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darf', 'sag')","('darub', 'diskutiert')","('darum', 'bitt')","('darum', 'bundesrat')","('davon', 'ausgeh')","('de', 'la')","('denk', 'daran')","('deshalb', 'antrag')","('deshalb', 'bundesrat')","('deshalb', 'ja')","('deshalb', 'minderheitsantrag')","('deshalb', 'mocht')","('deshalb', 'muss')","('deshalb', 'nam')","('deshalb', 'spfraktion')","('deshalb', 'svpfraktion')","('differenz', 'nationalrat')","('differenz', 'standerat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('direkt', 'gegenvorschlag')","('diskussion', 'kommission')","('diskussion', 'stehend')","('diskutiert', 'word')","('drei', 'jahr')","('drei', 'punkt')","('dreissig', 'jahr')","('dringend', 'notwend')","('durchaus', 'moglich')","('durchaus', 'sinn')","('eben', 'gerad')","('eben', 'mehr')","('ehrlich', 'gesagt')","('ehrlich', 'sag')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('eidgenoss', 'zollverwalt')","('eigent', 'schon')","('einburgerungsgesuch', 'stell')","('einfach', 'sag')","('einverstand', 'erklar')","('einzig', 'allein')","('einzutret', 'zuzustimm')","('elt', 'sorg')","('end', 'jahr')","('enthalt', 'abgelehnt')","('entscheid', 'fall')","('entscheid', 'gefallt')","('entsprech', 'antrag')","('entwurf', 'bundesrat')","('erinn', 'daran')","('erinner', 'ruf')","('erleichtert', 'einburger')","('erneuerbar', 'energi')","('ernst', 'nimmt')","('ersatz', 'list')","('erst', 'lini')","('erst', 'punkt')","('erst', 'recht')","('erst', 'schritt')","('erst', 'teil')","('ersuch', 'deshalb')","('erwahnt', 'word')","('etwa', 'milliard')","('etwa', 'million')","('etwa', 'prozent')","('europa', 'gerichtshof')","('europa', 'menschenrechtskonvention')","('europa', 'union')","('fakultativ', 'referendum')","('fall', 'den')","('famili', 'kind')","('fassung', 'bundesrat')","('fassung', 'kommission')","('fassung', 'mehrheit')","('fassung', 'nationalrat')","('fassung', 'standerat')","('finanziell', 'auswirk')","('finanziell', 'mittel')","('finanzplatz', 'schweiz')","('flankier', 'massnahm')","('flughaf', 'zurich')","('folg', 'antrag')","('folg', 'geb')","('folgend', 'grund')","('folgend', 'sag')","('frag', 'beantwort')","('frag', 'bundesrat')","('frag', 'frau')","('frag', 'herr')","('frag', 'herrn')","('frag', 'schon')","('frag', 'wer')","('frank', 'kurz')","('frank', 'mehr')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fassl')","('frau', 'fehr')","('frau', 'fetz')","('frau', 'kien')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'meierschatz')","('frau', 'nationalratin')","('frau', 'sommaruga')","('frau', 'standeratin')","('funf', 'jahr')","('funfzehn', 'jahr')","('ganz', 'besond')","('ganz', 'entscheid')","('ganz', 'genau')","('ganz', 'gross')","('ganz', 'herzlich')","('ganz', 'klar')","('ganz', 'konkret')","('ganz', 'kurz')","('ganz', 'sich')","('ganz', 'welt')","('ganz', 'wichtig')","('gar', 'mehr')","('gas', 'dampfkraftwerk')","('geb', 'recht')","('gebund', 'ausgab')","('geh', 'davon')","('geht', 'dabei')","('geht', 'darum')","('geht', 'eben')","('geht', 'eigent')","('geht', 'einfach')","('geht', 'frag')","('geht', 'ja')","('geistig', 'eigentum')","('geltend', 'gemacht')","('geltend', 'recht')","('gemacht', 'word')","('gemacht', 'wurd')","('gemass', 'artikel')","('gemeinsam', 'elt')","('genau', 'deshalb')","('gerichtshof', 'menschenrecht')","('gern', 'bereit')","('gesagt', 'bundesrat')","('gesagt', 'hatt')","('gesagt', 'ja')","('gesagt', 'sei')","('gesagt', 'word')","('geschatzt', 'frau')","('geschatzt', 'herr')","('geschatzt', 'kolleg')","('geschatzt', 'kollegin')","('gesetz', 'regel')","('gesetz', 'schreib')","('gesetz', 'verordn')","('gibt', 'eben')","('gibt', 'ja')","('gibt', 'kanton')","('gibt', 'verschied')","('gibt', 'zwei')","('glaub', 'wichtig')","('gleich', 'lang')","('gross', 'bedeut')","('gross', 'mehrheit')","('gross', 'probl')","('grund', 'dafur')","('grund', 'weshalb')","('grundsatz', 'frag')","('gut', 'daran')","('gut', 'gemeint')","('gut', 'grund')","('hauslich', 'gewalt')","('herr', 'aeschbach')","('herr', 'baad')","('herr', 'bieri')","('herr', 'bloch')","('herr', 'bortoluzzi')","('herr', 'buhr')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'david')","('herr', 'fehr')","('herr', 'gross')","('herr', 'hammerl')","('herr', 'jenny')","('herr', 'kaufmann')","('herr', 'kolleg')","('herr', 'link')","('herr', 'mull')","('herr', 'nationalrat')","('herr', 'pfist')","('herr', 'rechstein')","('herr', 'schiess')","('herr', 'schluer')","('herr', 'schmid')","('herr', 'schwand')","('herr', 'stahelin')","('herr', 'standerat')","('herr', 'visch')","('herr', 'vollm')","('herr', 'wasserfall')","('herrn', 'bundesrat')","('herrn', 'kolleg')","('herrn', 'standerat')","('herzlich', 'dank')","('heut', 'berat')","('heut', 'bereit')","('heut', 'geltend')","('heut', 'ja')","('heut', 'morg')","('heutig', 'regel')","('hoh', 'einkomm')","('hoh', 'kost')","('hoh', 'million')","('hoh', 'preis')","('hoh', 'vergut')","('hundert', 'million')","('imm', 'gleich')","('imm', 'mehr')","('indirekt', 'gegenvorschlag')","('infrag', 'gestellt')","('initiantinn', 'initiant')","('initiativ', 'ablehn')","('initiativ', 'folg')","('inn', 'sich')","('insgesamt', 'million')","('interess', 'daran')","('interess', 'schweiz')","('international', 'organisation')","('international', 'recht')","('international', 'standard')","('international', 'vertrag')","('international', 'zusammenarbeit')","('ja', 'bereit')","('ja', 'gerad')","('ja', 'gut')","('ja', 'imm')","('ja', 'klar')","('ja', 'nein')","('ja', 'sag')","('ja', 'schon')","('ja', 'wohl')","('jahr', 'alt')","('jahr', 'lang')","('jahr', 'mehr')","('jahr', 'neu')","('januar', 'kraft')","('je', 'mehr')","('je', 'nachd')","('jugend', 'sport')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'aargau')","('kanton', 'baselstadt')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'st')","('kanton', 'tessin')","('kanton', 'thurgau')","('kanton', 'zurich')","('kauf', 'nehm')","('kenntnis', 'genomm')","('kenntnis', 'nehm')","('klar', 'meinung')","('klein', 'mittl')","('klipp', 'klar')","('kolleg', 'bieri')","('kolleg', 'david')","('kolleg', 'leuenberg')","('kolleg', 'schmid')","('kolleg', 'stahelin')","('kollegin', 'fetz')","('kolleginn', 'kolleg')","('kommission', 'antrag')","('kommission', 'beantragt')","('kommission', 'bundesrat')","('kommission', 'einstimm')","('kommission', 'empfiehlt')","('kommission', 'folg')","('kommission', 'mocht')","('kommission', 'nationalrat')","('kommission', 'rat')","('kommission', 'rechtsfrag')","('kommission', 'sozial')","('kommission', 'stimm')","('kommission', 'verkehr')","('kommission', 'wurd')","('kommissionssprech', 'gesagt')","('kommt', 'ja')","('konsumentinn', 'konsument')","('konzept', 'bundesrat')","('kraft', 'getret')","('kraft', 'setz')","('kraft', 'tret')","('kundinn', 'kund')","('kurzung', 'million')","('landlich', 'raum')","('lang', 'spiess')","('lang', 'zeit')","('lehnt', 'spfraktion')","('lehnt', 'svpfraktion')","('letzt', 'jahr')","('letzt', 'mal')","('letzt', 'punkt')","('leutenegg', 'oberholz')","('lex', 'koll')","('link', 'seit')","('losung', 'bundesrat')","('losung', 'find')","('losung', 'gefund')","('macht', 'sinn')","('massnahm', 'treff')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'finanzkommission')","('mehrheit', 'find')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'unterstutz')","('mehrheit', 'wak')","('mehrheit', 'zustimm')","('mehrheit', 'zuzustimm')","('meinung', 'bundesrat')","('meinung', 'kommission')","('mensch', 'behinder')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'abzulehn')","('mind', 'beantragt')","('mind', 'folg')","('mind', 'i')","('mind', 'kommission')","('mind', 'unterstutz')","('mind', 'zuzustimm')","('minderheitsantrag', 'abzulehn')","('minderheitsantrag', 'zuzustimm')","('mitarbeiterinn', 'mitarbeit')","('mittl', 'einkomm')","('mittl', 'unternehm')","('mocht', 'beton')","('mocht', 'bitt')","('mocht', 'bundesrat')","('mocht', 'daran')","('mocht', 'darauf')","('mocht', 'deshalb')","('mocht', 'einfach')","('mocht', 'folgend')","('mocht', 'frag')","('mocht', 'herrn')","('mocht', 'kurz')","('mocht', 'nochmal')","('mocht', 'sag')","('mocht', 'schon')","('mocht', 'zunach')","('moglich', 'geb')","('moglich', 'rasch')","('moglich', 'schnell')","('motion', 'ablehn')","('motion', 'abzulehn')","('motion', 'annehm')","('motion', 'anzunehm')","('motion', 'postulat')","('motion', 'standerat')","('motion', 'uberweis')","('muss', 'aufpass')","('muss', 'dafur')","('muss', 'einfach')","('muss', 'ja')","('muss', 'klar')","('muss', 'schon')","('muss', 'seh')","('muss', 'wiss')","('nach', 'jahr')","('nach', 'vier')","('nam', 'bundesrat')","('nam', 'kommission')","('nam', 'kommissionsmehr')","('nam', 'kommissionsmind')","('nam', 'mehrheit')","('nam', 'mind')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'anzuschliess')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('natur', 'frag')","('natur', 'schon')","('nein', 'sag')","('neu', 'artikel')","('neu', 'aufgab')","('neu', 'bestimm')","('neu', 'gesetz')","('neu', 'regel')","('neu', 'stell')","('neu', 'steu')","('offent', 'beschaffungswes')","('offent', 'hand')","('offent', 'interess')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('per', 'januar')","('person', 'erklar')","('polit', 'entscheid')","('postulat', 'abzulehn')","('pro', 'helvetia')","('pro', 'jahr')","('pro', 'monat')","('prozent', 'mehr')","('prozent', 'prozent')","('recht', 'gesagt')","('rechtlich', 'grundlag')","('relativ', 'gross')","('rentnerinn', 'rentn')","('richterinn', 'richt')","('richtig', 'gesagt')","('richtig', 'ort')","('richtig', 'richtung')","('richtung', 'geht')","('rund', 'milliard')","('rund', 'tisch')","('sag', 'bundesrat')","('sag', 'einfach')","('sag', 'gern')","('sag', 'herr')","('sag', 'ja')","('sag', 'mal')","('sag', 'muss')","('sag', 'schreib')","('sag', 'sei')","('sbb', 'cargo')","('schlicht', 'einfach')","('schluss', 'gekomm')","('schon', 'bissch')","('schon', 'gar')","('schon', 'gesagt')","('schon', 'sag')","('schriftlich', 'bericht')","('schutz', 'privatsphar')","('schweiz', 'international')","('schweiz', 'tourismus')","('schweizer', 'nationalbank')","('schweizerinn', 'schweiz')","('sech', 'monat')","('seit', 'fahn')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'sp')","('sicht', 'spfraktion')","('sicht', 'svp')","('sicht', 'svpfraktion')","('sinn', 'bitt')","('sinn', 'macht')","('sinn', 'zweck')","('sozial', 'sich')","('sozial', 'wohlfahrt')","('sozialdemokrat', 'fraktion')","('sozialdemokratinn', 'sozialdemokrat')","('sp', 'klar')","('sp', 'steht')","('sp', 'unterstutzt')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'beantragt')","('spfraktion', 'begrusst')","('spfraktion', 'beid')","('spfraktion', 'bereit')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'deshalb')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'mocht')","('spfraktion', 'steht')","('spfraktion', 'stimmt')","('spfraktion', 'tritt')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('sprech', 'spfraktion')","('st', 'gall')","('staatspolit', 'kommission')","('stadt', 'gemeind')","('standerat', 'bundesrat')","('standerat', 'folg')","('standerat', 'kommission')","('standesinitiativ', 'folg')","('standort', 'schweiz')","('stell', 'fest')","('stellt', 'frag')","('stellung', 'genomm')","('stellung', 'nehm')","('stellungnahm', 'bundesrat')","('steuerzahlerinn', 'steuerzahl')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('strateg', 'ziel')","('stuf', 'bund')","('svpfraktion', 'antrag')","('svpfraktion', 'artikel')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bereit')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'eintret')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'grossmehrheit')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'meinung')","('svpfraktion', 'mind')","('svpfraktion', 'minderheitsantrag')","('svpfraktion', 'steht')","('svpfraktion', 'stimmt')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('teil', 'auffass')","('teilt', 'antrag')","('tun', 'muss')","('tut', 'leid')","('umfang', 'million')","('unabhang', 'davon')","('uns', 'kommission')","('uns', 'meinung')","('uns', 'sicht')","('unt', 'mittl')","('unternehmenssteuerreform', 'ii')","('unternehmenssteuerreform', 'iii')","('unterstutz', 'antrag')","('unterstutzt', 'antrag')","('unterstutzt', 'spfraktion')","('unterstutzt', 'svpfraktion')","('verfug', 'steh')","('verfug', 'stehend')","('vergang', 'jahr')","('verkehr', 'fernmeldewes')","('verlangt', 'bundesrat')","('verstandnis', 'dafur')","('viel', 'dank')","('vier', 'funf')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vollig', 'klar')","('vorberat', 'kommission')","('vorlag', 'eintret')","('vorlag', 'einzutret')","('vorlauf', 'anwend')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('vorlieg', 'motion')","('wahl', 'herrn')","('war', 'ja')","('weit', 'geh')","('weiterentwickl', 'arme')","('wenig', 'geld')","('werkplatz', 'schweiz')","('wesent', 'hoh')","('wesent', 'mehr')","('wesent', 'teil')","('weshalb', 'bundesrat')","('wichtig', 'frag')","('wichtig', 'punkt')","('wirtschaft', 'leistungsfah')","('wiss', 'darum')","('wiss', 'ganz')","('wiss', 'ja')","('wohl', 'kaum')","('wohl', 'kind')","('word', 'war')","('worum', 'geht')","('wurd', 'bereit')","('wurd', 'kommission')","('z', 'b')","('zehn', 'jahr')","('zeich', 'setz')","('zivil', 'behord')","('zuhand', 'materiali')","('zwanzig', 'jahr')","('zwei', 'ding')","('zwei', 'drei')","('zwei', 'drittel')","('zwei', 'grund')","('zwei', 'jahr')","('zweit', 'punkt')","('zweit', 'saul')","('zwolf', 'jahr')"
0,Schweizerische Volkspartei (SVP),Adrian Amstutz,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,1,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,2,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0
1,Schweizerische Volkspartei (SVP),Alex Kuprecht,0,1,0,1,4,3,0,1,0,1,0,0,1,3,1,0,0,3,2,0,4,3,9,3,0,1,2,3,13,19,0,2,1,0,0,0,0,0,1,5,0,1,2,3,0,2,1,0,0,1,0,0,0,0,1,0,2,4,0,1,3,2,0,15,8,0,0,0,2,3,0,7,0,2,1,18,0,4,0,0,0,1,1,1,0,0,3,2,1,3,1,3,0,0,1,1,0,0,1,1,0,1,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,4,4,1,0,0,0,1,1,0,0,4,2,0,3,0,0,0,0,0,1,0,0,4,0,0,4,0,2,1,3,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1,0,0,3,1,1,4,0,0,0,1,6,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,6,0,1,0,0,0,1,0,2,2,5,0,0,0,0,3,0,0,0,0,0,1,0,0,0,10,7,8,0,0,0,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,3,1,2,0,0,1,0,7,0,2,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,1,2,1,0,0,0,0,0,1,1,1,1,2,2,2,1,0,2,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,2,6,0,0,8,1,0,0,0,0,1,1,1,0,0,1,0,0,0,2,2,0,0,0,0,1,4,0,0,0,1,13,1,0,1,0,0,0,0,1,1,3,0,0,0,6,0,0,1,6,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,2,0,2,2,1,1,0,0,1,2,2,10,1,2,1,0,0,0,0,2,0,0,0,2,0,2,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,5,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,4,0,0,4,1,6,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,2,2,7,5,0,2,0,2,0,5,1,0,4,0,7,1
2,Schweizerische Volkspartei (SVP),Bruno Zuppiger,1,1,0,5,1,0,0,0,2,1,0,0,0,0,2,3,0,2,3,1,0,5,9,20,0,2,1,3,2,19,1,2,1,2,0,0,1,0,4,0,0,2,0,2,0,0,1,5,0,0,0,3,5,0,6,0,0,11,0,2,3,2,0,1,2,7,0,0,3,0,0,4,0,0,0,0,0,2,0,4,3,6,2,5,1,0,2,1,0,16,0,0,0,2,1,1,3,0,1,2,0,0,4,2,2,1,0,0,11,0,0,0,0,14,3,2,0,8,2,0,3,3,0,3,1,0,5,0,1,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,1,0,0,0,1,4,1,0,2,2,2,0,0,0,0,3,3,0,2,0,0,0,0,1,0,3,4,1,1,0,6,0,2,0,0,1,0,8,0,1,2,0,0,2,5,16,7,0,0,0,1,2,0,2,0,0,2,2,0,1,4,0,1,0,7,3,0,0,1,0,0,0,0,0,0,3,4,0,2,4,0,0,4,3,2,1,0,0,1,5,3,0,0,0,1,1,7,0,0,1,0,0,0,0,0,1,0,0,6,1,3,0,6,3,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,1,0,2,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1,0,0,0,1,1,0,3,0,0,0,6,0,3,0,0,4,0,4,0,0,2,0,0,0,0,0,0,0,1,0,1,2,2,1,0,1,5,0,3,2,1,0,2,1,0,0,0,0,0,0,0,1,0,0,3,0,7,0,0,1,0,0,0,0,3,0,2,0,1,0,2,0,0,1,0,0,7,0,1,0,0,0,2,0,3,2,0,0,0,1,3,0,1,23,9,1,4,0,2,1,2,5,1,1,0,1,3,1,3,15,0,1,0,31,2,4,1,1,0,1,74,1,1,1,17,5,0,1,3,1,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,3,0,5,1,0,0,3,0,0,0,1,0,6,4,0,1,1,0,3,0,0,15,0,1,2,0,2,1,0,4,1,2,1,1,7,0,0,0,7,18,0,2,0,1,0,2,10,0,1,2,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,1,0,1,5,0,1,2,1,0,0,2,1,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,2,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,1,1,0,1,0,2,3,25,1,2,5,1,0,1,1,5,0,0,0,0,0,3,0,1,0,0,0,5,2,0,0,0,1,3,0,0,0,4,0,3,0,2,0,0,4,1,0,5,0,0,0,0,2,9,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,1,2,2,0,0,0,0,1,2,4,6,4,6,3,0,0,0,1,4,2,0,12,0,0,0
