,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'buchstab')","('absatz', 'litera')","('angehor', 'arme')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('antrag', 'wurd')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'buchstab')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('ausserhalb', 'bauzon')","('automat', 'informationsaustausch')","('beantragt', 'einstimm')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('bericht', 'kommission')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'mehrheit')","('bitt', 'minderheitsantrag')","('buchstab', 'a')","('buchstab', 'b')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesrat', 'antrag')","('bundesrat', 'beantragt')","('bundesrat', 'empfiehlt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'kommission')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('cvpevpfraktion', 'unterstutzt')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'eintret')","('cvpfraktion', 'unterstutzt')","('dank', 'bundesrat')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darf', 'sag')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('deshalb', 'glaub')","('differenz', 'nationalrat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('diskussion', 'einverstand')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('empfiehlt', 'stimm')","('enthalt', 'abgelehnt')","('entsprech', 'antrag')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('erwahnt', 'word')","('etwa', 'million')","('etwa', 'prozent')","('europa', 'gerichtshof')","('europa', 'union')","('fakultativ', 'referendum')","('fassung', 'bundesrat')","('fassung', 'mehrheit')","('fassung', 'nationalrat')","('fdpdie', 'liberal')","('fdpfraktion', 'bitt')","('fdpfraktion', 'empfiehlt')","('fdpfraktion', 'lehnt')","('fdpfraktion', 'mehrheit')","('fdpfraktion', 'unterstutzt')","('fdpliberal', 'fraktion')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('frau', 'sommaruga')","('ganz', 'klar')","('ganz', 'kurz')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bieri')","('herr', 'bundesrat')","('herr', 'jenny')","('herr', 'kolleg')","('herr', 'leuenberg')","('herr', 'nationalrat')","('herr', 'stahelin')","('herr', 'standerat')","('herr', 'visch')","('herrn', 'bundesrat')","('herrn', 'david')","('herrn', 'kolleg')","('herrn', 'standerat')","('heut', 'geltend')","('heut', 'morg')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('insof', 'glaub')","('international', 'organisation')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'thurgau')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'antrag')","('kommission', 'beantragt')","('kommission', 'bundesrat')","('kommission', 'empfiehlt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'wurd')","('kommission', 'zuzustimm')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('landlich', 'raum')","('le', 'conseil')","('lehnt', 'spfraktion')","('leutenegg', 'oberholz')","('liegt', 'schriftlich')","('mehr', 'geld')","('mehrheit', 'cvpfraktion')","('mehrheit', 'fdpfraktion')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'unterstutz')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('meinung', 'kommission')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'beton')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('mocht', 'nochmal')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'nationalrat')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpevpfraktion')","('nam', 'cvpfraktion')","('nam', 'fdpfraktion')","('nam', 'fdpliberal')","('nam', 'kommission')","('nam', 'mehrheit')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'fassung')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('offent', 'verkehr')","('organisation', 'arbeitswelt')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('postulat', 'uberweis')","('pro', 'helvetia')","('recht', 'gesagt')","('rentnerinn', 'rentn')","('richtig', 'gesagt')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('schluss', 'gekomm')","('schon', 'gesagt')","('schriftlich', 'antwort')","('schriftlich', 'bericht')","('schweiz', 'tourismus')","('schweizer', 'nationalbank')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('standort', 'schweiz')","('stellung', 'nehm')","('stellungnahm', 'bundesrat')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('verdeckt', 'ermittl')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vollig', 'klar')","('vorberat', 'kommission')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('vorlieg', 'motion')","('worum', 'geht')","('wurd', 'kommission')","('zwanzig', 'jahr')","('zwei', 'drei')","('zwei', 'drittel')","('zweit', 'saul')"
10,Christlichdemokratische Volkspartei der Schweiz (CVP),Fabio Regazzi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Christlichdemokratische Volkspartei der Schweiz (CVP),Filippo Lombardi,4,1,0,0,0,1,1,1,0,2,3,0,6,0,0,8,1,1,0,0,0,0,1,0,12,2,0,4,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,11,0,1,2,0,2,0,0,0,1,0,0,0,0,2,1,1,2,1,0,0,0,0,1,4,0,0,0,0,0,0,0,2,1,2,2,13,0,0,0,0,0,2,0,0,4,7,0,1,3,3,1,0,0,0,5,1,2,0,0,0,0,0,0,0,5,0,0,2,2,2,0,0,0,3,0,0,0,0,1,0,0,2,2,1,4,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,11,0,0,1,1,1,0,2,2,4,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,16,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,5,0,0,0,3,0,0,1,1,1
12,Christlichdemokratische Volkspartei der Schweiz (CVP),Gerhard Pfister,0,3,0,0,0,1,1,2,4,2,12,1,0,0,0,15,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,5,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,1,0,6,0,1,0,0,1,4,0,0,1,3,1,6,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,9,0,2,1,0,0,0,9,0,0,2,3,0,2,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,1,0,6,2,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,5,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,1,0,0,9,0,1,6,0,2,0,0
13,Christlichdemokratische Volkspartei der Schweiz (CVP),Ida Glanzmann-Hunkeler,0,3,0,5,0,2,0,1,0,0,7,3,0,0,4,12,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,5,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,6,0,0,5,0,1,0,0,0,0,1,1,2,0,0,0,0
14,Christlichdemokratische Volkspartei der Schweiz (CVP),Isidor Baumann,8,7,0,3,0,6,8,1,1,8,6,2,4,0,0,22,1,1,0,0,0,3,0,0,7,1,0,0,9,4,1,2,1,0,1,0,0,3,3,0,2,4,0,0,1,1,0,1,0,3,0,0,3,0,0,0,0,3,6,0,11,0,5,0,0,0,0,0,0,1,1,0,0,0,0,2,1,3,0,1,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,15,7,2,0,0,0,0,1,0,10,4,0,1,4,2,1,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,1,1,0,0,5,3,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,15,1,0,0,1,5,0,1,3,4,1,0,0,0,0,0,0,5,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,5,5,1,0,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,1,3,0,0,1,0,7,2,8,0,0
15,Christlichdemokratische Volkspartei der Schweiz (CVP),Ivo Bischofberger,14,29,28,0,0,5,3,14,10,15,30,5,1,1,0,144,3,4,0,6,0,9,34,10,5,5,1,0,20,0,16,1,2,0,23,1,9,5,26,1,1,11,1,12,1,1,0,0,0,2,1,0,7,0,0,0,0,10,2,0,4,0,5,0,1,0,7,1,1,0,0,0,1,0,2,0,2,30,32,0,0,0,0,4,1,39,4,21,0,0,0,0,0,0,3,14,1,0,0,3,6,7,0,2,0,9,22,0,1,11,2,27,54,3,0,1,0,0,9,1,2,0,0,0,1,0,1,0,1,0,2,3,13,8,0,3,1,0,0,3,2,0,0,3,6,23,7,1,28,0,18,3,4,0,2,9,0,0,2,0,1,0,0,31,86,0,0,1,0,5,3,0,5,15,4,0,4,1,0,0,19,15,2,2,0,0,0,0,0,11,7,0,0,8,4,20,0,1,2,31,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,10,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,2,2,1,46,0,0,0,0,0,0,0,0,0,0,35,0,0,0,4,1,1,42,24,0,0,27,17,4,4,1,1,0
16,Christlichdemokratische Volkspartei der Schweiz (CVP),Jakob Büchler,2,4,0,4,0,1,1,0,0,6,8,10,0,0,1,19,1,1,0,0,1,0,0,3,2,0,0,0,0,0,5,0,0,0,3,4,1,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,1,4,0,3,4,1,0,1,2,1,1,7,1,3,10,0,0,0,0,0,1,0,4,0,2,0,0,0,2,0,0,0,2,0,0,11,0,0,0,0,0,6,0,0,14,1,1,0,1,0,0,0,3,6,0,0,0,0,0,0,5,0,0,0,0,1,6,0,0,3,0,1,0,0,3,0,3,0,0,0,0,0,3,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,35,0,0,0,0,0,0,2,0,0,1,0,0,2,0,2,3,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,3,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,4,2,0,1,0
17,Christlichdemokratische Volkspartei der Schweiz (CVP),Kathy Riklin,1,7,0,0,0,1,4,0,1,3,17,1,0,0,0,31,5,0,0,1,0,0,2,9,2,1,0,1,0,8,2,1,1,0,2,0,4,1,6,0,0,4,0,0,0,0,0,0,0,1,1,0,0,2,3,0,4,1,5,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,4,8,0,0,1,4,10,0,2,4,2,0,0,0,0,0,0,3,6,0,0,1,2,0,0,1,0,0,2,0,5,0,1,0,0,3,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0,4,0,2,9,0,0,4,0,8,1,1,0,0,0,0,0,1,0,1,1,0,5,10,0,0,0,0,0,0,2,29,1,3,0,0,4,0,0,0,2,0,3,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,12,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,2,0,0,1,0,3,2,0,0,0
18,Christlichdemokratische Volkspartei der Schweiz (CVP),Konrad Graber,8,42,1,0,4,10,6,27,10,16,24,7,10,2,0,98,4,7,1,0,9,2,10,4,13,25,4,5,43,0,14,0,5,0,8,0,15,24,8,11,3,8,0,20,4,9,0,1,5,4,2,0,12,0,0,0,0,9,8,1,9,0,0,0,1,0,5,9,0,0,4,1,8,0,0,7,12,50,0,0,1,2,0,0,0,8,1,7,0,0,0,0,0,0,1,6,0,0,5,38,15,0,0,2,0,8,9,0,29,24,17,9,25,3,3,1,17,6,11,0,0,0,0,0,0,0,3,0,0,0,3,13,9,0,0,0,3,6,0,1,0,1,8,9,15,18,9,3,26,4,33,39,2,2,9,0,0,0,1,2,3,0,0,15,95,0,0,1,1,4,1,0,60,3,2,2,3,2,12,7,14,8,0,6,0,0,0,0,0,8,12,0,0,18,2,9,5,5,0,15,0,0,0,0,7,0,0,2,0,2,4,0,8,0,16,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,7,11,84,0,0,0,0,0,0,0,0,0,0,14,5,0,0,14,0,0,2,11,0,0,10,4,45,2,22,2,2
19,Christlichdemokratische Volkspartei der Schweiz (CVP),Leo Müller,1,1,0,0,0,1,3,1,2,12,9,0,0,0,0,15,0,0,0,1,2,1,1,0,2,0,0,0,1,1,5,1,15,0,0,1,1,0,6,0,0,3,0,0,2,1,0,0,0,0,2,0,6,5,1,0,0,0,0,0,2,0,0,0,1,0,0,6,0,0,1,2,0,0,0,5,3,7,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,13,0,4,0,0,0,1,0,2,5,9,0,1,2,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,4,2,4,2,0,0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,0,6,5,0,0,2,0,2,1,0,37,0,4,0,0,0,0,0,6,6,0,8,0,13,0,0,0,2,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,1,1,0,0,8,2,3,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,2,0,0,2,2,3,0,2,1,0
20,Christlichdemokratische Volkspartei der Schweiz (CVP),Lucrezia Meier-Schatz,0,2,0,0,0,0,1,2,0,9,2,0,2,1,0,11,0,0,0,0,16,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,1,2,4,3,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,12,0,0,5,5,0,1,0,0,0,16,3,0,4,1,2,2,2,0,0,4,8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,6,0,0,0,1,0,0,0,0,3,0,1,2,2,0,2,0,3,0,0,1,4,0,0,0,0,0,0,0,0,1,28,0,0,3,1,1,0,0,13,0,3,0,1,0,2,1,0,1,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,3,0,0,0,0,1,4,0,1,2
21,Christlichdemokratische Volkspartei der Schweiz (CVP),Marco Romano,0,4,2,0,0,1,0,0,2,2,2,0,0,1,0,15,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,16,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10,0,0,1,0,0,0,0
22,Christlichdemokratische Volkspartei der Schweiz (CVP),Markus Lehmann,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,7,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,0,0,0,1,0,0,0,0,2,3,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0
23,Christlichdemokratische Volkspartei der Schweiz (CVP),Markus Ritter,0,11,0,0,0,2,1,2,6,8,18,0,0,0,0,39,3,0,0,1,1,0,1,0,1,0,0,0,2,0,2,7,2,0,3,2,3,1,9,1,0,1,0,5,0,0,0,0,0,0,6,0,3,14,0,0,0,0,3,2,1,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,9,0,1,0,0,0,4,0,4,1,0,0,0,4,0,0,3,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,0,2,1,0,0,3,2,0,0,1,0,1,0,0,6,14,0,0,19,1,2,0,0,4,0,1,0,0,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,2,0,0,0,1,3,1,2,0,1,0
24,Christlichdemokratische Volkspartei der Schweiz (CVP),Martin Candinas,2,2,0,0,0,2,1,0,6,5,32,0,0,0,0,24,0,0,0,0,0,0,3,0,2,0,0,0,1,0,5,0,0,0,0,1,1,0,6,0,1,3,0,2,0,1,0,0,0,0,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,10,0,2,6,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,5,0,0,1,0,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,1,8,1,0,1,10,0,0,6,3,0,0,0,0,0,0,0,0,5,0,0,1,10,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,1,0,3,0,4,0,0,0,5,1,0,0,0,0,0,1,25,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,32,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0
25,Christlichdemokratische Volkspartei der Schweiz (CVP),Paul Niederberger,2,1,0,2,0,5,5,1,0,4,5,1,4,0,0,28,0,2,2,0,0,0,0,1,10,1,0,1,7,2,8,0,4,0,5,0,1,0,5,6,1,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,1,3,0,12,4,2,0,0,2,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,3,7,0,2,0,0,0,14,4,0,4,7,2,7,9,0,0,0,1,0,7,0,5,0,1,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,0,3,2,0,1,3,2,1,1,1,0,1,2,0,0,0,0,5,0,0,0,0,3,0,0,3,4,0,0,2,0,6,0,0,1,3,0,0,9,0,0,1,2,5,0,1,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,10,0,0,0,0,0,1,1,0,0,2,4,0,1,1,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,2,16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,4,1,4,3,0,0,0,3,0,1,2,1,0
26,Christlichdemokratische Volkspartei der Schweiz (CVP),Peter Bieri,2,9,0,2,0,4,4,8,3,22,17,0,3,1,0,71,1,6,0,0,0,2,2,1,6,5,2,0,6,1,3,0,2,0,2,2,6,0,25,3,8,8,0,7,2,2,0,0,0,2,1,0,13,0,0,0,0,3,3,5,7,1,0,7,5,0,3,0,0,0,10,0,4,0,0,0,1,16,0,0,6,1,0,1,0,2,0,3,0,0,0,0,0,0,2,5,0,0,1,13,7,2,0,3,0,3,3,1,3,7,4,2,11,17,0,1,2,0,4,1,3,0,1,0,0,0,0,0,1,0,0,4,4,2,0,5,3,3,0,1,8,1,5,1,7,4,3,0,5,4,3,5,4,2,0,0,1,0,0,0,3,0,0,4,23,0,0,0,0,0,0,0,76,5,0,0,28,1,2,1,13,2,9,17,0,0,0,0,1,2,0,0,0,0,0,5,2,38,4,7,0,0,0,2,0,2,2,3,10,3,5,0,0,2,0,5,3,1,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,5,2,2,11,0,0,0,0,0,0,0,0,0,0,31,1,0,0,14,2,0,10,14,3,1,5,2,1,10,6,3,2
