,Speaker Party,Phrase,tf_idf
1057,Schweizerische Volkspartei (SVP),"('eidgenoss', 'steuerverwalt')",29.19348778378784
1058,Schweizerische Volkspartei (SVP),"('verordn', 'bundesversamml')",28.0149995953248
1059,Schweizerische Volkspartei (SVP),"('sinn', 'bitt')",27.48882153736703
1060,Schweizerische Volkspartei (SVP),"('angehor', 'arme')",26.76069713513885
1061,Schweizerische Volkspartei (SVP),"('dam', 'herr')",25.871832035168968
1062,Schweizerische Volkspartei (SVP),"('volkerrecht', 'vertrag')",25.332835534436285
1063,Schweizerische Volkspartei (SVP),"('mechanisiert', 'brigad')",24.953298500158034
1064,Schweizerische Volkspartei (SVP),"('extern', 'kinderbetreu')",24.849066497880006
1065,Schweizerische Volkspartei (SVP),"('traditionell', 'osthilf')",24.849066497880006
1066,Schweizerische Volkspartei (SVP),"('auftrag', 'erfull')",24.513124645909194
1067,Schweizerische Volkspartei (SVP),"('zivil', 'behord')",24.25484253297091
1068,Schweizerische Volkspartei (SVP),"('europa', 'union')",24.165294085949586
1069,Schweizerische Volkspartei (SVP),"('kommission', 'rechtsfrag')",23.589929941046034
1070,Schweizerische Volkspartei (SVP),"('al', 'kaida')",22.7621871712014
1071,Schweizerische Volkspartei (SVP),"('ausserhalb', 'finanzbranch')",22.364159848092005
1072,Schweizerische Volkspartei (SVP),"('offent', 'spitex')",22.364159848092005
1073,Schweizerische Volkspartei (SVP),"('unterstutz', 'grenzwachtkorps')",22.364159848092005
1074,Schweizerische Volkspartei (SVP),"('this', 'jenny')",21.886718433847495
1075,Schweizerische Volkspartei (SVP),"('han', 'pet')",21.50111363073666
1076,Schweizerische Volkspartei (SVP),"('pet', 'gerschwil')",21.50111363073666
1077,Schweizerische Volkspartei (SVP),"('national', 'finanzausgleich')",20.794415416798362
1078,Schweizerische Volkspartei (SVP),"('revision', 'militargesetz')",20.794415416798362
1079,Schweizerische Volkspartei (SVP),"('mind', 'folg')",20.23769280412896
1080,Schweizerische Volkspartei (SVP),"('nam', 'mind')",20.13774507162466
1081,Schweizerische Volkspartei (SVP),"('aussenpolit', 'kommission')",19.942870527109413
1082,Schweizerische Volkspartei (SVP),"('arme', 'vertrau')",19.879253198304006
1083,Schweizerische Volkspartei (SVP),"('mehrwertsteuererhoh', 'prozentpunkt')",19.879253198304006
1084,Schweizerische Volkspartei (SVP),"('leutenegg', 'oberholz')",19.850062999172877
1085,Schweizerische Volkspartei (SVP),"('de', 'la')",19.403874026376727
1086,Schweizerische Volkspartei (SVP),"('fisch', 'roland')",19.403874026376727
1087,Schweizerische Volkspartei (SVP),"('antrag', 'kommissionsmehr')",18.987016781817534
1088,Schweizerische Volkspartei (SVP),"('vorlauf', 'aufgenomm')",18.86487752564404
