,Speaker Party,Speaker,"('allgemein', 'volksinitiativ')","('ansicht', 'svpfraktion')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('autofrei', 'sonntag')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'nam')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesamt', 'verkehr')","('bundesprasident', 'villig')","('bundesrat', 'villig')","('darauf', 'aufmerksam')","('darum', 'geht')","('de', 'dardel')","('desweg', 'mocht')","('drei', 'jahr')","('einseit', 'massnahm')","('energi', 'schweiz')","('entwurf', 'bundesrat')","('erinner', 'ruf')","('erneuerbar', 'energi')","('erst', 'lini')","('etapp', 'bahn')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('gesetz', 'grundlag')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'schluer')","('herr', 'theil')","('indig', 'volk')","('kanton', 'uri')","('kanton', 'zurich')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'verkehr')","('konstruktiv', 'referendum')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('mocht', 'darauf')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patient', 'patientinn')","('pensionskass', 'bund')","('pro', 'helvetia')","('pro', 'jahr')","('rentn', 'rentnerinn')","('rentnerinn', 'rentn')","('rund', 'milliard')","('russisch', 'foderation')","('schluss', 'gekomm')","('seit', 'jahr')","('servic', 'public')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'mocht')","('st', 'gall')","('standerat', 'folg')","('status', 'quo')","('steu', 'abgab')","('sursis', 'partiel')","('svpfraktion', 'antrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'vorlag')","('uns', 'kommission')","('unt', 'mittl')","('verkehr', 'fernmeldewes')","('vier', 'jahr')","('voll', 'ganz')","('weiterbild', 'schweiz')","('zehn', 'jahr')","('zweit', 'etapp')","('zweit', 'rohr')","('zweit', 'saul')"
31,Schweizerische Volkspartei (SVP),Roland F. Borer,0,2,1,1,13,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,2,1,2,0,1,14,0,0,0,0,0,0,2,0,0,0,2,2,3,0,6,8,13,1,0,4,0,0,4,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,3,2,2,3,0,0,0,1,0,7,0,0,5
32,Schweizerische Volkspartei (SVP),Rudolf Joder,3,0,0,0,22,0,1,0,0,11,1,4,1,1,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17,5,9,2,0,0,0,0,0,0,0,0,11,3,0,0,0,1,9,0,0,9,5,3,1,3,0,1,0,21,0,0,43,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,10,0,0,0,0,2,1,7,0,0,0,0,0,1,0,0,0
33,Schweizerische Volkspartei (SVP),Simon Schenk,0,0,0,0,6,0,0,0,0,6,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,1,4,5,0,0,3,0,0,6,0,6,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,1,0,0,3,0,0,0,2,0,1,0
34,Schweizerische Volkspartei (SVP),Theophil Pfister,0,1,0,0,18,0,1,2,0,8,2,3,14,0,0,1,2,0,3,0,0,0,0,0,4,0,1,7,0,0,0,0,0,0,0,0,5,3,1,0,2,4,3,0,0,0,0,0,0,0,0,0,2,1,1,3,0,59,3,0,0,0,3,0,0,9,0,2,6,0,0,18,10,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,2,0,1,0,8,2,1,1,6,6,1,0,0,0,0,0,5,0,1,1,0,0,0
35,Schweizerische Volkspartei (SVP),This Jenny,0,0,5,0,1,0,0,4,0,14,4,2,9,0,0,2,4,2,5,0,0,4,2,0,2,1,1,1,0,0,1,0,0,0,3,1,2,3,2,2,9,15,12,0,0,0,0,7,0,0,1,0,1,1,1,0,0,131,8,0,0,1,3,1,0,0,3,6,8,0,1,0,22,0,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,1,9,1,0,2,0,0,1
36,Schweizerische Volkspartei (SVP),Toni Bortoluzzi,0,0,2,1,10,0,0,0,0,16,1,6,2,0,0,1,1,2,8,1,0,3,0,0,4,6,0,9,0,0,0,0,0,0,0,0,22,1,2,1,3,0,1,0,0,0,0,1,0,0,0,0,7,0,6,4,0,36,16,6,7,2,2,2,0,9,6,0,23,0,0,0,0,0,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,0,3,0,0,0,2,3,2,1,0,0,5,1,0,5,0,0,18
37,Schweizerische Volkspartei (SVP),Toni Brunner,0,0,0,0,5,0,0,0,0,2,0,6,1,1,0,2,1,1,1,0,0,2,0,0,2,3,3,2,0,0,0,1,0,0,0,0,1,0,0,2,2,3,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,40,6,2,0,0,2,0,0,11,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,4,0,1,0,3,0,0,1,1,0,0,3,0,1,10,0,0,3,0,0,0
38,Schweizerische Volkspartei (SVP),Ueli Maurer,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
39,Schweizerische Volkspartei (SVP),Ulrich Giezendanner,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,5,15,7,0,3,0,3,0,0,1,1,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0
40,Schweizerische Volkspartei (SVP),Ulrich Schlüer,0,0,0,6,2,0,4,0,0,1,0,4,3,0,0,0,1,3,14,1,0,3,1,0,1,4,0,3,0,5,0,0,1,0,2,1,17,0,1,9,8,62,8,0,0,7,0,3,3,0,0,0,15,0,0,9,0,32,5,3,1,2,0,0,0,19,0,0,3,0,0,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,2,0,0,3,0,6,0,2,0,0,1,1,1,0,0,12,0,0,2,0,0,0
