,Speaker Party,Phrase,Counts,Freq,N,tf_idf
453,Sozialdemokratische Partei der Schweiz (SP),"('arme', 'xxi')",62.0,7,11,28.023077672069547
454,Sozialdemokratische Partei der Schweiz (SP),"('gemass', 'artikel')",62.0,7,11,28.023077672069547
455,Schweizerische Volkspartei (SVP),"('rund', 'milliard')",62.0,7,11,28.023077672069547
457,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'stimm')",46.0,6,11,27.88224696423451
458,Sozialdemokratische Partei der Schweiz (SP),"('schluss', 'gekomm')",46.0,6,11,27.88224696423451
459,Schweizerische Volkspartei (SVP),"('voll', 'ganz')",46.0,6,11,27.88224696423451
462,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'theil')",35.0,5,11,27.59600761274946
468,Sozialdemokratische Partei der Schweiz (SP),"('flankier', 'massnahm')",61.0,7,11,27.57109254832649
482,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'verkehr')",45.0,6,11,27.276111160664197
483,Sozialdemokratische Partei der Schweiz (SP),"('verkehr', 'fernmeldewes')",45.0,6,11,27.276111160664197
484,Sozialdemokratische Partei der Schweiz (SP),"('zweit', 'rohr')",45.0,6,11,27.276111160664197
