,term1,term2,term3,term4,term5
top500,0.6597007340485600,0.6759114436288350,0.6364083380387730,0.7041975488279840,0.6527206851119890
top500_no_regularization,0.5778549634956960,0.48143290043290000,0.49678437504524500,0.5668444381705250,0.5371244954723220
cap100,0.6564756258234520,0.6459283832109920,0.6103847167325430,0.6399341238471670,0.634433465085639
cap100_no_regularization,0.2791887822322610,0.20370073404856000,0.18201841065113400,0.20771000738392000,0.20984848484848500
cap20,0.6628910220214570,0.6217273668360620,0.6106104209799860,0.6927396806092460,0.6453700285222020
cap20_no_regularization,0.008012820512820510,0.030286561264822100,0.02503613777526820,0.026498682476943300,0.02074718196457330
