term,bestTune.cost,bestTune.loss,bestTune.epsilon,Accuracy CV-10Fold
1,100000000000,L1,0.001,0.008012820512820512
2,100000000000,L1,0.001,0.030286561264822133
3,100000000000,L1,0.001,0.02503613777526821
4,100000000000,L1,0.001,0.026498682476943345
5,100000000000,L1,0.001,0.02074718196457327
