mtry,splitrule,term1.rf,term2.rf,term3.rf,term4.rf,term5.rf
2,gini,0.48803538490495013,0.5169184076792772,0.3799321837582707,0.46013915553045986,0.3447242322894497
2,extratrees,0.4278851872764916,0.4492753623188406,0.343696274739753,0.40821387790953007,0.3566141684402554
44,gini,0.690707886316582,0.6713085827216262,0.6749506146027885,0.7311011460359287,0.593363332319854
44,extratrees,0.6460843214756258,0.6366741953698475,0.6075155279503106,0.6903847481021393,0.5276120401337793
1000,gini,0.6919894598155468,0.640624411820064,0.6512199973939105,0.6864602651776565,0.6710027363940407
1000,extratrees,0.7088639186900056,0.6629917184265011,0.6607687964209703,0.7233485580442102,0.7028245667376102
