freq,word
1,"(sozial, kohasion)"
1,"(sag, polit)"
1,"(klar, mehrheit)"
0.9,"(international, organisation)"
0.9,"(vorgezog, massnahm)"
0.9,"(bundesprasident, villig)"
0.9,"(empfehl, uberweis)"
0.9,"(radioaktiv, abfall)"
0.9,"(letzt, meil)"
0.9,"(weiterbild, schweiz)"
0.9,"(schweiz, uno)"
0.9,"(gesetz, verpflicht)"
0.9,"(heutig, debatt)"
0.9,"(kraft, gesetzt)"
0.9,"(beitrag, leist)"
0.9,"(beantrag, antrag)"
0.9,"(prozent, teuer)"
0.9,"(form, postulat)"
0.9,"(initiativ, chiffell)"
0.8,"(aussenpolit, bericht)"
0.8,"(vorzeit, ruhestand)"
0.8,"(namlich, frag)"
0.8,"(pro, kilowattstund)"
0.8,"(entscheid, getroff)"
0.8,"(russisch, foderation)"
0.8,"(kanton, tessin)"
0.8,"(monist, finanzier)"
0.8,"(bundesamt, verkehr)"
0.8,"(kommission, meinung)"
0.8,"(parlamentar, berat)"
0.7,"(einstimm, kommission)"
0.7,"(sachplan, strass)"
0.7,"(land, schweiz)"
0.7,"(frank, reduziert)"
0.7,"(alt, arbeitslos)"
0.7,"(letzt, differenz)"
0.7,"(kommission, auffass)"
0.7,"(stund, wahrheit)"
0.7,"(han, rudolf)"
0.7,"(massnahm, bilateral)"
0.7,"(kanton, genf)"
0.7,"(bitt, minderheitsantrag)"
0.7,"(ruckweisungsantrag, mind)"
0.7,"(woch, feri)"
0.7,"(kommission, vorpruf)"
0.7,"(arbeitsmarkt, massnahm)"
0.6,"(eigent, selbstverstand)"
0.6,"(klar, festgehalt)"
0.6,"(einfach, bundesbeschluss)"
0.6,"(dardel, folg)"
0.6,"(zustand, gekomm)"
0.6,"(frank, pro)"
0.6,"(autofrei, sonntag)"
0.5,"(zeich, setz)"
0.5,"(million, frank)"
0.5,"(umbau, poststellennetz)"
0.5,"(burgerinn, burg)"
0.5,"(roll, spiel)"
0.5,"(autonom, kass)"
0.5,"(verwaltungsrat, vertret)"
0.5,"(gemeinwirtschaft, leistung)"
0.5,"(schweiz, arme)"
0.5,"(ernsthaft, erwag)"
0.5,"(famili, kind)"
0.5,"(energi, schweiz)"
0.4,"(motion, entgegenzunehm)"
0.4,"(sexuell, notig)"
0.4,"(hand, genomm)"
0.4,"(kulturell, vielfalt)"
0.4,"(programm, energi)"
0.4,"(kanton, zurich)"
0.3,"(steuerbar, einkomm)"
0.3,"(souveranitat, volk)"
0.3,"(per, januar)"
0.3,"(gysin, remo)"
0.3,"(zukomm, lass)"
0.3,"(kauf, nehm)"
0.3,"(bundesamt, raumentwickl)"
0.3,"(rahm, diskussion)"
0.2,"(wirtschaft, entwickl)"
0.2,"(stimm, beschloss)"
0.2,"(nam, kommission)"
0.2,"(uberzeug, lass)"
0.2,"(vorzeit, pensionier)"
0.2,"(eidgenoss, finanzdepartement)"
0.2,"(rapp, pro)"
0.2,"(rahmenkredit, million)"
0.1,"(mind, schluer)"
0.1,"(bundesamt, strass)"
0.1,"(flughaf, zurichklot)"
0.1,"(schweiz, land)"
0.1,"(antrag, kommissionsmehr)"
0.1,"(prozent, pro)"
0.1,"(rechnung, getrag)"
0.1,"(bericht, sicherheitspolit)"
0.1,"(bilateral, abkomm)"
0.1,"(san, bernardino)"
0.1,"(zusammenhang, frag)"
16.1,"(argument, mehrheit)"
15.2,"(armst, land)"
14.7,"(europa, land)"
13.7,"(schwierig, situation)"
13.3,"(gewalt, famili)"
11.9,"(europa, markt)"
11.9,"(sozial, finanzier)"
11.8,"(verfass, gesetz)"
11.7,"(mehrheit, vorschlagt)"
11.7,"(klar, braucht)"
11.4,"(schlicht, ergreif)"
11.3,"(gleichstell, geschlecht)"
11.2,"(sozialdemokrat, partei)"
11.2,"(international, konkurrenzfah)"
10.9,"(rechtlich, geseh)"
10.8,"(gemeinsam, sorg)"
10.7,"(indirekt, gegenvorschlag)"
10.5,"(nam, apk)"
10.2,"(leg, prasidentin)"
10.2,"(prekar, situation)"
10.2,"(kunstlerinn, kunstl)"
10.2,"(mind, fehr)"
10,"(sozial, krankenversicher)"
10,"(gesetz, verank)"
9.9,"(leut, entlass)"
9.9,"(kanton, bern)"
9.8,"(patentier, pflanz)"
9.7,"(koharent, polit)"
9.6,"(gemeinsam, sorgerecht)"
9.6,"(betroff, person)"
9.6,"(auftrag, gegeb)"
9.5,"(laubach, abzulehn)"
9.5,"(lohn, sozialdumping)"
9.5,"(klar, votum)"
9.5,"(sozialdemokratinn, sozialdemokrat)"
9.5,"(bewohnerinn, bewohn)"
9.4,"(sorgerecht, regelfall)"
9.4,"(altrentnerinn, altrentn)"
9.2,"(deutsch, deutlich)"
9.2,"(schweizerinn, schweiz)"
9.2,"(menschenwurd, arbeit)"
9.1,"(richterinn, richt)"
9,"(elektron, medi)"
9,"(schweiz, haushalt)"
9,"(erhoh, rentenalt)"
8.9,"(opf, menschenhandel)"
8.9,"(euburgerinn, burg)"
8.9,"(motion, pfist)"
8.8,"(infrag, stell)"
8.7,"(halftig, teuerungsausgleich)"
8.6,"(sicherheitspolit, kommission)"
8.5,"(verfug, steh)"
8.5,"(wichtig, projekt)"
8.5,"(freie, spitalwahl)"
8.4,"(wichtig, grund)"
8.4,"(budget, bundesamt)"
8.3,"(strateg, ziel)"
8.3,"(grund, kommission)"
8.2,"(heroingestutzt, behandl)"
8.1,"(parlamentar, arbeit)"
