file,term1.multinom,term2.multinom,term3.multinom,term4.multinom,term5.multinom
cap50,0.37233424470266574,0.30766327875023525,0.35052635046113306,0.3375383022774327,0.3514526198439242
cap100,0.45451868857475264,0.4168209109730849,0.4082366836062488,0.40322332015810275,0.39464970536709665
tfidf top500,0.5379624951707331,0.5176290231507623,0.5081916996047431,0.6286966246314072,0.5602292490118577
tfidf top1000,0.5210631073731761,0.5133506493506493,0.5148114566592827,0.6093399209486166,0.5055289855072463
