term,bestTune.cost,bestTune.loss,bestTune.epsilon,Accuracy.CV.10Fold
1,100000000000,L1,0.001,0.5778549634956958
2,100000000000,L1,0.001,0.48143290043290043
3,100000000000,L1,0.001,0.49678437504524464
4,100000000000,L1,0.001,0.5668444381705251
5,100000000000,L1,0.001,0.5371244954723216
