freq,word
2,"(konkret, frag)"
2,"(aktiv, sterbehilf)"
2,"(freien, markt)"
14.1,"(stuf, bund)"
2,"(dringlich, interpellation)"
18.1,"(bitt, parlamentar)"
2,"(motion, beerli)"
2,"(konkret, gefahrd)"
8.4,"(antwort, geb)"
13.1,"(kanton, gemeind)"
2,"(standesinitiativ, aargau)"
2,"(eidgenoss, volkswirtschaftsdepartement)"
5.2,"(kommission, zuzustimm)"
2,"(generell, depotstimmrecht)"
2.2,"(individualverkehr, angewies)"
5.3,"(besteht, gefahr)"
2.2,"(sachplan, infrastruktur)"
2.2,"(interessengemeinschaft, volkskultur)"
11.7,"(aussicht, gestellt)"
2.4000000000000004,"(gemeind, kanton)"
8.100000000000001,"(falsch, signal)"
9.200000000000001,"(mind, iii)"
2.2,"(stund, minut)"
2.2,"(jung, generation)"
8.3,"(direkt, aktiv)"
12.3,"(frag, stell)"
2.2,"(fehlbetrag, bilanz)"
2.2,"(institutionell, anleg)"
2.2,"(postulat, uberweis)"
2.2,"(abzulehn, antrag)"
2.2,"(prozent, erhoh)"
2.2,"(st, moritz)"
2.2,"(klar, deutlich)"
2.2,"(signal, setz)"
8.3,"(rahm, eintret)"
2.2,"(pass, identitatskart)"
2.2,"(abstimm, bilateral)"
2.2,"(frei, verfugbar)"
2.2,"(vorstoss, motion)"
2.2,"(hess, han)"
2.2,"(branchenspezif, fond)"
2.2,"(à, la)"
18.3,"(polit, entscheid)"
2.2,"(materiell, ander)"
2.2,"(elektron, aufklar)"
2.2,"(mittl, unternehm)"
2.2,"(kost, verursacht)"
10.3,"(finanziell, auswirk)"
2.4,"(orkan, lothar)"
6.199999999999999,"(prioritat, setz)"
2.4,"(denk, insbesond)"
2.4,"(vorstoss, erledigt)"
2.4,"(botschaft, entnehm)"
2.4,"(verzichtet, wort)"
14.5,"(bitt, kommissionsmehr)"
12.1,"(verordn, bundesversamml)"
2.4,"(schweiz, delegation)"
2.4,"(bern, kantonalbank)"
2.4,"(untergrupp, nachrichtendien)"
2.4,"(vorhab, million)"
2.4,"(feststell, zusammenhang)"
2.4,"(kanton, neuenburg)"
2.4,"(ausfuhr, verordn)"
2.4,"(firma, hagglund)"
6.199999999999999,"(mind, ii)"
7.699999999999999,"(schweiz, eu)"
2.4,"(deutschland, prozent)"
2.4,"(mehrheit, buros)"
2.4,"(kritisch, frag)"
2.4,"(immobilienbotschaft, militar)"
2.4,"(eingeh, diskutiert)"
13.700000000000001,"(bundesamt, landwirtschaft)"
14.4,"(bitt, mind)"
2.6,"(diskussion, stehend)"
7.699999999999999,"(kommissionsmehr, zuzustimm)"
4.9,"(verdeckt, ermittl)"
2.6,"(vorgeburt, leb)"
2.6,"(standig, delegation)"
13.5,"(nam, kommissionsmind)"
2.6,"(arme, volk)"
2.6,"(mind, iv)"
2.6,"(probl, gelost)"
21.9,"(bund, kanton)"
2.6,"(vorgeschlag, losung)"
2.6,"(idé, suiss)"
2.6,"(vertret, kanton)"
8.7,"(kommission, eingeh)"
2.6,"(beitrag, bund)"
7.4,"(polit, akt)"
2.6,"(mind, mathys)"
2.6,"(ausgab, einnahm)"
17.900000000000002,"(nam, mind)"
2.6,"(strom, kleinkraftwerk)"
9.1,"(stimmburgerinn, stimmburg)"
2.6,"(olymp, verband)"
2.6,"(schweizer, olymp)"
21.900000000000002,"(schweiz, burg)"
2.6,"(mittl, betrieb)"
9.3,"(schweizer, neutralitat)"
11.100000000000001,"(fond, eisenbahngrossprojekt)"
2.8,"(selbststand, unternehm)"
12.399999999999999,"(baut, logist)"
12.399999999999999,"(bundesamt, baut)"
22,"(grund, bitt)"
2.8,"(vorlieg, revision)"
2.8,"(organisation, arbeitswelt)"
2.8,"(marty, dick)"
2.8,"(entsend, trupp)"
2.8,"(abgebrannt, kernbrennstab)"
8,"(antrag, leutenegg)"
12.7,"(zusatz, steu)"
2.8,"(teilrevision, militargesetz)"
2.8,"(kommission, behandelt)"
6.199999999999999,"(antrag, gestellt)"
22.099999999999998,"(sozial, wohlfahrt)"
2.8,"(verkehr, gebracht)"
13.4,"(betrag, million)"
5.5,"(kanton, uri)"
8.399999999999999,"(nam, einstimm)"
2.8,"(dublin, abkomm)"
2.8,"(gewerb, wirtschaft)"
9.399999999999999,"(ausdruck, gebracht)"
2.8,"(beantwort, frag)"
2.8,"(ober, grenz)"
2.8,"(goldinitiativ, annahm)"
2.8,"(bisher, system)"
4.1,"(person, erklar)"
