term,bestTune.cost,bestTune.loss,bestTune.epsilon,Accuracy CV-10Fold
1,2,L1,0.001,0.6564756258234519
2,0.5,L1,0.01,0.6459283832109919
3,0.5,L1,0.001,0.6103847167325428
4,0.5,L1,0.01,0.6399341238471673
5,1,L1,0.001,0.634433465085639
