freq,word
28.400000000000002,"(sozialdemokratinn, sozialdemokrat)"
2.4,"(statist, miet)"
2.4,"(wesent, bedeut)"
2.4,"(arzt, arztin)"
7.4,"(kantonal, universitat)"
2.4,"(uberweis, motion)"
2.4,"(finanzier, grundversorg)"
2.4,"(behindert, kind)"
2.4,"(nachhalt, wirtschaftsentwickl)"
2.4,"(gysin, han)"
2.4,"(integriert, versorgungsnetz)"
2.2,"(schwer, rezession)"
2.2,"(sursis, partiel)"
2.2,"(garantiert, preis)"
2.2,"(massnahm, deutschland)"
2.2,"(mind, de)"
2.2,"(global, umweltfond)"
2.2,"(schweiz, trupp)"
2.2,"(fachstell, bund)"
2.2,"(kulturell, erb)"
2.2,"(zustimm, standortkanton)"
2.2,"(gesetz, aufgenomm)"
2.2,"(haushalt, kind)"
8.8,"(rechnung, trag)"
2.2,"(fortsetz, gewohnt)"
2.2,"(gesund, bildung)"
2.2,"(swisscom, sbb)"
2,"(schweizer, aussenpolit)"
2,"(erbschaft, schenkungssteu)"
7.6,"(mind, beantragt)"
2,"(bundesamt, sozialversicher)"
2,"(gewinn, nationalbank)"
2,"(ersuch, antrag)"
2,"(bewill, vermittlungsstell)"
2,"(quo, ant)"
2,"(common, sens)"
2,"(klinisch, versuch)"
2,"(einschrank, vertragszwang)"
2,"(entsolidarisier, grundversicher)"
2,"(freisetzungsversuch, inverkehrbring)"
2,"(missbrauch, risikoselektion)"
2,"(pierr, grab)"
2,"(bisher, nam)"
2,"(national, gesellschaft)"
2,"(reform, risikoausgleich)"
2,"(privat, bestech)"
2,"(verbleib, lebenserwart)"
12.5,"(nam, apk)"
2,"(armenierinn, armeni)"
2,"(ausland, personal)"
2,"(drittel, anflug)"
2,"(klarschlamm, dung)"
2,"(minimal, arbeitsbeding)"
2,"(taglich, flug)"
2,"(ubergangsfrist, monat)"
2,"(umfahr, saas)"
2,"(unescokonvention, ratifizi)"
2,"(voll, lohntransparenz)"
2,"(behindert, organisation)"
2,"(beruf, wiedereinglieder)"
2,"(easy, jet)"
2,"(sozial, kohasion)"
2,"(sag, polit)"
2,"(klar, mehrheit)"
1.8,"(international, organisation)"
1.8,"(vorgezog, massnahm)"
1.8,"(bundesprasident, villig)"
1.8,"(empfehl, uberweis)"
9.1,"(anschau, seh)"
1.8,"(radioaktiv, abfall)"
1.8,"(letzt, meil)"
1.8,"(weiterbild, schweiz)"
1.8,"(schweiz, uno)"
1.8,"(gesetz, verpflicht)"
1.8,"(heutig, debatt)"
16.400000000000002,"(hoh, einkomm)"
1.8,"(kraft, gesetzt)"
1.9000000000000001,"(beitrag, leist)"
1.8,"(beantrag, antrag)"
2.9000000000000004,"(ziff, motion)"
26.4,"(servic, public)"
3.7,"(frag, stellt)"
6.7,"(wichtig, frag)"
1.8,"(prozent, teuer)"
1.8,"(form, postulat)"
1.8,"(initiativ, chiffell)"
1.6,"(aussenpolit, bericht)"
12.200000000000001,"(offent, hand)"
13.9,"(sozial, krankenversicher)"
1.6,"(vorzeit, ruhestand)"
16.8,"(diskussion, kommission)"
