,Speaker Party,Speaker,"('abgelehnt', 'artikel')","('ablehn', 'motion')","('aeschi', 'thomas')","('anerkannt', 'fluchtling')","('angab', 'herrn')","('annahm', 'motion')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mind')","('antrag', 'wurd')","('antwort', 'frag')","('artikel', 'absatz')","('automat', 'informationsaustausch')","('beantragt', 'kommission')","('beid', 'rat')","('beitrag', 'leist')","('bereit', 'heut')","('bern', 'konvention')","('beschluss', 'nationalrat')","('betroff', 'person')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'motion')","('branchenorganisation', 'milch')","('buchstab', 'b')","('bund', 'kanton')","('bundesamt', 'verkehr')","('bundesrat', 'antwort')","('bundesrat', 'beantragt')","('bundesrat', 'bleib')","('bundesrat', 'empfiehlt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'maur')","('bundesrat', 'meinung')","('bundesrat', 'motion')","('bundesrat', 'vorgeschlag')","('burgerinn', 'burg')","('buro', 'beantragt')","('buro', 'festgestellt')","('buro', 'mandat')","('conseil', 'fédéral')","('cvpfraktion', 'ab')","('cvpfraktion', 'antrag')","('cvpfraktion', 'artikel')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'bitt')","('cvpfraktion', 'erachtet')","('cvpfraktion', 'meinung')","('cvpfraktion', 'mind')","('cvpfraktion', 'stimmt')","('cvpfraktion', 'unterstutzt')","('cvpfraktion', 'vorlag')","('dan', 'le')","('dank', 'bundesrat')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('davon', 'ausgeh')","('de', 'la')","('deshalb', 'bitt')","('deshalb', 'bundesrat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('diskussion', 'fuhr')","('drei', 'jahr')","('ehrlich', 'gesagt')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('eidgenoss', 'zollverwalt')","('einfach', 'sag')","('elektron', 'stimmabgab')","('enthalt', 'abgelehnt')","('enthalt', 'angenomm')","('entscheid', 'fall')","('entwurf', 'bundesrat')","('erklart', 'buro')","('erleichtert', 'einburger')","('erneuerbar', 'energi')","('ersatz', 'list')","('ersetzt', 'zuruckgetret')","('erst', 'lini')","('erst', 'mal')","('etwa', 'milliard')","('etwa', 'prozent')","('europa', 'union')","('fdpdie', 'liberal')","('fdpliberal', 'fraktion')","('festgestellt', 'wahl')","('finanzkommission', 'empfiehlt')","('fluchtling', 'vorlauf')","('frag', 'herr')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'nationalratin')","('frau', 'standeratin')","('fuss', 'veloverkehr')","('ganz', 'wichtig')","('gebund', 'ausgab')","('geh', 'davon')","('geht', 'darum')","('geht', 'einfach')","('geht', 'frag')","('geht', 'ja')","('geltend', 'recht')","('gemass', 'artikel')","('gemeinsam', 'organisation')","('genet', 'untersuch')","('genf', 'zentrum')","('gern', 'bereit')","('gesagt', 'herr')","('geschatzt', 'frau')","('geschatzt', 'herr')","('geschatzt', 'kolleg')","('geschatzt', 'kollegin')","('gesetz', 'grundlag')","('gewahlt', 'erklart')","('gibt', 'viel')","('glaub', 'wichtig')","('gleich', 'lang')","('grund', 'dafur')","('grund', 'weshalb')","('gultig', 'zustand')","('gut', 'gemeint')","('guterabwag', 'vorzunehm')","('hauslich', 'gewalt')","('herr', 'bundesrat')","('herr', 'caroni')","('herr', 'kolleg')","('herr', 'matt')","('herr', 'nationalrat')","('herr', 'pardini')","('herr', 'standerat')","('herrn', 'bundesrat')","('herrn', 'standerat')","('heut', 'geltend')","('heut', 'morg')","('heut', 'schon')","('heutig', 'rentnerinn')","('illegal', 'migrant')","('imm', 'mehr')","('indirekt', 'presseforder')","('initiativ', 'altherr')","('insof', 'glaub')","('interess', 'daran')","('international', 'recht')","('international', 'standard')","('international', 'zusammenarbeit')","('ja', 'sag')","('ja', 'schon')","('jugend', 'sport')","('kanton', 'tessin')","('kanton', 'thurgau')","('kenntnis', 'nehm')","('kolleg', 'caroni')","('kolleg', 'cram')","('kolleg', 'engl')","('kolleg', 'fohn')","('kolleg', 'glattli')","('kolleg', 'jositsch')","('kolleg', 'mind')","('kolleg', 'ried')","('kolleg', 'stockli')","('komm', 'sag')","('komm', 'schluss')","('kommission', 'einstimm')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'siksr')","('kommission', 'stimm')","('kommission', 'unterstutz')","('kommissionsmehr', 'unterstutz')","('kommissionssprech', 'gesagt')","('la', 'suiss')","('lang', 'spiess')","('le', 'conseil')","('leb', 'bedroht')","('legt', 'dar')","('lehnt', 'cvpfraktion')","('lehnt', 'spfraktion')","('leib', 'leb')","('letzt', 'jahr')","('leutenegg', 'oberholz')","('losung', 'find')","('lunion', 'européenn')","('macht', 'sinn')","('mandat', 'festgestellt')","('mandat', 'unvereinbar')","('massnahm', 'nr')","('megabit', 'pro')","('mehrheit', 'fdpliberal')","('mehrheit', 'finanzkommission')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('milliard', 'frank')","('million', 'frank')","('mind', 'aeschi')","('mind', 'i')","('mind', 'ii')","('mineral', 'rohstoff')","('mocht', 'bitt')","('mocht', 'bundesrat')","('mocht', 'einfach')","('mocht', 'kurz')","('mocht', 'nochmal')","('motion', 'ablehn')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'verlangt')","('muss', 'schon')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpfraktion')","('nam', 'fdpliberal')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'folg')","('nein', 'sag')","('neu', 'aufgab')","('offent', 'beschaffungswes')","('offent', 'hand')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('parlamentar', 'mandat')","('parlamentar', 'versamml')","('parlamentsgesetz', 'parlamentar')","('partenair', 'tarifair')","('patientinn', 'patient')","('polit', 'bildung')","('postulat', 'abzulehn')","('pro', 'jahr')","('recht', 'gesagt')","('regional', 'personenverkehr')","('rentnerinn', 'rentn')","('richtig', 'gesagt')","('rund', 'milliard')","('rund', 'million')","('rund', 'prozent')","('sach', 'kanton')","('sag', 'bundesrat')","('sag', 'gern')","('sag', 'ja')","('sag', 'mal')","('sag', 'sei')","('schluss', 'gekomm')","('schon', 'gesagt')","('schutz', 'privatsphar')","('seit', 'fahn')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'cvpfraktion')","('sicht', 'fdpliberal')","('sicht', 'kommission')","('sicht', 'spfraktion')","('sicht', 'svpfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'lehnt')","('spfraktion', 'mind')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('sprech', 'spfraktion')","('st', 'gall')","('stadt', 'gemeind')","('standerat', 'engl')","('stellungnahm', 'bundesrat')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('strateg', 'ziel')","('svpfraktion', 'bitt')","('svpfraktion', 'lehnt')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('umsetz', 'masseneinwanderungsinitiativ')","('unbegleitet', 'minderjahr')","('uns', 'kommission')","('uns', 'sicht')","('unternehmenssteuerreform', 'iii')","('unterstutzt', 'cvpfraktion')","('unterstutzt', 'fdpliberal')","('unterstutzt', 'spfraktion')","('unterstutzt', 'svpfraktion')","('unvereinbar', 'war')","('versich', 'bundesrat')","('viel', 'dank')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorab', 'festzuhalt')","('vorhin', 'gesagt')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('wahl', 'herrn')","('wak', 'rat')","('war', 'buro')","('weshalb', 'bundesrat')","('wurd', 'gesagt')","('wurd', 'recht')","('wurd', 'stimm')","('z', 'b')","('zinsbereinigt', 'gewinnsteu')","('zwanzig', 'jahr')","('zweit', 'saul')","('zwingend', 'lebenslang')","('à', 'la')"
10,Christlichdemokratische Volkspartei der Schweiz (CVP),Christine Bulliard-Marbach,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
11,Christlichdemokratische Volkspartei der Schweiz (CVP),Corina Casanova,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
12,Christlichdemokratische Volkspartei der Schweiz (CVP),Daniel Fässler,3,1,0,0,0,5,2,6,6,7,1,43,0,1,2,0,5,2,0,0,0,1,0,0,5,5,0,0,2,0,0,1,0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,1,2,0,8,3,0,0,0,0,1,0,1,2,1,0,0,0,1,0,3,0,1,17,0,0,13,0,0,5,0,0,1,5,1,1,0,0,0,0,6,1,0,0,4,0,0,0,0,0,5,0,0,4,0,6,18,0,0,0,0,0,0,1,2,0,2,0,0,0,3,1,2,0,0,0,0,1,0,9,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,11,0,2,1,0,20,0,0,0,0,3,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,15,0,0,0,4,0,11,7,0,0,5,1,0,1,1,0,2,3,1,2,0,7,0,0,1,1,0,1,0,0,4,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
13,Christlichdemokratische Volkspartei der Schweiz (CVP),Dominique de Buman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Christlichdemokratische Volkspartei der Schweiz (CVP),Doris Leuthard,0,11,0,0,0,22,27,7,45,1,6,69,1,0,11,8,16,6,5,1,31,20,15,0,4,36,39,0,14,2,3,16,17,1,11,10,4,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,13,6,21,23,9,9,35,26,2,6,8,24,6,17,1,1,16,0,0,0,7,17,0,0,48,0,0,15,21,3,9,17,1,3,0,0,0,5,42,0,0,1,0,56,22,0,4,4,16,34,4,12,16,9,11,0,0,0,5,1,0,0,0,0,39,0,20,3,16,4,8,0,5,0,1,0,0,0,0,129,0,164,0,29,1,7,22,0,0,29,11,0,30,14,1,2,4,8,25,0,1,1,7,0,0,0,0,0,0,0,0,0,1,6,2,30,1,0,0,2,0,6,1,14,1,0,0,0,0,0,65,0,21,0,27,0,0,0,3,0,2,72,0,0,92,198,0,19,15,0,1,8,12,2,17,10,23,6,9,14,77,12,0,0,0,0,0,7,5,9,6,13,68,8,0,0,0,0,0,0,5,49,60,31,0,54,6,24,16,26,4,1,23,0,9,13,40,0,0,44,96,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,9,21,1,1,0,15,0,0,0,0,0,0,0,37,6,0,0,0,0,0,0,1,28,1,0,4,8,0,0,0,0,0,7,26,27,1,32,0,28,0,0,6
15,Christlichdemokratische Volkspartei der Schweiz (CVP),Elisabeth Schneider-Schneiter,0,0,2,0,0,0,0,0,1,1,1,2,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,1,0,0,1,0,1,1,2,1,3,0,0,0,0,1,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,8,0,0,1,0,1,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,12,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,2,0,1,19,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0,1,0,1,0,0,0,0,0,0,5,0,0,2,2,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
16,Christlichdemokratische Volkspartei der Schweiz (CVP),Erich Ettlin,0,3,0,2,0,8,0,4,7,0,0,23,0,5,0,0,1,0,1,0,9,2,4,0,1,3,0,1,5,2,1,6,3,1,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,5,4,3,0,4,0,1,0,2,2,0,0,2,0,5,0,0,4,0,10,0,0,0,0,0,0,3,1,11,0,0,0,0,0,0,0,8,0,1,7,4,0,0,0,2,6,1,8,0,1,4,4,5,3,0,0,0,0,0,0,0,0,9,0,2,1,3,4,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1,0,9,0,0,3,0,0,0,0,4,3,9,3,9,0,0,1,2,1,0,3,1,0,2,0,2,4,1,1,1,0,0,0,4,1,0,1,0,2,1,0,0,0,0,0,11,0,3,0,4,0,0,0,0,0,4,11,0,0,85,224,0,3,2,0,1,1,8,2,2,2,3,5,6,1,7,0,0,0,0,0,1,0,1,1,0,0,0,42,0,0,0,0,1,0,0,10,1,0,0,0,5,13,3,1,0,1,12,0,3,0,14,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,1,7,6,0,20,0,0
17,Christlichdemokratische Volkspartei der Schweiz (CVP),Fabio Regazzi,1,1,0,0,0,6,3,3,5,1,0,24,0,0,1,0,3,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,3,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,9,20,0,3,4,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,10,3,0,0,0,0,0,0,0,4,0,9,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1
18,Christlichdemokratische Volkspartei der Schweiz (CVP),Filippo Lombardi,0,0,0,0,0,4,0,5,5,0,0,9,2,0,7,0,0,0,2,1,0,2,1,0,6,1,0,1,1,1,1,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,5,0,0,0,3,2,12,2,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,7,0,1,3,3,2,0,0,0,0,3,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,6,3,9,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,3,2,0,0,0,7,0,4,3,2,1,8,0,4,6,1,0,1,3,1,0,0,0,0,2,0,0,4,0,3,0,0,0,0,0,17,0,12,0,4,0,0,0,0,0,0,13,0,0,11,19,0,0,3,0,1,2,0,0,0,2,2,10,3,0,4,0,0,0,0,0,0,1,1,0,0,4,0,6,0,14,0,0,0,0,0,19,0,0,0,0,0,2,0,0,3,0,3,3,2,1,0,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,0,0,0,1,5,0,3,0,0,3
19,Christlichdemokratische Volkspartei der Schweiz (CVP),Gerhard Pfister,0,0,0,4,0,1,2,0,3,0,0,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,5,0,0,3,0,0,0,3,0,2,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,3,0,0,3,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,2,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,5,6,1,0,0,0,0,0,0,1,2,0,0,1,0,0
20,Christlichdemokratische Volkspartei der Schweiz (CVP),Ida Glanzmann-Hunkeler,12,0,0,0,0,0,0,1,10,9,1,31,0,2,0,0,1,0,0,0,0,1,1,0,2,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,5,1,0,0,0,1,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,1,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,12,19,0,5,2,0,0,1,0,4,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,11,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0
21,Christlichdemokratische Volkspartei der Schweiz (CVP),Isidor Baumann,0,13,0,0,0,12,12,1,9,1,1,33,0,13,12,3,6,2,11,2,0,1,0,18,8,9,0,1,22,1,2,7,4,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,5,6,2,0,0,0,4,0,2,5,0,7,0,6,0,0,5,10,4,14,0,0,0,0,0,2,7,0,6,2,0,1,0,0,0,0,17,0,10,4,0,2,0,0,0,0,11,5,0,0,2,4,8,0,0,0,2,0,0,0,1,0,4,0,4,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,4,1,1,5,12,0,0,5,0,0,0,0,0,0,1,2,1,3,4,0,8,0,0,0,0,0,0,4,0,3,0,2,3,2,1,14,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,12,0,0,58,194,0,0,0,0,0,0,1,3,1,1,15,7,9,1,2,0,0,0,0,0,1,5,0,0,5,1,3,17,0,4,0,0,0,0,0,16,0,1,0,2,2,23,9,0,0,0,1,0,1,6,2,0,2,1,0,10,4,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,3,69,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,2,0,6,5,0,6,0,0,0
22,Christlichdemokratische Volkspartei der Schweiz (CVP),Ivo Bischofberger,0,3,0,0,0,3,1,5,2,0,0,37,0,8,6,2,4,0,2,0,1,1,8,0,0,14,0,0,10,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,0,2,1,1,0,0,0,1,0,0,1,3,0,3,0,0,2,0,0,2,0,0,1,2,0,0,0,0,0,0,1,2,10,0,1,0,0,0,0,0,0,0,0,1,0,1,9,0,5,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,4,0,0,0,1,1,1,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,13,0,0,3,5,0,0,0,0,1,0,0,0,0,0,6,11,0,0,1,1,0,0,0,0,1,8,1,1,0,0,1,10,1,0,0,0,0,0,1,2,0,0,0,0,1,3,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,16,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,9,6,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2
23,Christlichdemokratische Volkspartei der Schweiz (CVP),Jakob Büchler,1,0,0,0,0,0,0,2,3,6,0,6,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,3,0,2,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,10,25,0,0,4,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,3,4,0,0,0,0,0,0,0,1,0,0,3,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,8,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
