,Speaker Party,Speaker,"('ablehn', 'motion')","('abseh', 'straf')","('absolut', 'zentral')","('abzug', 'eigenfinanzier')","('abzulehn', 'komm')","('administrativ', 'aufwand')","('aeschi', 'thomas')","('ahv', 'plus')","('alt', 'arbeitnehm')","('alt', 'mensch')","('amtlich', 'verteid')","('anerkannt', 'fluchtling')","('angab', 'frau')","('angab', 'herrn')","('angehor', 'arme')","('angenomm', 'word')","('annahm', 'motion')","('anschau', 'seh')","('antrag', 'bundesrat')","('antrag', 'einigungskonferenz')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeit', 'ausbildungsplatz')","('arbeit', 'daran')","('armut', 'betroff')","('art', 'weis')","('artikel', 'absatz')","('artikel', 'bundesverfass')","('artikel', 'stgb')","('arztinn', 'arzt')","('asylgesuch', 'person')","('aufgab', 'bund')","('aufgenomm', 'fluchtling')","('aufgenomm', 'person')","('aufgrund', 'uberpruf')","('aufmerksam', 'gemacht')","('auftrag', 'erfull')","('auftrag', 'gegeb')","('aug', 'behalt')","('auslanderinn', 'ausland')","('aussenpolit', 'kommission')","('automat', 'informationsaustausch')","('basel', 'iii')","('beantragt', 'wahl')","('bearbeitet', 'davon')","('beid', 'rat')","('beim', 'budget')","('beim', 'bund')","('beim', 'bundesamt')","('beim', 'eintret')","('beim', 'entwurf')","('beim', 'personal')","('beitrag', 'leist')","('bekampf', 'terrorismus')","('bereit', 'besteh')","('bereit', 'erwahnt')","('bereit', 'heut')","('bericht', 'bundesrat')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('betroff', 'person')","('bevolker', 'entschied')","('big', 'to')","('bildung', 'forschung')","('bisher', 'praxis')","('bitt', 'antrag')","('bitt', 'beim')","('bitt', 'bundesrat')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'ebenfall')","('bitt', 'kommissionsmehr')","('bitt', 'mehrheit')","('bitt', 'mind')","('bitt', 'minderheitsantrag')","('bitt', 'motion')","('bitt', 'nam')","('bitt', 'schon')","('bitt', 'vorlag')","('buchstab', 'b')","('bund', 'kanton')","('bundesamt', 'gesund')","('bundesamt', 'umwelt')","('bundesamt', 'verkehr')","('bundeseig', 'betrieb')","('bundesgesetz', 'offent')","('bundesnah', 'betrieb')","('bundesrat', 'antwort')","('bundesrat', 'beantragt')","('bundesrat', 'beauftrag')","('bundesrat', 'bleib')","('bundesrat', 'damal')","('bundesrat', 'entwurf')","('bundesrat', 'folg')","('bundesrat', 'frag')","('bundesrat', 'ja')","('bundesrat', 'maur')","('bundesrat', 'meinung')","('bundesrat', 'mind')","('bundesrat', 'motion')","('bundesrat', 'parlament')","('bundesrat', 'sag')","('bundesrat', 'sagt')","('bundesrat', 'schlagt')","('bundesrat', 'schneiderammann')","('bundesrat', 'schon')","('bundesrat', 'standerat')","('bundesrat', 'unterstutz')","('bundesrat', 'unterstutzt')","('bundesrat', 'verwalt')","('bundesrat', 'vorgeschlag')","('bundesrat', 'zuzustimm')","('bundesratin', 'leuthard')","('bundesratin', 'sommaruga')","('burg', 'mehrheit')","('burgerinn', 'burg')","('buro', 'beantragt')","('buro', 'festgestellt')","('buro', 'mandat')","('cassa', 'malati')","('compétenc', 'subsidiair')","('conseil', 'fédéral')","('dafur', 'sorg')","('dafur', 'tun')","('dah', 'bitt')","('dan', 'le')","('dank', 'bundesrat')","('dank', 'frag')","('dank', 'unterstutz')","('daran', 'arbeit')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darauf', 'sprech')","('darauf', 'verzicht')","('darum', 'bitt')","('davon', 'ausgeh')","('davon', 'bewilligt')","('de', 'la')","('definitiv', 'botschaft')","('dei', 'premi')","('denk', 'gerad')","('denk', 'sollt')","('denk', 'wichtig')","('deshalb', 'bitt')","('deshalb', 'bundesrat')","('deshalb', 'ja')","('deshalb', 'mocht')","('deshalb', 'motion')","('didi', 'burkhalt')","('differenz', 'nationalrat')","('digital', 'leistung')","('direkt', 'anwendbar')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('diskussion', 'fuhr')","('drei', 'jahr')","('dreissig', 'jahr')","('durchaus', 'meinung')","('durchaus', 'sinn')","('ehrlich', 'gesagt')","('ehrlich', 'sag')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('eidgenoss', 'zollverwalt')","('eigenstand', 'steu')","('eigent', 'bereit')","('eigent', 'schon')","('einfach', 'mal')","('einfach', 'mehr')","('einfach', 'sag')","('einfluss', 'nehm')","('einfuhr', 'schuldenbrems')","('einheit', 'materi')","('einnahm', 'ausgab')","('einvernehm', 'losung')","('einzig', 'allein')","('einzutret', 'zuzustimm')","('empfiehlt', 'stimm')","('end', 'jahr')","('entscheid', 'fall')","('entscheid', 'gefallt')","('entsprech', 'antrag')","('entsprech', 'bericht')","('entsprech', 'bitt')","('entsprech', 'massnahm')","('entsprech', 'vorlag')","('entwurf', 'bundesrat')","('erklart', 'buro')","('erleichtert', 'einburger')","('erneuerbar', 'energi')","('ersatz', 'list')","('ersetzt', 'zuruckgetret')","('erst', 'ersatz')","('erst', 'frag')","('erst', 'lini')","('erst', 'mal')","('erst', 'schritt')","('erwahnt', 'wurd')","('etwa', 'milliard')","('etwa', 'million')","('etwa', 'prozent')","('europa', 'gerichtshof')","('europa', 'land')","('europa', 'menschenrechtskonvention')","('europa', 'staat')","('europa', 'union')","('exakt', 'wissenschaft')","('extern', 'dienstleist')","('fakultativ', 'referendum')","('fest', 'endkund')","('festgestellt', 'artikel')","('festgestellt', 'wahl')","('finanziell', 'privatsphar')","('finanzkommission', 'empfiehlt')","('fluchtling', 'vorlauf')","('fluckig', 'sylvia')","('folg', 'geb')","('folgend', 'sag')","('formell', 'festzustell')","('frag', 'einfach')","('frag', 'frau')","('frag', 'herr')","('frag', 'herrn')","('frag', 'schon')","('frag', 'stell')","('frag', 'wer')","('frank', 'betrag')","('frank', 'bund')","('frank', 'erhoh')","('frank', 'geht')","('frank', 'jahr')","('frank', 'mehr')","('frank', 'million')","('frank', 'pro')","('frank', 'prozent')","('frank', 'wenig')","('frau', 'bertschy')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'fluckig')","('frau', 'kien')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'mann')","('frau', 'nationalratin')","('frau', 'standeratin')","('freie', 'einwander')","('freihand', 'verfahr')","('funf', 'jahr')","('funfzehn', 'jahr')","('fursorger', 'zwangsmassnahm')","('fuss', 'veloverkehr')","('ganz', 'ehrlich')","('ganz', 'einfach')","('ganz', 'genau')","('ganz', 'grundsatz')","('ganz', 'klar')","('ganz', 'schweiz')","('ganz', 'sich')","('ganz', 'wichtig')","('gar', 'mehr')","('geb', 'nehmerkanton')","('gebund', 'ausgab')","('geh', 'davon')","('geht', 'dabei')","('geht', 'darum')","('geht', 'eben')","('geht', 'einfach')","('geht', 'frag')","('geht', 'geht')","('geht', 'ja')","('geht', 'mehr')","('gekomm', 'herr')","('geltend', 'recht')","('gemacht', 'wurd')","('gemass', 'artikel')","('gemeind', 'kanton')","('gemeinnutz', 'zweck')","('gemeint', 'gegenteil')","('gemeinwirtschaft', 'leistung')","('gemischt', 'ausschuss')","('genau', 'frag')","('genet', 'untersuch')","('genf', 'fluchtlingskonvention')","('gerichtshof', 'menschenrecht')","('gern', 'bereit')","('gesagt', 'bundesrat')","('gesagt', 'gibt')","('gesagt', 'herr')","('gesagt', 'ja')","('gesagt', 'sei')","('gesagt', 'word')","('geschatzt', 'frau')","('geschatzt', 'herr')","('geschatzt', 'kolleg')","('geschatzt', 'kollegin')","('geschatzt', 'kolleginn')","('gesetz', 'grundlag')","('gesetz', 'schreib')","('gewahlt', 'erklart')","('gewerkschaft', 'verkehrspersonal')","('gibt', 'differenz')","('gibt', 'eben')","('gibt', 'ja')","('gibt', 'kanton')","('gibt', 'mehr')","('gibt', 'mind')","('gibt', 'moglich')","('gibt', 'verschied')","('gibt', 'viel')","('gibt', 'zwei')","('glaub', 'einfach')","('glaub', 'richtig')","('glaub', 'schon')","('glaub', 'wichtig')","('glaub', 'wirklich')","('gleich', 'lang')","('gleich', 'ziel')","('global', 'forum')","('global', 'umweltfond')","('gross', 'beutegreif')","('gross', 'probl')","('group', 'socialist')","('grund', 'dafur')","('grund', 'warum')","('grund', 'weshalb')","('grundsatz', 'frag')","('gultig', 'zustand')","('gunstig', 'steu')","('gut', 'daran')","('gut', 'gemeint')","('gut', 'grund')","('gut', 'losung')","('gut', 'zeit')","('guterabwag', 'vorzunehm')","('hand', 'biet')","('hansjorg', 'walt')","('hauslich', 'gewalt')","('herr', 'bischof')","('herr', 'bundeskanzl')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'caroni')","('herr', 'fohn')","('herr', 'germann')","('herr', 'glattli')","('herr', 'kolleg')","('herr', 'kuprecht')","('herr', 'matt')","('herr', 'mull')","('herr', 'nationalrat')","('herr', 'nos')","('herr', 'pardini')","('herr', 'rechstein')","('herr', 'standerat')","('herrn', 'bundesrat')","('herrn', 'standerat')","('heut', 'beurteil')","('heut', 'geltend')","('heut', 'morg')","('heut', 'sag')","('heut', 'schon')","('heutig', 'rentnerinn')","('hochstzahl', 'kontingent')","('hoflich', 'form')","('hoh', 'berufsbild')","('hoh', 'kost')","('hoh', 'preis')","('illegal', 'migrant')","('imm', 'gleich')","('imm', 'imm')","('imm', 'mehr')","('imm', 'wenig')","('inclusion', 'handicap')","('indirekt', 'steuer')","('individuell', 'leib')","('interess', 'daran')","('international', 'organisation')","('international', 'recht')","('international', 'standard')","('international', 'vergleich')","('international', 'verpflicht')","('international', 'wettbewerb')","('international', 'zusammenarbeit')","('ja', 'eigent')","('ja', 'gar')","('ja', 'imm')","('ja', 'nein')","('ja', 'sag')","('ja', 'schon')","('jahr', 'etwa')","('jahr', 'jahr')","('jahr', 'lang')","('jahr', 'milliard')","('jahr', 'million')","('jahr', 'prozent')","('jahr', 'spat')","('januar', 'kraft')","('je', 'mehr')","('je', 'nachd')","('jugend', 'sport')","('jung', 'leut')","('jung', 'mensch')","('jurist', 'person')","('kanton', 'aargau')","('kanton', 'basellandschaft')","('kanton', 'bern')","('kanton', 'bund')","('kanton', 'entsprech')","('kanton', 'genf')","('kanton', 'luz')","('kanton', 'schwyz')","('kanton', 'solothurn')","('kanton', 'stadt')","('kanton', 'tessin')","('kanton', 'thurgau')","('kanton', 'zurich')","('kenntnis', 'genomm')","('kenntnis', 'nehm')","('kien', 'nell')","('klar', 'meinung')","('knapp', 'prozent')","('koharent', 'gesetzgeb')","('kolleg', 'caroni')","('kolleg', 'engl')","('kolleg', 'fluri')","('kolleg', 'glattli')","('kolleg', 'luginbuhl')","('kolleg', 'pardini')","('kolleg', 'portmann')","('kolleg', 'ried')","('kolleg', 'wermuth')","('kollegin', 'riklin')","('kollegin', 'rytz')","('kolleginn', 'kolleg')","('komm', 'artikel')","('komm', 'sag')","('komm', 'schluss')","('kommission', 'bundesrat')","('kommission', 'einstimm')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'sozial')","('kommission', 'stimm')","('kommission', 'unterstutz')","('kommissionsmehr', 'unterstutz')","('kommissionsmind', 'unterstutz')","('kommissionssprech', 'gesagt')","('kompetenz', 'kanton')","('komplex', 'frag')","('konsumentinn', 'konsument')","('konzept', 'bundesrat')","('konzept', 'mehrheit')","('kraft', 'tret')","('kriminell', 'ausland')","('kurzung', 'million')","('land', 'leut')","('land', 'verlass')","('landlich', 'raum')","('lang', 'spiess')","('lang', 'zeit')","('lauf', 'jahr')","('lauf', 'letzt')","('le', 'conseil')","('leb', 'bedroht')","('lebenslang', 'tatigkeitsverbot')","('legt', 'dar')","('lehnt', 'spfraktion')","('lehnt', 'svpfraktion')","('leib', 'leb')","('letzt', 'bemerk')","('letzt', 'jahr')","('letzt', 'woch')","('letzt', 'zehn')","('letzt', 'zwanzig')","('leut', 'entsprech')","('leut', 'schweiz')","('leutenegg', 'oberholz')","('lieb', 'kolleg')","('link', 'seit')","('losung', 'find')","('losung', 'gefund')","('macht', 'sinn')","('mandat', 'festgestellt')","('mandat', 'unvereinbar')","('mann', 'frau')","('marz', 'jahr')","('masslos', 'zuwander')","('massnahm', 'ergreif')","('mehr', 'geld')","('mehr', 'leut')","('mehr', 'personal')","('mehr', 'prozent')","('mehr', 'sich')","('mehr', 'wenig')","('mehrheit', 'bundesrat')","('mehrheit', 'finanzkommission')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mensch', 'land')","('mey', 'mattea')","('milliard', 'frank')","('milliard', 'milliard')","('million', 'frank')","('mind', 'aeschi')","('mind', 'bundesrat')","('mind', 'folg')","('mind', 'i')","('mind', 'ii')","('mind', 'iii')","('mind', 'schwand')","('mittl', 'einkomm')","('mocht', 'bitt')","('mocht', 'bundesrat')","('mocht', 'einfach')","('mocht', 'frag')","('mocht', 'gern')","('mocht', 'kurz')","('mocht', 'nochmal')","('mocht', 'sag')","('mocht', 'schon')","('modell', 'standerat')","('moglich', 'geb')","('moglich', 'rasch')","('motion', 'ablehn')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'dittli')","('motion', 'landolt')","('motion', 'motion')","('motion', 'verlangt')","('motion', 'zuzustimm')","('multinational', 'konzern')","('muss', 'dafur')","('muss', 'einfach')","('muss', 'ja')","('muss', 'sag')","('muss', 'schau')","('muss', 'schon')","('muss', 'wiss')","('musst', 'wohl')","('nach', 'generation')","('nach', 'jahr')","('nach', 'schritt')","('nah', 'anschau')","('nam', 'bundesrat')","('nam', 'mind')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('national', 'aktionsplan')","('national', 'programm')","('nationalrat', 'folg')","('natur', 'person')","('natur', 'schon')","('nehm', 'muss')","('nein', 'sag')","('neu', 'asylgesuch')","('neu', 'aufgab')","('neu', 'ausgangslag')","('neu', 'erkenntnis')","('neu', 'fuhrungsmodell')","('neu', 'gesetz')","('neu', 'stell')","('neu', 'verfassungsartikel')","('neu', 'verhandeln')","('oak', 'bv')","('offent', 'beschaffungswes')","('offent', 'hand')","('offent', 'interess')","('offent', 'verkehr')","('one', 'one')","('one', 'out')","('paar', 'jahr')","('parlamentar', 'initiativ')","('parlamentar', 'mandat')","('parlamentsgesetz', 'parlamentar')","('partenair', 'tarifair')","('patientinn', 'patient')","('person', 'vorlauf')","('philipp', 'mull')","('polit', 'bildung')","('polit', 'frag')","('postulat', 'abzulehn')","('praktisch', 'schwierig')","('pro', 'jahr')","('pro', 'monat')","('pro', 'tag')","('prozent', 'gestieg')","('prozent', 'mehr')","('prozent', 'prozent')","('rechnung', 'trag')","('rechtsprech', 'bundesgericht')","('regeln', 'budgetier')","('regierungsrat', 'kanton')","('relativ', 'hoh')","('relocation', 'programm')","('rentnerinn', 'rentn')","('ressourcenschwach', 'kanton')","('richtig', 'gesagt')","('richtig', 'richtung')","('richtig', 'verstand')","('risikobasiert', 'kontroll')","('rucksicht', 'nehm')","('rund', 'milliard')","('rund', 'million')","('rund', 'prozent')","('rund', 'tisch')","('sach', 'kanton')","('saf', 'countri')","('sag', 'bundesrat')","('sag', 'einfach')","('sag', 'gern')","('sag', 'herr')","('sag', 'ja')","('sag', 'mal')","('sag', 'muss')","('sag', 'nein')","('sag', 'sei')","('schlicht', 'einfach')","('schluss', 'gekomm')","('schon', 'bissch')","('schon', 'gesagt')","('schon', 'heut')","('schon', 'mehrmal')","('schon', 'sag')","('schon', 'seit')","('schon', 'wichtig')","('schuldenbrems', 'einhalt')","('schuldspruch', 'abseh')","('schutz', 'privatsphar')","('schwarz', 'list')","('schweiz', 'burg')","('schweizer', 'nationalbank')","('schweizerinn', 'schweiz')","('schwierig', 'situation')","('seit', 'fahn')","('seit', 'jahr')","('senkung', 'umwandlungssatz')","('servic', 'public')","('sich', 'gesund')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'notwend')","('sicht', 'sp')","('sicht', 'spfraktion')","('sicht', 'svp')","('sicht', 'svpfraktion')","('sinn', 'bitt')","('sinn', 'bundesrat')","('sinn', 'mocht')","('sozial', 'sich')","('sozialdemokrat', 'fraktion')","('sp', 'klar')","('sp', 'unterstutzt')","('spfraktion', 'antrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'stimmt')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('sprech', 'spfraktion')","('sprech', 'svpfraktion')","('st', 'gall')","('staat', 'burg')","('staatssekretariat', 'migration')","('stadt', 'bern')","('stadt', 'gemeind')","('stadt', 'zurich')","('standerat', 'caroni')","('standerat', 'engl')","('standerat', 'folg')","('standerat', 'ried')","('standesinitiativ', 'folg')","('stark', 'gebund')","('stark', 'gewachs')","('statist', 'angab')","('status', 'quo')","('status', 'vorlauf')","('stell', 'fest')","('stellt', 'frag')","('stellungnahm', 'bundesrat')","('steuer', 'zuwander')","('steuerzahlerinn', 'steuerzahl')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('straflos', 'selbstanzeig')","('strateg', 'ziel')","('strukturell', 'reform')","('stuck', 'weit')","('stuf', 'bund')","('svpfraktion', 'antrag')","('svpfraktion', 'artikel')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'block')","('svpfraktion', 'deshalb')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'meinung')","('svpfraktion', 'mind')","('svpfraktion', 'minderheitsantrag')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('swiss', 'finish')","('syrerinn', 'syr')","('systemrelevant', 'bank')","('teil', 'durchaus')","('to', 'fail')","('too', 'big')","('uberdurchschnitt', 'arbeitslos')","('uberpruf', 'angab')","('umfahr', 'oberburg')","('umfang', 'million')","('umsetz', 'masseneinwanderungsinitiativ')","('umso', 'mehr')","('unabhang', 'davon')","('unbegleitet', 'minderjahr')","('uns', 'kommission')","('uns', 'sicht')","('unternehmenssteuerreform', 'ii')","('unternehmenssteuerreform', 'iii')","('unterstutz', 'mind')","('unterstutzt', 'spfraktion')","('unterstutzt', 'svpfraktion')","('unvereinbar', 'war')","('vereinigt', 'bundesversamml')","('vereinigt', 'konigreich')","('verfug', 'steh')","('vergang', 'jahr')","('verhandlungsmandat', 'verabschiedet')","('verlangsam', 'wachstum')","('verlangt', 'bundesrat')","('vernehmlass', 'geschickt')","('versich', 'bundesrat')","('vertreterinn', 'vertret')","('viel', 'dank')","('viel', 'mensch')","('vier', 'jahr')","('volk', 'stand')","('volkerrecht', 'vertrag')","('vollig', 'falsch')","('vollzug', 'wegweis')","('vorab', 'festzuhalt')","('vorhin', 'gesagt')","('vorlag', 'bundesrat')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('vornehm', 'muss')","('vorschlag', 'bundesrat')","('wahl', 'frau')","('wahl', 'herrn')","('war', 'buro')","('war', 'ja')","('war', 'wahrschein')","('weit', 'schritt')","('weiterentwickl', 'arme')","('werkplatz', 'schweiz')","('wesent', 'hoh')","('wesent', 'mehr')","('weshalb', 'bundesrat')","('wichtig', 'anlieg')","('wichtig', 'wiss')","('wirklich', 'gut')","('wirklich', 'versich')","('wiss', 'ganz')","('wiss', 'ja')","('wohl', 'eher')","('worum', 'geht')","('wurd', 'erwahnt')","('wurd', 'gesagt')","('wurd', 'schon')","('z', 'b')","('zanetti', 'roberto')","('zehn', 'jahr')","('ziel', 'erreich')","('zinsbereinigt', 'gewinnsteu')","('zivil', 'bundesverwalt')","('zuhand', 'materiali')","('zuruckgetret', 'kolleg')","('zusamm', 'kanton')","('zusammenarbeit', 'ruckkehrbereich')","('zusatz', 'administrativ')","('zwangsweis', 'ruckfuhr')","('zwanzig', 'jahr')","('zwei', 'drei')","('zwei', 'jahr')","('zweit', 'frag')","('zweit', 'punkt')","('zweit', 'saul')","('zwingend', 'lebenslang')","('à', 'la')"
0,Schweizerische Volkspartei (SVP),Adrian Amstutz,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,2,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,2,2,1,0,0,0,0,0,0,0,6,0,0,0,1,19,0,0,1,11,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,30,0,0,0,0,0,7,0,0,0,0,0,0,1,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,1,0,1,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,0,0,0,3,2,1,0,0,1,0,0,6,0,5,0,13,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,12,0,0,0,4,0,0,0,0,0,1,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,2,0,0,0,0,2,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,15,1,0,0,0,0,0,1,9,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,2,0,0,1,0,1,4,0,6,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1
1,Schweizerische Volkspartei (SVP),Albert Rösti,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,3,1,1,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,7,1,2,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,5,0,0,0,1,3,0,0,0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,11,0,0,0,7,0,0,0,0,0,0,4,3,0,0,0,0,0,1,2,0,0,3,2,0,0,2,0,8,1,2,2,3,4,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,3,2,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,7,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,1,0,2,0,0,0,2,0,5,0,2,0,0,0,1,1,0,6,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,2,1,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,1,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,1,4,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1
