,Speaker Party,Phrase,Counts,Freq,N,tf_idf
0,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",261.0,1,15,706.8011024876769
2,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",272.0,4,15,359.5175884751909
5,Schweizerische Volkspartei (SVP),"('frau', 'bundesratin')",491.0,9,15,250.81538126910144
7,Schweizerische Volkspartei (SVP),"('million', 'frank')",1604.0,13,15,229.53375319963988
9,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'rechtsfrag')",314.0,8,15,197.38311905862545
10,Schweizerische Volkspartei (SVP),"('milliard', 'frank')",852.0,12,15,190.1183057197067
11,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'unterstutzt')",118.0,3,15,189.91367366722383
15,Sozialdemokratische Partei der Schweiz (SP),"('million', 'frank')",1132.0,13,15,161.9901550012421
18,Sozialdemokratische Partei der Schweiz (SP),"('milliard', 'frank')",683.0,12,15,152.40704554760526
19,Sozialdemokratische Partei der Schweiz (SP),"('frau', 'bundesratin')",298.0,9,15,152.22603588226522
24,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bitt')",83.0,3,15,133.58334673203032
29,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bitt')",61.0,2,15,122.90908425307815
31,Sozialdemokratische Partei der Schweiz (SP),"('mehrheit', 'kommission')",389.0,11,15,120.65026711019354
34,Sozialdemokratische Partei der Schweiz (SP),"('fdpliberal', 'fraktion')",128.0,6,15,117.28521367989185
35,Sozialdemokratische Partei der Schweiz (SP),"('konsumentinn', 'konsument')",150.0,7,15,114.3210078070345
40,Sozialdemokratische Partei der Schweiz (SP),"('stimm', 'enthalt')",273.0,10,15,110.69197451352888
41,Sozialdemokratische Partei der Schweiz (SP),"('antrag', 'mind')",773.0,13,15,110.61695213424042
42,Schweizerische Volkspartei (SVP),"('kommission', 'rechtsfrag')",175.0,8,15,110.00651539891547
43,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'antrag')",40.0,1,15,108.3220080440884
45,Schweizerische Volkspartei (SVP),"('motion', 'abzulehn')",137.0,7,15,104.41318713042484
47,Sozialdemokratische Partei der Schweiz (SP),"('parlamentar', 'initiativ')",728.0,13,15,104.17741417041012
49,Schweizerische Volkspartei (SVP),"('artikel', 'absatz')",712.0,13,15,101.88780067215934
53,Sozialdemokratische Partei der Schweiz (SP),"('indirekt', 'gegenvorschlag')",198.0,9,15,101.14347350566617
54,Sozialdemokratische Partei der Schweiz (SP),"('patientinn', 'patient')",130.0,7,15,99.07820676609657
55,Schweizerische Volkspartei (SVP),"('mehrheit', 'kommission')",319.0,11,15,98.93942212892479
56,Schweizerische Volkspartei (SVP),"('stimm', 'enthalt')",243.0,10,15,98.52802127028394
57,Schweizerische Volkspartei (SVP),"('indirekt', 'gegenvorschlag')",192.0,9,15,98.07851976307022
58,Sozialdemokratische Partei der Schweiz (SP),"('geltend', 'recht')",192.0,9,15,98.07851976307022
59,Schweizerische Volkspartei (SVP),"('sicherheitspolit', 'bericht')",156.0,8,15,98.06295086989036
61,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'mind')",35.0,1,15,94.78175703857735
62,Sozialdemokratische Partei der Schweiz (SP),"('europa', 'union')",185.0,9,15,94.50274039670829
64,Sozialdemokratische Partei der Schweiz (SP),"('bitt', 'deshalb')",303.0,11,15,93.97694327606335
66,Sozialdemokratische Partei der Schweiz (SP),"('mind', 'i')",229.0,10,15,92.85150975676964
68,Schweizerische Volkspartei (SVP),"('parlamentar', 'initiativ')",637.0,13,15,91.15523739910886
69,Sozialdemokratische Partei der Schweiz (SP),"('artikel', 'absatz')",626.0,13,15,89.58112811906145
71,Schweizerische Volkspartei (SVP),"('geht', 'darum')",399.0,12,15,89.03427697436969
73,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'beantragt')",173.0,9,15,88.3728329115164
75,Schweizerische Volkspartei (SVP),"('kommission', 'beantragt')",171.0,9,15,87.35118166398442
77,Schweizerische Volkspartei (SVP),"('vorlag', 'einzutret')",210.0,10,15,85.14767270271452
78,Schweizerische Volkspartei (SVP),"('schriftlich', 'bericht')",77.0,5,15,84.59314622744445
86,Schweizerische Volkspartei (SVP),"('mind', 'i')",200.0,10,15,81.09302162163287
88,Schweizerische Volkspartei (SVP),"('bundesrat', 'beantragt')",129.0,8,15,81.09051706548625
90,Schweizerische Volkspartei (SVP),"('bitt', 'deshalb')",258.0,11,15,80.01997150239058
93,Schweizerische Volkspartei (SVP),"('antrag', 'mind')",555.0,13,15,79.42096822057366
94,Schweizerische Volkspartei (SVP),"('mehrheit', 'folg')",194.0,10,15,78.6602309729839
95,Schweizerische Volkspartei (SVP),"('svpfraktion', 'mehrheit')",39.0,2,15,78.58121780114833
99,Schweizerische Volkspartei (SVP),"('svpfraktion', 'beantrag')",28.0,1,15,75.82540563086188
104,Sozialdemokratische Partei der Schweiz (SP),"('vorlag', 'einzutret')",184.0,10,15,74.60557989190225
105,Sozialdemokratische Partei der Schweiz (SP),"('antrag', 'mehrheit')",334.0,12,15,74.52994613894606
106,Schweizerische Volkspartei (SVP),"('herr', 'kolleg')",240.0,11,15,74.43718279292146
108,Sozialdemokratische Partei der Schweiz (SP),"('geh', 'davon')",145.0,9,15,74.06971544606866
110,Sozialdemokratische Partei der Schweiz (SP),"('geht', 'darum')",331.0,12,15,73.86051548500343
118,Schweizerische Volkspartei (SVP),"('geltend', 'recht')",141.0,9,15,72.02641295100469
122,Schweizerische Volkspartei (SVP),"('svpfraktion', 'mind')",26.0,1,15,70.40930522865746
