,Phrase,Counts
84,"('national', 'strategi', 'schutz', 'schweiz', 'cyberris')",39
85,"('buro', 'mandat', 'festgestellt', 'artikel', 'bundesverfass')",39
86,"('bundesrat', 'beantragt', 'motion', 'postulat', 'umzuwandeln')",38
87,"('artikel', 'absatz', 'artikel', 'absatz', 'buchstab')",38
88,"('konferenz', 'kantonal', 'direktor', 'offent', 'verkehr')",38
89,"('volksinitiativ', 'schluss', 'uferlos', 'bau', 'zweitwohn')",38
90,"('artikel', 'absatz', 'buchstab', 'a', 'ziff')",38
91,"('absolut', 'mehrheit', 'mitglied', 'standerat', 'nationalrat')",37
92,"('mehrheit', 'mitglied', 'standerat', 'nationalrat', 'anwes')",37
93,"('mitglied', 'standerat', 'nationalrat', 'anwes', 'vereinigt')",37
94,"('standerat', 'nationalrat', 'anwes', 'vereinigt', 'bundesversamml')",37
95,"('vorstoss', 'rahm', 'vorlag', 'begrundet', 'word')",37
96,"('gemass', 'artikel', 'absatz', 'buchstab', 'b')",37
97,"('artikel', 'absatz', 'buchstab', 'b', 'c')",37
98,"('frank', 'jahr', 'million', 'frank', 'jahr')",37
99,"('bitt', 'vorlag', 'einzutret', 'ruckweisungsantrag', 'abzulehn')",37
100,"('kommission', 'beantragt', 'stimm', 'parlamentar', 'initiativ')",37
101,"('nationalrat', 'anwes', 'vereinigt', 'bundesversamml', 'somit')",36
102,"('gesichert', 'ahv', 'energi', 'statt', 'arbeit')",36
103,"('ahv', 'energi', 'statt', 'arbeit', 'besteu')",36
104,"('gemass', 'artikel', 'absatz', 'buchstab', 'a')",36
105,"('kommission', 'sozial', 'sich', 'gesund', 'nationalrat')",36
106,"('artikel', 'absatz', 'sowi', 'artikel', 'absatz')",36
107,"('bitt', 'nam', 'kommission', 'vorlag', 'einzutret')",36
108,"('botschaft', 'forder', 'bildung', 'forschung', 'innovation')",36
109,"('bitt', 'beim', 'entwurf', 'bundesrat', 'bleib')",36
110,"('bitt', 'antrag', 'mind', 'i', 'abzulehn')",35
111,"('bericht', 'kommission', 'beantragt', 'einstimm', 'motion')",35
112,"('parlamentar', 'initiativ', 'erst', 'phas', 'folg')",35
113,"('beantragt', 'stimm', 'parlamentar', 'initiativ', 'folg')",35
114,"('volksinitiativ', 'padophil', 'soll', 'mehr', 'kind')",35
115,"('kommission', 'beantragt', 'stimm', 'enthalt', 'parlamentar')",34
116,"('bitt', 'mehrheit', 'folg', 'minderheitsantrag', 'abzulehn')",34
117,"('beantrag', 'parlamentar', 'initiativ', 'folg', 'geb')",33
118,"('wer', 'a', 'sagt', 'b', 'sag')",33
119,"('la', 'majorité', 'de', 'la', 'commission')",33
120,"('antrag', 'mind', 'leutenegg', 'oberholz', 'abzulehn')",32
121,"('departement', 'umwelt', 'verkehr', 'energi', 'kommunikation')",32
122,"('frag', 'interpellantin', 'schriftlich', 'antwort', 'bundesrat')",32
123,"('erhalt', 'kommission', 'beantragt', 'einstimm', 'motion')",32
124,"('bundesrat', 'beantragt', 'annahm', 'motion', 'nationalrat')",32
125,"('million', 'frank', 'nach', 'vier', 'jahr')",31
126,"('bitt', 'nam', 'mind', 'parlamentar', 'initiativ')",31
127,"('artikel', 'absatz', 'buchstab', 'a', 'b')",31
128,"('nam', 'bdpfraktion', 'beantrag', 'vorlag', 'einzutret')",31
129,"('genf', 'zentrum', 'demokrat', 'kontroll', 'streitkraft')",30
130,"('grun', 'fraktion', 'unterstutzt', 'antrag', 'mind')",30
131,"('zwei', 'drittel', 'kanton', 'drittel', 'bund')",30
132,"('antrag', 'wurd', 'kommission', 'stimm', 'enthalt')",30
133,"('too', 'big', 'to', 'fail', 'bank')",30
134,"('bitt', 'nam', 'spfraktion', 'antrag', 'mind')",29
135,"('parlamentar', 'initiativ', 'folg', 'geb', 'kommission')",29
136,"('la', 'proposition', 'de', 'la', 'minorité')",29
137,"('bericht', 'kommission', 'kommission', 'beantragt', 'stimm')",29
138,"('artikel', 'absatz', 'buchstab', 'd', 'ziff')",29
139,"('schriftlich', 'bericht', 'kommission', 'beantragt', 'stimm')",29
140,"('schriftlich', 'antwort', 'bundesrat', 'befriedigt', 'beantragt')",29
141,"('parlamentar', 'mandat', 'unvereinbar', 'war', 'buro')",29
142,"('folg', 'parlamentar', 'initiativ', 'folg', 'geb')",28
143,"('beantragt', 'einstimm', 'initiativ', 'folg', 'geb')",28
144,"('gemass', 'artikel', 'absatz', 'buchstab', 'd')",28
145,"('mitglied', 'beid', 'rat', 'reglementsgemass', 'heutig')",28
146,"('beid', 'rat', 'reglementsgemass', 'heutig', 'sitzung')",28
147,"('rat', 'reglementsgemass', 'heutig', 'sitzung', 'eingelad')",28
148,"('reglementsgemass', 'heutig', 'sitzung', 'eingelad', 'word')",28
149,"('kommission', 'kommission', 'beantragt', 'einstimm', 'motion')",28
150,"('kommission', 'antrag', 'stimm', 'enthalt', 'abgelehnt')",28
151,"('erhalt', 'kommission', 'beantragt', 'stimm', 'enthalt')",28
152,"('mind', 'parlamentar', 'initiativ', 'folg', 'geb')",28
153,"('kommission', 'erhalt', 'kommission', 'beantragt', 'stimm')",28
154,"('antrag', 'mind', 'ii', 'artikel', 'absatz')",28
155,"('bitt', 'antrag', 'mind', 'i', 'unterstutz')",27
156,"('botschaft', 'forder', 'bildung', 'forschung', 'technologi')",27
157,"('stell', 'fest', 'absolut', 'mehrheit', 'mitglied')",27
158,"('kommission', 'beantragt', 'einstimm', 'initiativ', 'folg')",27
159,"('antrag', 'wurd', 'stimm', 'enthalt', 'abgelehnt')",27
160,"('stimm', 'enthalt', 'standesinitiativ', 'folg', 'geb')",27
161,"('dah', 'parlamentar', 'initiativ', 'folg', 'geb')",27
162,"('lieb', 'spatz', 'hand', 'taub', 'dach')",27
163,"('fdpfraktion', 'teilt', 'antrag', 'mehrheit', 'unterstutzt')",27
164,"('schriftlich', 'antwort', 'bundesrat', 'teilweis', 'befriedigt')",27
165,"('fdpliberal', 'fraktion', 'unterstutzt', 'antrag', 'mehrheit')",27
166,"('kommission', 'beantragt', 'stimm', 'motion', 'abzulehn')",27
167,"('bas', 'erosion', 'and', 'profit', 'shifting')",27
168,"('einsatz', 'arme', 'unterstutz', 'zivil', 'behord')",27
169,"('bundesgesetz', 'erganzungsleist', 'alt', 'hinterlass', 'invalidenversicher')",26
170,"('artikel', 'absatz', 'buchstab', 'b', 'bundesverfass')",26
171,"('entwurf', 'bundesrat', 'bzw', 'beschluss', 'standerat')",26
