Speaker,0,1,2,3,4,Min,Max
Diana Gutjahr,5.0,,,,,5.0,5.0
Dick Marty,1.0,2.0,,,,1.0,2.0
Didier Burkhalter,3.0,4.0,5.0,,,3.0,5.0
Dominique de Buman,4.0,5.0,,,,4.0,5.0
Doris Fiala,3.0,4.0,5.0,,,3.0,5.0
Doris Leuthard,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Doris Stump,1.0,2.0,3.0,,,1.0,3.0
Dorle Vallender,1.0,,,,,1.0,1.0
Duri Bezzola,1.0,2.0,,,,1.0,2.0
Duri Campell,5.0,,,,,5.0,5.0
Edi Engelberger,1.0,2.0,3.0,,,1.0,3.0
Edith Graf-Litscher,2.0,3.0,4.0,5.0,,2.0,5.0
Elisabeth Schneider-Schneiter,3.0,4.0,5.0,,,3.0,5.0
Elmar Bigger,1.0,2.0,3.0,,,1.0,3.0
Elvira Bader,1.0,2.0,3.0,,,1.0,3.0
Eric Nussbaumer,3.0,4.0,5.0,,,3.0,5.0
Erich Ettlin,5.0,,,,,5.0,5.0
Erich Hess,5.0,,,,,5.0,5.0
Erich Müller,1.0,,,,,1.0,1.0
Erich von Siebenthal,3.0,4.0,5.0,,,3.0,5.0
Erika Forster-Vannini,1.0,2.0,3.0,,,1.0,3.0
Ernst Leuenberger,1.0,2.0,3.0,,,1.0,3.0
Ernst Schibli,1.0,2.0,3.0,4.0,,1.0,4.0
Erwin Jutzet,1.0,2.0,,,,1.0,2.0
Esther Egger-Wyss,3.0,,,,,3.0,3.0
Eugen David,1.0,2.0,3.0,,,1.0,3.0
Eveline Widmer-Schlumpf,3.0,4.0,5.0,,,3.0,5.0
Evi Allemann,2.0,3.0,4.0,5.0,,2.0,5.0
Fabian Molina,5.0,,,,,5.0,5.0
Fabio Abate,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Fabio Pedrina,1.0,2.0,3.0,,,1.0,3.0
Fabio Regazzi,4.0,5.0,,,,4.0,5.0
Felix Gutzwiller,1.0,2.0,3.0,4.0,,1.0,4.0
Felix Müri,2.0,3.0,4.0,5.0,,2.0,5.0
Felix Walker,1.0,2.0,,,,1.0,2.0
Filippo Leutenegger,2.0,3.0,4.0,,,2.0,4.0
Filippo Lombardi,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Flavia Wasserfallen,5.0,,,,,5.0,5.0
Flavio Maspoli,1.0,,,,,1.0,1.0
Franco Cavalli,1.0,2.0,,,,1.0,2.0
Franz Brun,1.0,2.0,,,,1.0,2.0
Franz Grüter,5.0,,,,,5.0,5.0
Franz Ruppen,5.0,,,,,5.0,5.0
Franz Steinegger,1.0,,,,,1.0,1.0
Franz Wicki,1.0,2.0,,,,1.0,2.0
Franziska Teuscher,1.0,2.0,3.0,4.0,,1.0,4.0
Françoise Saudan,1.0,,,,,1.0,1.0
Fritz Abraham Oehrli,1.0,2.0,,,,1.0,2.0
Fritz Schiesser,1.0,2.0,3.0,,,1.0,3.0
Fulvio Pelli,1.0,2.0,3.0,4.0,,1.0,4.0
Gabi Huber,2.0,3.0,4.0,,,2.0,4.0
Gabriele Gendotti,1.0,,,,,1.0,1.0
Georges Theiler,1.0,2.0,3.0,4.0,,1.0,4.0
Gerhard Pfister,2.0,3.0,4.0,5.0,,2.0,5.0
Geri Müller,2.0,3.0,4.0,,,2.0,4.0
Gerold Bührer,1.0,2.0,,,,1.0,2.0
Gian-Reto Plattner,1.0,,,,,1.0,1.0
Giovanni Merlini,4.0,5.0,,,,4.0,5.0
Gregor Rutz,4.0,5.0,,,,4.0,5.0
Guido Zäch,1.0,,,,,1.0,1.0
Guy Parmelin,5.0,,,,,5.0,5.0
Hannes Germann,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Hans Altherr,2.0,3.0,4.0,,,2.0,4.0
Hans Egloff,4.0,5.0,,,,4.0,5.0
Hans Fehr,1.0,2.0,3.0,4.0,,1.0,4.0
Hans Fünfschilling,1.0,2.0,,,,1.0,2.0
Hans Grunder,3.0,4.0,5.0,,,3.0,5.0
Hans Hess,1.0,2.0,3.0,4.0,,1.0,4.0
Hans Hofmann,1.0,2.0,,,,1.0,2.0
Hans Kaufmann,1.0,2.0,3.0,4.0,,1.0,4.0
Hans Killer,3.0,4.0,,,,3.0,4.0
Hans Lauri,1.0,2.0,,,,1.0,2.0
Hans Rudolf Gysin,1.0,2.0,3.0,,,1.0,3.0
Hans Rutschmann,2.0,3.0,,,,2.0,3.0
Hans Stöckli,2.0,3.0,4.0,5.0,,2.0,5.0
Hans Ulrich Mathys,1.0,2.0,,,,1.0,2.0
Hans Werner Widrig,1.0,,,,,1.0,1.0
Hans Wicki,5.0,,,,,5.0,5.0
Hans Widmer,1.0,2.0,3.0,,,1.0,3.0
Hans Zbinden,1.0,,,,,1.0,1.0
Hans-Jürg Fehr,1.0,2.0,3.0,4.0,,1.0,4.0
Hans-Peter Portmann,4.0,5.0,,,,4.0,5.0
Hans-Rudolf Merz,1.0,2.0,3.0,,,1.0,3.0
Hans-Ueli Vogt,5.0,,,,,5.0,5.0
Hans-Ulrich Bigler,5.0,,,,,5.0,5.0
Hansheiri Inderkum,1.0,2.0,3.0,,,1.0,3.0
Hansjakob Leutenegger,1.0,,,,,1.0,1.0
Hansjörg Brunner,5.0,,,,,5.0,5.0
Hansjörg Hassler,1.0,2.0,3.0,4.0,,1.0,4.0
Hansjörg Knecht,4.0,5.0,,,,4.0,5.0
Hansjörg Walter,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Hanspeter Seiler,1.0,,,,,1.0,1.0
Hansruedi Stadler,1.0,2.0,3.0,,,1.0,3.0
Hansruedi Wandfluh,1.0,2.0,3.0,4.0,,1.0,4.0
Hansueli Raggenbass,1.0,,,,,1.0,1.0
Heiner Studer,1.0,2.0,,,,1.0,2.0
Heinrich Estermann,1.0,,,,,1.0,1.0
Heinz Brand,4.0,5.0,,,,4.0,5.0
Heinz Siegenthaler,4.0,5.0,,,,4.0,5.0
Helen Leumann,1.0,2.0,3.0,,,1.0,3.0
Hermann Bürgi,1.0,2.0,3.0,,,1.0,3.0
Hermann Weyeneth,1.0,2.0,,,,1.0,2.0
Hildegard Fässler-Osterwalder,1.0,2.0,3.0,4.0,,1.0,4.0
Hugo Fasel,1.0,2.0,3.0,,,1.0,3.0
Ida Glanzmann-Hunkeler,2.0,3.0,4.0,5.0,,2.0,5.0
Ignazio Cassis,2.0,3.0,4.0,5.0,,2.0,5.0
Irène Kälin,5.0,,,,,5.0,5.0
Isabelle Chevalley,5.0,,,,,5.0,5.0
Isabelle Moret,5.0,,,,,5.0,5.0
Isidor Baumann,4.0,5.0,,,,4.0,5.0
Ivo Bischofberger,2.0,3.0,4.0,5.0,,2.0,5.0
J. Alexander Baumann,1.0,2.0,3.0,,,1.0,3.0
Jacqueline Badran,4.0,5.0,,,,4.0,5.0
Jacqueline Fehr,1.0,2.0,3.0,4.0,,1.0,4.0
Jacques Bourgeois,4.0,,,,,4.0,4.0
Jakob Büchler,2.0,3.0,4.0,5.0,,2.0,5.0
Jakob Freund,1.0,,,,,1.0,1.0
Jasmin Hutter-Hutter,2.0,3.0,,,,2.0,3.0
Jean Christophe Schwaab,4.0,5.0,,,,4.0,5.0
Jean Henri Dunant,1.0,2.0,3.0,,,1.0,3.0
Jean-François Rime,3.0,4.0,5.0,,,3.0,5.0
Jean-François Steiert,2.0,3.0,4.0,5.0,,2.0,5.0
Jean-Michel Cina,1.0,2.0,,,,1.0,2.0
Jean-Noël Rey,2.0,,,,,2.0,2.0
Jean-Philippe Maitre,2.0,,,,,2.0,2.0
Jean-René Germanier,3.0,4.0,,,,3.0,4.0
Joachim Eder,4.0,5.0,,,,4.0,5.0
Johann N. Schneider-Ammann,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Johannes Randegger,1.0,2.0,,,,1.0,2.0
John Dupraz,1.0,,,,,1.0,1.0
Jonas Fricker,5.0,,,,,5.0,5.0
Josef Dittli,5.0,,,,,5.0,5.0
Josef Kunz,1.0,2.0,3.0,,,1.0,3.0
Josef Lang,2.0,3.0,,,,2.0,3.0
Josef Leu,1.0,2.0,,,,1.0,2.0
Joseph Deiss,1.0,2.0,,,,1.0,2.0
Josias F. Gasser,4.0,,,,,4.0,4.0
Jost Gross,1.0,2.0,,,,1.0,2.0
Josy Gyr-Steiner,2.0,,,,,2.0,2.0
Jürg Grossen,4.0,5.0,,,,4.0,5.0
Jürg Michel,2.0,,,,,2.0,2.0
Jürg Stahl,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Karin Keller-Sutter,4.0,5.0,,,,4.0,5.0
Karl Tschuppert,1.0,,,,,1.0,1.0
Karl Vogler,4.0,5.0,,,,4.0,5.0
Kaspar Villiger,1.0,2.0,,,,1.0,2.0
Katharina Prelicz-Huber,3.0,,,,,3.0,3.0
Kathrin Amacker-Amann,3.0,,,,,3.0,3.0
Kathrin Bertschy,4.0,5.0,,,,4.0,5.0
Kathy Riklin,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Konrad Graber,3.0,4.0,5.0,,,3.0,5.0
Kurt Fluri,2.0,3.0,4.0,5.0,,2.0,5.0
Kurt Wasserfallen,1.0,2.0,,,,1.0,2.0
Käthi Bangerter,1.0,,,,,1.0,1.0
Laura Sadis,2.0,,,,,2.0,2.0
Laurent Favre,4.0,,,,,4.0,4.0
Laurent Wehrli,5.0,,,,,5.0,5.0
Leo Müller,4.0,5.0,,,,4.0,5.0
Lieni Füglistaller,2.0,3.0,,,,2.0,3.0
Lili Nabholz,1.0,,,,,1.0,1.0
Lisbeth Fehr,1.0,,,,,1.0,1.0
Lorenz Hess,4.0,5.0,,,,4.0,5.0
Lorenzo Quadri,4.0,5.0,,,,4.0,5.0
Lothar Ziörjen,4.0,,,,,4.0,4.0
Louis Schelbert,2.0,3.0,4.0,5.0,,2.0,5.0
Luc Recordon,2.0,4.0,,,,2.0,4.0
Lucrezia Meier-Schatz,1.0,2.0,3.0,4.0,,1.0,4.0
Lukas Reimann,3.0,4.0,5.0,,,3.0,5.0
Luzi Stamm,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Magdalena Martullo-Blocher,5.0,,,,,5.0,5.0
Maja Ingold,3.0,4.0,5.0,,,3.0,5.0
Manfred Bühler,5.0,,,,,5.0,5.0
Marc Frédéric Suter,1.0,2.0,,,,1.0,2.0
Marcel Dettling,5.0,,,,,5.0,5.0
Marcel Dobler,5.0,,,,,5.0,5.0
Marcel Scherer,1.0,2.0,3.0,,,1.0,3.0
Marco Chiesa,5.0,,,,,5.0,5.0
Marco Romano,4.0,5.0,,,,4.0,5.0
Margret Kiener Nellen,2.0,3.0,4.0,5.0,,2.0,5.0
Margrit Kessler,4.0,,,,,4.0,4.0
Maria Bernasconi,3.0,4.0,,,,3.0,4.0
Marianne Kleiner,2.0,3.0,,,,2.0,3.0
Marianne Slongo,1.0,2.0,,,,1.0,2.0
Marianne Streiff-Feller,3.0,4.0,5.0,,,3.0,5.0
Marie-Thérèse Weber-Gobet,3.0,,,,,3.0,3.0
Marina Carobbio Guscetti,2.0,3.0,4.0,5.0,,2.0,5.0
Mario Fehr,1.0,2.0,3.0,,,1.0,3.0
Markus Hausammann,4.0,5.0,,,,4.0,5.0
Markus Hutter,2.0,3.0,4.0,,,2.0,4.0
Markus Lehmann,4.0,,,,,4.0,4.0
Markus Ritter,4.0,5.0,,,,4.0,5.0
Markus Stadler,3.0,4.0,,,,3.0,4.0
Markus Wäfler,2.0,,,,,2.0,2.0
Markus Zemp,2.0,3.0,,,,2.0,3.0
Marlies Bänziger,3.0,,,,,3.0,3.0
Martin Bäumle,2.0,3.0,4.0,5.0,,2.0,5.0
Martin Candinas,4.0,5.0,,,,4.0,5.0
Martin Haab,5.0,,,,,5.0,5.0
Martin Landolt,3.0,4.0,5.0,,,3.0,5.0
Martin Naef,4.0,5.0,,,,4.0,5.0
Martin Schmid,4.0,5.0,,,,4.0,5.0
Martina Munz,4.0,5.0,,,,4.0,5.0
Martine Brunschwig Graf,3.0,,,,,3.0,3.0
Mattea Meyer,5.0,,,,,5.0,5.0
Matthias Aebischer,4.0,5.0,,,,4.0,5.0
Matthias Samuel Jauslin,5.0,,,,,5.0,5.0
Mauro Tuena,5.0,,,,,5.0,5.0
Max Binder,1.0,2.0,3.0,4.0,,1.0,4.0
Max Chopard-Acklin,3.0,4.0,,,,3.0,4.0
Maximilian Reimann,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Maya Graf,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Maya Lalive d'Epinay,1.0,,,,,1.0,1.0
Melchior Ehrler,1.0,,,,,1.0,1.0
Michael Töngi,5.0,,,,,5.0,5.0
Micheline Calmy-Rey,1.0,2.0,3.0,,,1.0,3.0
Mike Egger,5.0,,,,,5.0,5.0
Milli Wittenwiler,1.0,,,,,1.0,1.0
Min Li Marti,5.0,,,,,5.0,5.0
Moritz Leuenberger,1.0,2.0,3.0,,,1.0,3.0
Nadine Masshardt,4.0,5.0,,,,4.0,5.0
Nadja Pieren,4.0,5.0,,,,4.0,5.0
Natalie Rickli,3.0,4.0,5.0,,,3.0,5.0
Nicolo Paganini,5.0,,,,,5.0,5.0
Niklaus-Samuel Gugger,5.0,,,,,5.0,5.0
Norbert Hochreutener,2.0,3.0,,,,2.0,3.0
Norman Gobbi,3.0,,,,,3.0,3.0
Odilo Schmid,1.0,,,,,1.0,1.0
Olivier Feller,4.0,5.0,,,,4.0,5.0
Oskar Freysinger,2.0,3.0,4.0,,,2.0,4.0
Otto Ineichen,2.0,3.0,4.0,,,2.0,4.0
Otto Laubacher,1.0,2.0,,,,1.0,2.0
Otto Zwygart,1.0,,,,,1.0,1.0
Pankraz Freitag,3.0,4.0,,,,3.0,4.0
Pascal Couchepin,1.0,2.0,3.0,,,1.0,3.0
Pascale Bruderer Wyss,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Paul Günter,1.0,2.0,,,,1.0,2.0
Paul Kurrus,1.0,,,,,1.0,1.0
Paul Niederberger,3.0,4.0,,,,3.0,4.0
Paul Rechsteiner,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Peter Bieri,1.0,2.0,3.0,4.0,,1.0,4.0
Peter Briner,1.0,2.0,3.0,,,1.0,3.0
Peter Flück,3.0,,,,,3.0,3.0
Peter Föhn,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Peter Hegglin,5.0,,,,,5.0,5.0
Peter Hess,1.0,,,,,1.0,1.0
Peter Jossen,1.0,,,,,1.0,1.0
Peter Keller,4.0,5.0,,,,4.0,5.0
Peter Kofmel,1.0,,,,,1.0,1.0
Peter Malama,3.0,4.0,,,,3.0,4.0
Peter Schilliger,4.0,5.0,,,,4.0,5.0
Peter Spuhler,1.0,2.0,3.0,4.0,,1.0,4.0
Peter Vollmer,1.0,2.0,,,,1.0,2.0
Peter Weigelt,1.0,2.0,,,,1.0,2.0
Petra Gössi,4.0,5.0,,,,4.0,5.0
Philipp Hadorn,4.0,5.0,,,,4.0,5.0
Philipp Kutter,5.0,,,,,5.0,5.0
Philipp Matthias Bregy,5.0,,,,,5.0,5.0
Philipp Müller,2.0,3.0,4.0,5.0,,2.0,5.0
Philipp Stähelin,1.0,2.0,3.0,,,1.0,3.0
Philippe Nantermod,5.0,,,,,5.0,5.0
Pia Hollenstein,1.0,2.0,,,,1.0,2.0
Pierre Chiffelle,1.0,,,,,1.0,1.0
Pierre Kohler,2.0,,,,,2.0,2.0
Pierre Tillmanns,1.0,,,,,1.0,1.0
Pierre Triponez,1.0,2.0,3.0,,,1.0,3.0
Pierre-Alain Gentil,2.0,,,,,2.0,2.0
Pirmin Bischof,3.0,4.0,5.0,,,3.0,5.0
Pirmin Schwander,2.0,3.0,4.0,5.0,,2.0,5.0
Pius Segmüller,3.0,,,,,3.0,3.0
Prisca Birrer-Heimo,3.0,4.0,5.0,,,3.0,5.0
Priska Seiler Graf,5.0,,,,,5.0,5.0
Raphaël Comte,3.0,5.0,,,,3.0,5.0
Raymond Clottu,5.0,,,,,5.0,5.0
Regine Aeppli,1.0,,,,,1.0,1.0
Regine Sauter,5.0,,,,,5.0,5.0
Regula Rytz,4.0,5.0,,,,4.0,5.0
Remo Giosué Galli,1.0,,,,,1.0,1.0
Remo Gysin,1.0,2.0,,,,1.0,2.0
René Imoberdorf,3.0,4.0,,,,3.0,4.0
Reto Wehrli,2.0,3.0,,,,2.0,3.0
Ricardo Lumengo,3.0,,,,,3.0,3.0
Rico Wenger,1.0,,,,,1.0,1.0
Robert Keller,1.0,2.0,,,,1.0,2.0
Roberta Pantani,4.0,5.0,,,,4.0,5.0
Roberto Schmidt,3.0,5.0,,,,3.0,5.0
Roberto Zanetti,1.0,3.0,4.0,5.0,,1.0,5.0
Roger Köppel,5.0,,,,,5.0,5.0
Roger Nordmann,3.0,4.0,5.0,,,3.0,5.0
Roland Eberle,4.0,5.0,,,,4.0,5.0
Roland F. Borer,1.0,2.0,3.0,4.0,,1.0,4.0
Roland Fischer,4.0,,,,,4.0,4.0
Roland Rino Büchel,3.0,4.0,5.0,,,3.0,5.0
Roland Wiederkehr,1.0,,,,,1.0,1.0
Rolf Büttiker,1.0,2.0,3.0,,,1.0,3.0
Rolf Escher,1.0,2.0,,,,1.0,2.0
Rolf Hegetschweiler,1.0,2.0,,,,1.0,2.0
Rolf Schweiger,1.0,2.0,3.0,,,1.0,3.0
Rosmarie Dormann,1.0,,,,,1.0,1.0
Rosmarie Quadranti,4.0,5.0,,,,4.0,5.0
Rosmarie Zapfl,1.0,2.0,,,,1.0,2.0
Rudolf Imhof,1.0,,,,,1.0,1.0
Rudolf Joder,1.0,2.0,3.0,4.0,,1.0,4.0
Rudolf Rechsteiner,1.0,2.0,3.0,,,1.0,3.0
Rudolf Steiner,1.0,2.0,,,,1.0,2.0
Rudolf Strahm,1.0,2.0,,,,1.0,2.0
