Speaker,0,1,2,3,4,Min,Max
Geri Müller,2.0,3.0,4.0,,,2.0,4.0
Gerold Bührer,1.0,2.0,,,,1.0,2.0
Giovanni Merlini,4.0,5.0,,,,4.0,5.0
Gregor Rutz,4.0,5.0,,,,4.0,5.0
Hannes Germann,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Hans Altherr,2.0,3.0,4.0,,,2.0,4.0
Hans Egloff,4.0,5.0,,,,4.0,5.0
Hans Fehr,1.0,2.0,3.0,4.0,,1.0,4.0
Hans Fünfschilling,1.0,2.0,,,,1.0,2.0
Hans Grunder,3.0,4.0,5.0,,,3.0,5.0
Hans Hess,1.0,2.0,3.0,4.0,,1.0,4.0
Hans Hofmann,1.0,2.0,,,,1.0,2.0
Hans Kaufmann,1.0,2.0,3.0,4.0,,1.0,4.0
Hans Killer,3.0,4.0,,,,3.0,4.0
Hans Lauri,1.0,2.0,,,,1.0,2.0
Hans Rudolf Gysin,1.0,2.0,3.0,,,1.0,3.0
Hans Rutschmann,2.0,3.0,,,,2.0,3.0
Hans Stöckli,2.0,3.0,4.0,5.0,,2.0,5.0
Hans Ulrich Mathys,1.0,2.0,,,,1.0,2.0
Hans Widmer,1.0,2.0,3.0,,,1.0,3.0
Hans-Jürg Fehr,1.0,2.0,3.0,4.0,,1.0,4.0
Hans-Peter Portmann,4.0,5.0,,,,4.0,5.0
Hans-Rudolf Merz,1.0,2.0,3.0,,,1.0,3.0
Hansheiri Inderkum,1.0,2.0,3.0,,,1.0,3.0
Hansjörg Hassler,1.0,2.0,3.0,4.0,,1.0,4.0
Hansjörg Knecht,4.0,5.0,,,,4.0,5.0
Hansjörg Walter,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Hansruedi Stadler,1.0,2.0,3.0,,,1.0,3.0
Hansruedi Wandfluh,1.0,2.0,3.0,4.0,,1.0,4.0
Heiner Studer,1.0,2.0,,,,1.0,2.0
Heinz Brand,4.0,5.0,,,,4.0,5.0
Heinz Siegenthaler,4.0,5.0,,,,4.0,5.0
Helen Leumann,1.0,2.0,3.0,,,1.0,3.0
Hermann Bürgi,1.0,2.0,3.0,,,1.0,3.0
Hermann Weyeneth,1.0,2.0,,,,1.0,2.0
Hildegard Fässler-Osterwalder,1.0,2.0,3.0,4.0,,1.0,4.0
Hugo Fasel,1.0,2.0,3.0,,,1.0,3.0
Ida Glanzmann-Hunkeler,2.0,3.0,4.0,5.0,,2.0,5.0
Ignazio Cassis,2.0,3.0,4.0,5.0,,2.0,5.0
Isidor Baumann,4.0,5.0,,,,4.0,5.0
Ivo Bischofberger,2.0,3.0,4.0,5.0,,2.0,5.0
J. Alexander Baumann,1.0,2.0,3.0,,,1.0,3.0
Jacqueline Badran,4.0,5.0,,,,4.0,5.0
Jacqueline Fehr,1.0,2.0,3.0,4.0,,1.0,4.0
Jakob Büchler,2.0,3.0,4.0,5.0,,2.0,5.0
Jasmin Hutter-Hutter,2.0,3.0,,,,2.0,3.0
Jean Christophe Schwaab,4.0,5.0,,,,4.0,5.0
Jean Henri Dunant,1.0,2.0,3.0,,,1.0,3.0
Jean-François Rime,3.0,4.0,5.0,,,3.0,5.0
Jean-François Steiert,2.0,3.0,4.0,5.0,,2.0,5.0
Jean-Michel Cina,1.0,2.0,,,,1.0,2.0
Jean-René Germanier,3.0,4.0,,,,3.0,4.0
Joachim Eder,4.0,5.0,,,,4.0,5.0
Johann N. Schneider-Ammann,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Johannes Randegger,1.0,2.0,,,,1.0,2.0
Josef Kunz,1.0,2.0,3.0,,,1.0,3.0
Josef Lang,2.0,3.0,,,,2.0,3.0
Josef Leu,1.0,2.0,,,,1.0,2.0
Joseph Deiss,1.0,2.0,,,,1.0,2.0
Jost Gross,1.0,2.0,,,,1.0,2.0
Jürg Grossen,4.0,5.0,,,,4.0,5.0
Jürg Stahl,1.0,2.0,3.0,4.0,5.0,1.0,5.0
