,Phrase,qui
114,"('fehr', 'mario')",1.2881952860895375e-05
115,"('gegenvorschlag', 'abzulehn')",1.2881952860895375e-05
116,"('genf', 'zentrum')",1.2881952860895375e-05
117,"('kanton', 'neuenburg')",1.2881952860895375e-05
118,"('zusatz', 'steu')",1.2881952860895375e-05
119,"('zivil', 'friedensdien')",1.286972930087197e-05
120,"('kanton', 'tessin')",1.264307431282612e-05
121,"('betroff', 'kanton')",1.2608201923964286e-05
122,"('patientinn', 'patient')",1.2608201923964286e-05
123,"('dringend', 'notwend')",1.2563064309632408e-05
124,"('embryonal', 'stammzell')",1.248621857657144e-05
125,"('offent', 'interess')",1.243237904026468e-05
126,"('kanton', 'uri')",1.2387805889921028e-05
127,"('polit', 'uno')",1.2323755644035612e-05
128,"('flexibl', 'rentenalt')",1.1913469723679821e-05
129,"('voll', 'umfang')",1.1796528468420924e-05
130,"('zusatz', 'belast')",1.1796528468420924e-05
131,"('bundesamt', 'verkehr')",1.176161211211714e-05
132,"('einkomm', 'frank')",1.1663367963571796e-05
133,"('eng', 'sinn')",1.1499023219588942e-05
134,"('schweizer', 'polit')",1.1499023219588942e-05
135,"('standesinitiativ', 'tessin')",1.1499023219588942e-05
136,"('umgang', 'gentechn')",1.1402095302902572e-05
137,"('hauslich', 'gewalt')",1.128227783091629e-05
138,"('initiativ', 'giezendann')",1.128227783091629e-05
139,"('mind', 'ménétreysavary')",1.128227783091629e-05
140,"('russisch', 'foderation')",1.128227783091629e-05
141,"('befurwort', 'gegn')",1.1259964945981739e-05
142,"('entlast', 'kmu')",1.1259964945981739e-05
143,"('feststell', 'identitat')",1.1259964945981739e-05
144,"('frank', 'tief')",1.1259964945981739e-05
145,"('menschlich', 'leb')",1.1259964945981739e-05
146,"('umwandl', 'defizitgaranti')",1.1259964945981739e-05
147,"('ungebor', 'kind')",1.1259964945981739e-05
148,"('volk', 'ablehn')",1.1259964945981739e-05
149,"('volksinitiativ', 'mutt')",1.1259964945981739e-05
150,"('bitt', 'kommissionsmehr')",1.1183415439661402e-05
151,"('meinung', 'mehrheit')",1.1161974379215385e-05
152,"('bedingt', 'strafvollzug')",1.0965149949796877e-05
153,"('betroff', 'region')",1.0965149949796877e-05
154,"('corporat', 'governanc')",1.0965149949796877e-05
155,"('finanzlag', 'bund')",1.091452263847903e-05
156,"('frank', 'gesproch')",1.091452263847903e-05
157,"('geistig', 'eigentum')",1.091452263847903e-05
158,"('tief', 'greifend')",1.091452263847903e-05
159,"('bitt', 'mehrheit')",1.0912293818288657e-05
160,"('grundsatz', 'falsch')",1.090359540195708e-05
161,"('prozent', 'bruttoinlandprodukt')",1.090359540195708e-05
162,"('satz', 'prozent')",1.090359540195708e-05
163,"('vorgeschlag', 'massnahm')",1.090359540195708e-05
164,"('klar', 'deutlich')",1.087074025884166e-05
165,"('status', 'quo')",1.0712466780705304e-05
166,"('offent', 'unternehm')",1.0604478468245754e-05
167,"('grossenordn', 'million')",1.0593902182047954e-05
168,"('ausdruck', 'bring')",1.0582065246590582e-05
169,"('sozial', 'okolog')",1.0518093614160706e-05
170,"('sturm', 'lothar')",1.037483822355816e-05
171,"('vorgeschlag', 'losung')",1.037483822355816e-05
172,"('auftrag', 'erfull')",1.0326661034639333e-05
173,"('beachtung', 'schenk')",1.0326661034639333e-05
174,"('beding', 'erfullt')",1.0326661034639333e-05
175,"('frank', 'bewill')",1.0326661034639333e-05
176,"('geeignet', 'massnahm')",1.0326661034639333e-05
177,"('kanton', 'organisation')",1.0326661034639333e-05
178,"('stellungnahm', 'motion')",1.0326661034639333e-05
179,"('alt', 'leut')",1.0264222388481039e-05
180,"('armst', 'land')",1.0264222388481039e-05
181,"('beschluss', 'parlament')",1.0264222388481039e-05
182,"('brief', 'paket')",1.0264222388481039e-05
183,"('konjunkturell', 'entwickl')",1.0264222388481039e-05
