Term,Accuracy,lb,ub
Term1,0.8544444444444446,0,0
Term2,0.9045454545454545,-0.04175761144040144,0.04065872692881197
Term3,0.83818181818181825,-0.053549087404966694,0.029258779716115815
Term4,0.9054545454545455,-0.014010777522766263,0.013461335266971568
Term5,0.8337878787878787,-0.052716387811188745,0.040000877183364335
