,Speaker Party,Speaker,"('aeschi', 'thomas')","('anerkannt', 'fluchtling')","('angab', 'herrn')","('annahm', 'motion')","('antrag', 'kommissionsmehr')","('antrag', 'mind')","('artikel', 'absatz')","('automat', 'informationsaustausch')","('beitrag', 'leist')","('bereit', 'heut')","('betroff', 'person')","('bitt', 'deshalb')","('bitt', 'motion')","('bund', 'kanton')","('bundesrat', 'bleib')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'maur')","('bundesrat', 'meinung')","('bundesrat', 'motion')","('bundesrat', 'vorgeschlag')","('burgerinn', 'burg')","('buro', 'beantragt')","('buro', 'festgestellt')","('buro', 'mandat')","('conseil', 'fédéral')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('davon', 'ausgeh')","('de', 'la')","('deshalb', 'bitt')","('deshalb', 'bundesrat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('drei', 'jahr')","('ehrlich', 'gesagt')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('eidgenoss', 'zollverwalt')","('einfach', 'sag')","('entscheid', 'fall')","('entwurf', 'bundesrat')","('erklart', 'buro')","('erleichtert', 'einburger')","('erneuerbar', 'energi')","('ersatz', 'list')","('ersetzt', 'zuruckgetret')","('erst', 'lini')","('erst', 'mal')","('etwa', 'milliard')","('etwa', 'prozent')","('festgestellt', 'wahl')","('finanzkommission', 'empfiehlt')","('fluchtling', 'vorlauf')","('frag', 'herr')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'nationalratin')","('frau', 'standeratin')","('fuss', 'veloverkehr')","('ganz', 'wichtig')","('gebund', 'ausgab')","('geh', 'davon')","('geht', 'darum')","('geht', 'einfach')","('geht', 'frag')","('geht', 'ja')","('geltend', 'recht')","('genet', 'untersuch')","('gern', 'bereit')","('gesagt', 'herr')","('geschatzt', 'frau')","('geschatzt', 'herr')","('geschatzt', 'kolleg')","('geschatzt', 'kollegin')","('gesetz', 'grundlag')","('gewahlt', 'erklart')","('gibt', 'viel')","('glaub', 'wichtig')","('gleich', 'lang')","('grund', 'dafur')","('grund', 'weshalb')","('gultig', 'zustand')","('gut', 'gemeint')","('guterabwag', 'vorzunehm')","('hauslich', 'gewalt')","('herr', 'bundesrat')","('herr', 'caroni')","('herr', 'kolleg')","('herr', 'matt')","('herr', 'nationalrat')","('herr', 'pardini')","('herr', 'standerat')","('herrn', 'standerat')","('heut', 'geltend')","('heut', 'morg')","('heut', 'schon')","('heutig', 'rentnerinn')","('illegal', 'migrant')","('imm', 'mehr')","('interess', 'daran')","('international', 'recht')","('international', 'standard')","('ja', 'sag')","('ja', 'schon')","('kolleg', 'caroni')","('kolleg', 'glattli')","('komm', 'sag')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'unterstutz')","('kommissionsmehr', 'unterstutz')","('kommissionssprech', 'gesagt')","('lang', 'spiess')","('leb', 'bedroht')","('legt', 'dar')","('lehnt', 'spfraktion')","('leib', 'leb')","('letzt', 'jahr')","('leutenegg', 'oberholz')","('losung', 'find')","('macht', 'sinn')","('mandat', 'festgestellt')","('mandat', 'unvereinbar')","('mehrheit', 'finanzkommission')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('milliard', 'frank')","('million', 'frank')","('mind', 'aeschi')","('mind', 'i')","('mind', 'ii')","('mocht', 'bitt')","('mocht', 'bundesrat')","('mocht', 'einfach')","('mocht', 'kurz')","('motion', 'ablehn')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'verlangt')","('muss', 'schon')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nein', 'sag')","('neu', 'aufgab')","('offent', 'beschaffungswes')","('offent', 'hand')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('parlamentar', 'mandat')","('parlamentsgesetz', 'parlamentar')","('partenair', 'tarifair')","('patientinn', 'patient')","('polit', 'bildung')","('postulat', 'abzulehn')","('pro', 'jahr')","('rentnerinn', 'rentn')","('rund', 'milliard')","('rund', 'prozent')","('sag', 'bundesrat')","('sag', 'gern')","('sag', 'ja')","('sag', 'mal')","('sag', 'sei')","('schluss', 'gekomm')","('schon', 'gesagt')","('schutz', 'privatsphar')","('seit', 'fahn')","('seit', 'jahr')","('servic', 'public')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sicht', 'svpfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'lehnt')","('spfraktion', 'mind')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('sprech', 'spfraktion')","('st', 'gall')","('stadt', 'gemeind')","('standerat', 'engl')","('svpfraktion', 'bitt')","('svpfraktion', 'lehnt')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('unbegleitet', 'minderjahr')","('uns', 'sicht')","('unternehmenssteuerreform', 'iii')","('unterstutzt', 'spfraktion')","('unterstutzt', 'svpfraktion')","('unvereinbar', 'war')","('versich', 'bundesrat')","('viel', 'dank')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorab', 'festzuhalt')","('vorhin', 'gesagt')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('wahl', 'herrn')","('war', 'buro')","('weshalb', 'bundesrat')","('wurd', 'gesagt')","('z', 'b')","('zinsbereinigt', 'gewinnsteu')","('zwanzig', 'jahr')","('zweit', 'saul')","('zwingend', 'lebenslang')"
58,Schweizerische Volkspartei (SVP),Ueli Maurer,58,0,0,49,17,238,141,72,11,5,8,6,89,56,77,112,11,0,33,12,21,28,0,0,0,0,28,29,64,34,40,0,4,2,78,6,46,4,27,34,27,17,13,124,0,0,0,0,0,3,7,58,67,0,0,0,16,27,0,0,16,0,0,1,0,7,37,181,89,25,31,16,27,0,12,0,0,0,0,0,24,0,13,2,25,16,10,0,34,28,0,0,1,3,6,7,9,8,10,2,21,15,0,0,18,7,15,53,14,22,0,0,1,42,3,0,0,2,23,0,0,0,0,179,36,82,61,0,0,0,139,0,0,253,567,35,39,25,25,3,12,3,6,76,75,2,21,254,5,0,0,27,41,11,25,2,24,0,0,0,0,4,12,33,0,14,19,10,2,9,1,6,18,21,17,3,34,0,38,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,1,200,50,0,0,0,0,0,51,0,17,3,2,0,1,0,7,9,31,32,33,2,0
59,Schweizerische Volkspartei (SVP),Ulrich Giezendanner,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,11,22,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,4,4,16,7,0,0,0,0,0,1,0,0,0,0,0,17,0,15,0,0,3,0,0,0,4,4,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,23,25,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,16,1,0,0,0,0,0,0,1,0,3,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,3,0,0
60,Schweizerische Volkspartei (SVP),Verena Herzog,3,0,0,0,0,14,36,0,2,13,1,6,3,1,0,0,0,0,0,1,0,8,0,0,0,0,1,1,1,0,1,0,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,5,0,1,1,0,0,0,0,12,0,3,0,3,0,0,0,1,0,0,1,0,1,2,5,7,1,0,0,0,0,3,6,0,3,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,6,0,0,8,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,3,3,0,0,0,10,0,2,22,20,0,2,3,0,0,3,0,0,4,1,0,0,0,0,0,7,0,1,0,1,0,37,0,0,0,4,0,5,10,3,2,6,0,0,1,0,1,1,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,2,1,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,15,0,1,3,0
61,Schweizerische Volkspartei (SVP),Walter Wobmann,0,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,1,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0
62,Schweizerische Volkspartei (SVP),Werner Hösli,0,14,0,6,4,9,12,0,1,4,0,2,5,12,0,5,1,0,1,1,1,3,0,0,0,0,0,0,18,1,5,0,1,1,0,1,0,6,2,0,5,7,1,2,0,0,4,0,0,14,0,2,9,0,0,4,0,16,7,21,6,0,2,0,0,5,12,6,3,1,4,5,1,0,0,0,0,0,0,0,2,0,4,0,2,2,1,0,4,0,0,8,0,3,0,0,0,0,0,0,2,10,0,0,20,0,0,2,1,6,0,0,0,5,0,0,0,0,2,0,0,0,0,12,0,4,2,0,0,1,6,0,0,50,84,0,5,5,0,1,0,1,0,2,2,0,2,3,0,0,0,0,6,0,5,16,7,0,0,0,0,0,0,12,3,5,4,0,0,5,3,1,1,8,0,0,3,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,30,2,0,0,0,3,16,0,3,7,0
63,Schweizerische Volkspartei (SVP),Werner Salzmann,0,0,0,0,3,6,29,0,1,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,6,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,3,1,7,0,1,0,0,0,0,0,1,6,0,1,0,4,0,0,0,1,3,7,3,0,0,1,0,1,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,12,8,0,2,5,0,1,0,1,0,0,0,1,0,2,0,0,12,1,0,0,0,0,1,0,0,0,0,0,0,5,0,2,2,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0
64,Schweizerische Volkspartei (SVP),Yvette Estermann,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,5,2,0,0,0,2,0,1,1,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,Sozialdemokratische Partei der Schweiz (SP),Adrian Wüthrich,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0
66,Sozialdemokratische Partei der Schweiz (SP),Alain Berset,0,0,0,0,1,2,5,0,0,1,6,0,0,8,0,0,0,0,1,1,3,0,0,0,0,12,3,0,1,1,0,22,0,1,0,0,4,2,1,0,1,0,0,1,0,0,0,0,0,2,1,3,3,0,0,0,3,4,0,0,0,0,6,0,0,0,1,1,3,0,0,0,3,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,10,0,0,29,26,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,3,0,0,2,0,0,15,3,0,0,5,1,3,5,1,0,0,0,0,1,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,5,0,0,16,0
67,Sozialdemokratische Partei der Schweiz (SP),Alexander Tschäppät,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,Sozialdemokratische Partei der Schweiz (SP),Angelo Barrile,0,0,0,1,2,13,15,0,2,1,0,1,1,2,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,1,1,0,2,1,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,2,13,1,1,3,1,0,0,0,2,1,0,3,1,0,2,0,0,1,0,0,0,0,1,2,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,5,0,0,0,0,0,3,4,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,26,0,0,0,4,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,12,3,0,0,0,1,3,0,1,1,0
69,Sozialdemokratische Partei der Schweiz (SP),Anita Fetz,0,0,0,5,4,17,10,3,1,1,0,7,4,9,3,0,3,5,1,4,4,6,0,0,0,0,22,1,10,12,5,0,21,3,8,0,7,8,8,2,2,9,1,11,0,0,0,0,0,4,5,6,2,0,1,0,2,14,2,7,0,0,0,0,0,8,4,13,33,7,1,6,1,0,1,0,1,3,1,0,4,0,5,1,5,1,2,0,3,0,0,15,0,0,0,0,0,0,0,1,9,5,0,0,15,4,0,0,6,11,2,0,1,1,2,0,1,5,5,0,0,0,1,34,0,4,7,0,0,6,16,0,0,101,231,0,5,3,0,3,21,1,3,9,6,4,3,15,1,0,0,0,1,0,2,0,9,0,0,0,0,0,2,18,0,9,4,0,1,9,6,1,0,11,0,1,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,14,0,0,0,0,0,8,1,0,0,2,0,0,0,0,4,13,8,4,0,0
70,Sozialdemokratische Partei der Schweiz (SP),Barbara Gysi,6,0,0,0,2,36,26,1,1,1,3,2,1,3,1,2,2,9,0,0,0,3,0,0,0,0,0,0,2,0,1,0,1,0,1,0,3,0,21,1,1,6,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,6,1,0,21,1,0,3,6,0,0,0,0,2,5,8,5,0,4,2,0,0,1,0,0,0,0,11,0,13,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,26,1,1,8,0,0,6,10,0,0,17,57,3,5,2,3,0,0,0,0,0,0,1,0,3,0,14,0,1,1,0,3,0,20,0,0,0,13,0,0,6,7,5,6,0,0,1,0,0,1,3,0,0,6,10,1,0,0,1,0,1,0,3,1,0,1,0,3,0,6,2,1,0,0,0,0,0,0,1,1,0,0,0,0,4,3,0,0,1,0,0,0,0,0,2,4,0,2,20,0
71,Sozialdemokratische Partei der Schweiz (SP),Bea Heim,5,0,0,2,3,21,33,0,0,1,1,8,4,4,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9,1,0,0,2,0,0,0,0,1,0,3,0,0,6,0,0,3,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,7,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,11,0,5,0,0,0,0,0,0,2,0,0,0,7,0,0,1,2,2,0,1,1,0,0,0,0,1,1,0,0,2,0,2,0,2,1,0,0,0,8,0,0,10,14,2,6,0,0,3,0,0,0,2,4,4,0,0,0,8,0,1,0,0,2,3,25,0,0,0,36,0,0,12,5,3,1,0,4,7,0,0,0,0,0,0,6,3,0,3,0,3,0,1,0,3,4,3,1,1,0,0,0,2,0,0,0,0,0,0,0,7,0,1,0,0,0,5,8,0,0,1,0,0,0,0,0,6,7,0,3,4,0
72,Sozialdemokratische Partei der Schweiz (SP),Beat Jans,3,0,0,2,0,26,57,2,3,2,0,9,1,8,1,1,5,2,0,0,3,2,0,0,0,0,5,2,3,4,0,0,11,0,3,0,2,1,0,0,0,1,0,7,0,0,5,0,0,3,1,3,9,0,0,0,1,6,3,3,0,0,0,0,0,9,1,1,7,4,6,4,2,0,1,4,2,0,0,1,2,0,4,1,4,4,2,0,1,0,0,14,0,0,3,0,0,0,0,0,1,9,0,0,4,0,0,4,1,1,0,0,1,0,0,0,0,0,4,0,0,2,0,11,10,7,12,0,0,0,22,1,0,28,29,3,8,10,1,0,1,1,2,2,3,2,0,0,0,3,0,0,0,0,3,2,28,0,0,0,0,0,0,2,0,4,2,1,0,1,0,1,5,2,4,0,4,0,0,1,0,28,6,0,3,1,1,0,3,0,5,2,1,0,1,0,0,0,0,0,0,34,9,1,0,0,0,5,12,0,0,3,0,0,0,0,0,5,10,15,5,0,0
73,Sozialdemokratische Partei der Schweiz (SP),Chantal Galladé,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
74,Sozialdemokratische Partei der Schweiz (SP),Christian Levrat,0,1,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
75,Sozialdemokratische Partei der Schweiz (SP),Claude Hêche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Sozialdemokratische Partei der Schweiz (SP),Claude Janiak,0,0,0,6,1,6,31,0,0,4,3,10,3,5,0,10,2,2,2,4,4,7,0,0,0,0,2,0,15,2,4,3,4,3,0,1,7,0,0,1,2,5,1,12,0,0,0,0,0,3,4,0,2,0,0,0,0,1,3,25,1,0,0,0,2,4,0,5,15,1,9,4,12,1,0,2,0,0,2,0,17,0,2,0,1,2,7,0,0,0,6,3,3,23,0,2,0,0,0,1,2,10,0,0,3,0,0,0,1,9,4,0,3,8,25,0,0,0,0,0,0,0,0,16,1,5,1,0,0,0,4,0,0,18,16,0,2,0,4,1,13,2,1,11,8,5,0,4,0,0,0,0,0,0,6,35,21,0,0,0,0,1,0,0,0,3,3,0,0,1,0,3,3,8,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,3,1,10,0,3,0,0
77,Sozialdemokratische Partei der Schweiz (SP),Claudia Friedl,0,0,0,1,0,6,3,0,2,2,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,1,7,1,0,1,0,0,0,0,1,9,1,2,1,0,2,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,4,4,0,0,7,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,1,0,0,0,2,0,0,6,16,0,1,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,6,1,4,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,1,0,1,1,0,0,0,1,3,3,0,0,0,0,0,0,0,0,6,0,2,0,0
78,Sozialdemokratische Partei der Schweiz (SP),Corrado Pardini,5,0,0,1,2,28,56,2,2,6,2,0,1,12,8,5,1,0,0,0,3,13,0,0,0,0,0,0,2,0,5,0,0,0,1,1,0,0,1,2,0,0,1,15,0,0,0,0,0,4,2,0,0,0,0,0,1,3,2,8,0,3,0,0,0,3,0,2,13,0,1,1,10,0,2,0,0,1,8,4,7,0,2,0,7,1,0,0,1,1,0,9,0,6,1,0,0,0,0,1,10,1,0,0,4,1,2,4,1,0,0,2,0,3,14,1,0,2,8,0,0,0,0,3,13,1,4,0,0,0,83,0,0,15,13,5,5,4,0,1,0,0,0,2,1,6,0,4,0,1,0,0,0,3,4,0,38,0,0,0,0,1,0,3,1,4,2,0,0,3,0,0,1,0,0,0,8,1,0,0,0,9,4,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,5,2,0,0,0,4,1,0,0,2,0,0,0,0,0,2,5,0,3,4,0
79,Sozialdemokratische Partei der Schweiz (SP),Cédric Wermuth,0,0,0,0,2,14,28,0,0,5,3,0,2,1,1,1,0,0,0,1,0,16,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,2,0,0,0,0,3,2,0,3,0,0,0,3,3,1,1,0,0,1,1,1,0,5,0,5,0,0,0,0,0,2,1,0,6,2,0,0,0,0,0,0,1,1,2,0,0,0,0,2,1,0,0,0,0,4,0,23,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,1,10,2,2,6,0,0,0,24,0,0,4,6,0,6,5,1,1,0,0,0,3,1,1,0,3,0,0,0,2,1,0,3,0,9,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,1,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,3,0,0,2,0
80,Sozialdemokratische Partei der Schweiz (SP),Daniel Jositsch,0,0,0,0,0,9,5,0,0,3,4,0,1,2,1,0,0,0,0,0,6,14,0,0,0,0,2,4,8,4,3,0,3,1,0,10,18,9,1,0,0,4,1,2,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,8,5,2,0,0,0,0,0,1,25,1,2,7,0,0,1,1,0,0,1,0,5,0,2,7,0,1,2,0,1,0,3,3,13,20,0,1,0,0,0,1,16,5,0,0,2,1,2,2,2,1,9,0,2,0,20,0,0,1,0,0,0,0,2,6,0,10,7,0,0,0,8,0,0,2,2,0,0,0,1,6,2,0,0,5,5,0,3,1,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,3,0,13,4,2,2,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,11,0,1,0,6
