,Speaker Party,Phrase,Counts,Freq,N,tf_idf
126,Sozialdemokratische Partei der Schweiz (SP),"('mandat', 'unvereinbar')",22.0,1,15,59.577104424248624
132,Schweizerische Volkspartei (SVP),"('uns', 'sicht')",265.0,12,15,59.133041098265586
133,Schweizerische Volkspartei (SVP),"('international', 'recht')",94.0,8,15,59.08921398570317
135,Schweizerische Volkspartei (SVP),"('mehrheit', 'kommission')",410.0,13,15,58.67134589267603
136,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bitt')",29.0,2,15,58.43218759572567
138,Schweizerische Volkspartei (SVP),"('etwa', 'prozent')",113.0,9,15,57.72329548555695
139,Sozialdemokratische Partei der Schweiz (SP),"('imm', 'mehr')",113.0,9,15,57.72329548555695
145,Schweizerische Volkspartei (SVP),"('svpfraktion', 'vorlag')",21.0,1,15,56.869054223146414
146,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'antrag')",21.0,1,15,56.869054223146414
147,Sozialdemokratische Partei der Schweiz (SP),"('sprech', 'spfraktion')",21.0,1,15,56.869054223146414
148,Sozialdemokratische Partei der Schweiz (SP),"('gewahlt', 'erklart')",21.0,1,15,56.869054223146414
149,Sozialdemokratische Partei der Schweiz (SP),"('gultig', 'zustand')",21.0,1,15,56.869054223146414
150,Sozialdemokratische Partei der Schweiz (SP),"('buro', 'mandat')",21.0,1,15,56.869054223146414
151,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'unterstutz')",62.0,6,15,56.810025376197615
153,Schweizerische Volkspartei (SVP),"('darauf', 'hingewies')",183.0,11,15,56.75835187960262
156,Sozialdemokratische Partei der Schweiz (SP),"('daran', 'erinn')",89.0,8,15,55.946170688591295
157,Schweizerische Volkspartei (SVP),"('eidgenoss', 'finanzkontroll')",109.0,9,15,55.67999299049299
165,Schweizerische Volkspartei (SVP),"('seit', 'fahn')",87.0,8,15,54.68895336974655
166,Sozialdemokratische Partei der Schweiz (SP),"('hauslich', 'gewalt')",107.0,9,15,54.65834174296101
168,Schweizerische Volkspartei (SVP),"('zwanzig', 'jahr')",134.0,10,15,54.33232448649403
169,Schweizerische Volkspartei (SVP),"('z', 'b')",243.0,12,15,54.22388296935297
172,Schweizerische Volkspartei (SVP),"('unterstutzt', 'svpfraktion')",20.0,1,15,54.1610040220442
173,Schweizerische Volkspartei (SVP),"('mocht', 'bitt')",86.0,8,15,54.06034471032417
175,Schweizerische Volkspartei (SVP),"('geht', 'darum')",375.0,13,15,53.66281636525247
177,Sozialdemokratische Partei der Schweiz (SP),"('de', 'la')",85.0,8,15,53.4317360509018
179,Schweizerische Volkspartei (SVP),"('geschatzt', 'kollegin')",70.0,7,15,53.34980364328277
180,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'rechtsfrag')",172.0,11,15,53.34664766826039
183,Schweizerische Volkspartei (SVP),"('herr', 'pardini')",40.0,4,15,52.87023359929278
185,Schweizerische Volkspartei (SVP),"('losung', 'find')",130.0,10,15,52.71046405406137
186,Sozialdemokratische Partei der Schweiz (SP),"('glaub', 'wichtig')",69.0,7,15,52.587663591235874
188,Sozialdemokratische Partei der Schweiz (SP),"('offent', 'hand')",129.0,10,15,52.30499894595321
190,Schweizerische Volkspartei (SVP),"('direkt', 'demokrati')",128.0,10,15,51.89953383784504
192,Sozialdemokratische Partei der Schweiz (SP),"('sag', 'bundesrat')",68.0,7,15,51.82552353918898
193,Schweizerische Volkspartei (SVP),"('geh', 'davon')",232.0,12,15,51.76930390489667
194,Sozialdemokratische Partei der Schweiz (SP),"('wurd', 'gesagt')",101.0,9,15,51.59338800036506
196,Schweizerische Volkspartei (SVP),"('geschatzt', 'frau')",82.0,8,15,51.545910072634676
201,Schweizerische Volkspartei (SVP),"('bundesrat', 'folg')",166.0,11,15,51.485718098437346
205,Schweizerische Volkspartei (SVP),"('mehrheit', 'svpfraktion')",19.0,1,15,51.45295382094199
206,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'lehnt')",19.0,1,15,51.45295382094199
207,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'vorlag')",19.0,1,15,51.45295382094199
208,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bittet')",19.0,1,15,51.45295382094199
209,Sozialdemokratische Partei der Schweiz (SP),"('angab', 'herrn')",19.0,1,15,51.45295382094199
211,Sozialdemokratische Partei der Schweiz (SP),"('heut', 'geltend')",67.0,7,15,51.06338348714208
212,Sozialdemokratische Partei der Schweiz (SP),"('grund', 'dafur')",81.0,8,15,50.9173014132123
213,Sozialdemokratische Partei der Schweiz (SP),"('sicht', 'bundesrat')",81.0,8,15,50.9173014132123
214,Sozialdemokratische Partei der Schweiz (SP),"('offent', 'verkehr')",164.0,11,15,50.86540824182967
215,Schweizerische Volkspartei (SVP),"('drei', 'jahr')",125.0,10,15,50.68313851352055
216,Sozialdemokratische Partei der Schweiz (SP),"('mocht', 'einfach')",99.0,9,15,50.57173675283308
218,Schweizerische Volkspartei (SVP),"('mind', 'aeschi')",66.0,7,15,50.30124343509518
219,Schweizerische Volkspartei (SVP),"('ja', 'sag')",66.0,7,15,50.30124343509518
220,Sozialdemokratische Partei der Schweiz (SP),"('zinsbereinigt', 'gewinnsteu')",66.0,7,15,50.30124343509518
221,Schweizerische Volkspartei (SVP),"('frau', 'bundesprasidentin')",80.0,8,15,50.28869275378993
222,Sozialdemokratische Partei der Schweiz (SP),"('bundesrat', 'vorgeschlag')",80.0,8,15,50.28869275378993
223,Sozialdemokratische Partei der Schweiz (SP),"('aeschi', 'thomas')",80.0,8,15,50.28869275378993
224,Sozialdemokratische Partei der Schweiz (SP),"('patientinn', 'patient')",80.0,8,15,50.28869275378993
228,Sozialdemokratische Partei der Schweiz (SP),"('bereit', 'heut')",161.0,11,15,49.93494345691815
229,Schweizerische Volkspartei (SVP),"('gibt', 'viel')",65.0,7,15,49.539103383048285
231,Schweizerische Volkspartei (SVP),"('eidgenoss', 'steuerverwalt')",78.0,8,15,49.03147543494518
233,Sozialdemokratische Partei der Schweiz (SP),"('kommissionssprech', 'gesagt')",64.0,7,15,48.77696333100139
234,Sozialdemokratische Partei der Schweiz (SP),"('war', 'buro')",18.0,1,15,48.74490361983978
237,Schweizerische Volkspartei (SVP),"('kolleg', 'glattli')",53.0,6,15,48.56340878933022
238,Sozialdemokratische Partei der Schweiz (SP),"('automat', 'informationsaustausch')",77.0,8,15,48.4028667755228
240,Schweizerische Volkspartei (SVP),"('kommission', 'folg')",94.0,9,15,48.017608634003125
241,Sozialdemokratische Partei der Schweiz (SP),"('motion', 'verlangt')",94.0,9,15,48.017608634003125
246,Schweizerische Volkspartei (SVP),"('bitt', 'motion')",154.0,11,15,47.763858958791275
248,Sozialdemokratische Partei der Schweiz (SP),"('direkt', 'bundessteu')",93.0,9,15,47.506783010237136
249,Schweizerische Volkspartei (SVP),"('gesetz', 'grundlag')",117.0,10,15,47.43941764865523
251,Schweizerische Volkspartei (SVP),"('leb', 'bedroht')",43.0,5,15,47.24032841272872
252,Sozialdemokratische Partei der Schweiz (SP),"('erleichtert', 'einburger')",43.0,5,15,47.24032841272872
254,Schweizerische Volkspartei (SVP),"('etwa', 'milliard')",75.0,8,15,47.14564945667806
255,Sozialdemokratische Partei der Schweiz (SP),"('schon', 'gesagt')",92.0,9,15,46.99595738647115
