,Speaker Party,Speaker,"('absatz', 'buchstab')","('absatz', 'streich')","('allgemein', 'teil')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'buchstab')","('artikel', 'strafgesetzbuch')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('beschuldigt', 'person')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'fassung')","('bitt', 'nam')","('buchstab', 'c')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesamt', 'migration')","('bundesrat', 'beantragt')","('bundesrat', 'bereit')","('bundesrat', 'couchepin')","('bundesrat', 'leuenberg')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('buro', 'wahl')","('cvpfraktion', 'teilt')","('cvpfraktion', 'unterstutzt')","('dam', 'herr')","('darauf', 'aufmerksam')","('darum', 'bitt')","('darum', 'bundesrat')","('davon', 'uberzeugt')","('de', 'la')","('entwurf', 'bundesrat')","('erklart', 'beschluss')","('erneuerbar', 'energi')","('ersatz', 'list')","('erst', 'ersatz')","('fassung', 'bundesrat')","('fdpfraktion', 'teilt')","('folg', 'geb')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'sommaruga')","('ganz', 'genau')","('ganz', 'wichtig')","('gas', 'dampfkraftwerk')","('geht', 'darum')","('geht', 'ja')","('geltend', 'gemacht')","('geltend', 'recht')","('gemacht', 'word')","('gemass', 'artikel')","('gemeinsam', 'sorgerecht')","('gesagt', 'word')","('gesetz', 'grundlag')","('gesetz', 'regel')","('gross', 'bedeut')","('grund', 'dafur')","('herr', 'bundesprasident')","('herr', 'david')","('herr', 'kolleg')","('herr', 'schiess')","('herr', 'visch')","('herr', 'vollm')","('indirekt', 'teilliquidation')","('initiativ', 'folg')","('international', 'organisation')","('ja', 'schon')","('kalt', 'progression')","('kenntnis', 'nehm')","('klein', 'mittl')","('kolleg', 'leuenberg')","('kolleg', 'schmid')","('kollegin', 'fetz')","('kollektiv', 'kapitalanlag')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('konsumentinn', 'konsument')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'unterstutz')","('mehrheit', 'unterstutzt')","('mehrheit', 'wak')","('mehrheit', 'zustimmt')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'darauf')","('mocht', 'nochmal')","('motion', 'anzunehm')","('muss', 'einfach')","('muss', 'seh')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('nationalratsmandat', 'besteht')","('natur', 'frag')","('natur', 'schon')","('neu', 'gesetz')","('neu', 'regionalpolit')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('prasenz', 'schweiz')","('pro', 'helvetia')","('richterinn', 'richt')","('rund', 'million')","('sbb', 'cargo')","('schweiz', 'tourismus')","('sicht', 'spfraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantragt')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'teilt')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('standerat', 'folg')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'artikel')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'teilt')","('svpfraktion', 'unterstutzt')","('teil', 'antrag')","('teilt', 'antrag')","('tut', 'leid')","('uns', 'kommission')","('unterstutzt', 'antrag')","('unvereinbar', 'nationalratsmandat')","('verfug', 'stell')","('vier', 'jahr')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('worum', 'geht')","('zwei', 'drei')"
87,Sozialdemokratische Partei der Schweiz (SP),Micheline Calmy-Rey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Sozialdemokratische Partei der Schweiz (SP),Moritz Leuenberger,9,4,0,0,12,20,14,40,0,0,21,2,0,11,1,0,0,5,0,4,0,0,0,0,1,3,9,11,1,5,12,0,0,14,0,0,0,0,0,7,0,0,8,3,16,0,51,0,0,2,0,2,0,5,0,4,6,16,3,15,31,15,6,11,13,5,0,7,28,4,5,7,0,5,0,2,2,0,0,1,0,28,0,2,1,0,1,0,0,4,8,3,6,11,44,2,0,0,0,5,0,3,8,17,4,5,6,14,0,0,0,0,4,0,2,1,9,0,15,0,5,1,0,0,10,70,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,10,10,10,1,6,3
89,Sozialdemokratische Partei der Schweiz (SP),Pascale Bruderer Wyss,9,0,0,0,0,0,7,12,0,0,16,1,0,0,0,0,0,0,0,2,0,1,1,0,7,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,6,1,0,1,0,3,0,0,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,7,2,0,0,0,0,0,0,6,2,0,0,1,0,6,12,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,4,0,0,0,2,1,1,0,1,4,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,2,3,0,1,0
90,Sozialdemokratische Partei der Schweiz (SP),Paul Günter,0,0,0,0,0,1,0,6,0,0,6,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,1,2,0,0,0,0,1,16,0,15,14,0,0,9,1,0,0,0,0,0,2,0,2,0,0,0,1,1,0,1,1,0,1,0,3,0,3,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,16,0,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,5,0,2,0,1,1
91,Sozialdemokratische Partei der Schweiz (SP),Paul Rechsteiner,2,0,2,0,0,0,3,11,16,0,9,0,0,1,0,0,0,1,42,3,0,2,0,0,0,1,1,0,0,0,0,1,0,0,6,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,8,3,2,0,2,1,0,4,0,2,1,2,1,0,0,0,0,0,0,1,0,0,1,1,5,0,0,0,0,1,0,0,3,4,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,16,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
92,Sozialdemokratische Partei der Schweiz (SP),Peter Vollmer,6,1,1,0,3,7,3,43,0,0,13,0,0,4,0,1,0,0,0,2,0,39,2,0,5,1,1,0,0,0,2,0,22,0,6,0,0,0,1,14,0,1,1,0,6,0,0,0,0,7,0,10,0,0,0,1,0,2,18,0,44,8,1,3,1,0,0,4,1,0,4,1,2,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,1,3,2,0,0,10,0,0,0,0,4,0,0,19,5,3,2,2,1,6,6,0,0,0,0,1,0,3,0,18,0,2,15,3,0,0,2,14,0,2,0,0,1,0,1,0,1,0,4,0,2,3,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,6,2,0,7,4
93,Sozialdemokratische Partei der Schweiz (SP),Pierre-Alain Gentil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Sozialdemokratische Partei der Schweiz (SP),Remo Gysin,1,0,0,1,1,0,8,23,3,0,16,1,0,0,0,0,2,3,1,1,0,3,2,0,28,0,7,0,0,1,0,1,0,0,4,0,0,0,4,3,2,0,6,0,5,0,0,0,0,4,0,6,24,0,0,0,0,0,1,0,13,0,1,0,3,4,0,2,4,0,1,2,5,0,0,0,0,1,0,2,6,2,0,7,0,0,0,0,0,1,2,4,4,16,4,2,1,20,0,1,0,2,4,1,1,4,0,0,0,25,0,0,0,0,0,1,0,1,12,9,0,13,4,0,3,0,62,1,3,1,2,4,1,1,4,2,0,0,1,2,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,3,0,4,9
95,Sozialdemokratische Partei der Schweiz (SP),Rudolf Rechsteiner,2,0,0,0,0,1,9,7,2,0,16,0,0,0,0,0,0,3,6,1,0,5,0,0,2,1,2,0,0,1,2,2,0,0,11,0,0,0,0,2,0,1,0,0,1,0,42,0,0,0,0,1,0,0,0,0,0,1,0,0,10,3,2,2,0,0,0,0,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,6,5,1,0,2,0,1,0,0,0,3,0,2,1,0,1,2,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
96,Sozialdemokratische Partei der Schweiz (SP),Rudolf Strahm,2,0,0,0,0,0,0,8,0,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
97,Sozialdemokratische Partei der Schweiz (SP),Ruth-Gaby Vermot-Mangold,11,4,0,0,0,0,1,23,1,0,31,1,0,0,16,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,11,1,0,2,2,3,11,1,0,0,0,1,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,7,0,11,0,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,8,0,1
98,Sozialdemokratische Partei der Schweiz (SP),Silvia Schenker,1,0,2,0,0,0,0,29,0,0,6,0,0,0,0,0,0,0,2,0,0,2,2,0,7,1,4,0,0,0,2,3,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,0,0,0,1,0,1,4,0,0,0,9,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,Sozialdemokratische Partei der Schweiz (SP),Simonetta Sommaruga,5,3,0,1,3,11,12,17,2,0,14,0,0,1,0,1,0,1,0,6,0,43,0,0,4,2,5,6,0,1,6,3,1,2,14,0,0,0,0,5,0,0,3,0,6,0,19,0,0,1,0,2,8,1,4,0,0,3,4,0,14,8,0,1,2,8,0,0,7,1,6,8,0,1,15,3,0,0,7,2,1,2,3,9,3,0,2,1,0,7,5,4,24,3,11,2,0,5,0,1,0,0,4,7,0,6,1,0,2,0,0,7,2,0,3,0,0,0,5,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,4,14,1,4,5
100,Sozialdemokratische Partei der Schweiz (SP),Susanne Leutenegger Oberholzer,1,0,4,43,1,10,10,40,6,0,62,0,0,2,11,0,2,3,3,4,0,39,2,1,8,0,11,5,0,1,7,5,5,1,66,0,0,0,10,1,1,0,4,0,30,0,0,0,0,10,0,6,3,0,0,0,0,2,6,0,9,3,16,28,7,6,0,4,12,4,2,3,12,0,1,0,3,0,2,6,0,1,7,2,7,0,0,0,16,3,9,26,36,5,24,0,0,7,0,3,6,1,1,31,15,1,1,0,2,9,0,0,2,0,1,0,7,0,38,0,4,0,0,12,6,0,0,3,0,0,2,0,6,0,0,0,0,0,0,0,6,2,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,3,0,6,0,5,2
101,Sozialdemokratische Partei der Schweiz (SP),Urs Hofmann,0,0,0,0,1,4,2,7,6,0,0,3,0,5,0,0,0,0,0,0,0,8,0,0,3,0,5,0,0,1,1,0,0,0,38,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,13,0,0,0,1,2,0,0,5,2,0,0,0,0,6,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,6,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,4,0,0,4,3
102,Sozialdemokratische Partei der Schweiz (SP),Ursula Wyss,5,0,0,0,0,1,0,1,0,0,5,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,7,0,0,0,0,2,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,3,0,15,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1
103,Sozialdemokratische Partei der Schweiz (SP),Vreni Hubmann,3,3,0,0,0,0,4,46,0,0,20,1,0,0,19,1,0,0,0,2,6,26,3,2,3,0,3,0,1,0,1,0,0,0,2,0,0,0,1,1,2,0,1,0,4,0,0,0,0,10,0,4,2,0,0,3,0,0,4,0,3,0,1,1,1,2,0,0,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,15,0,1,1,0,1,0,0,2,0,0,1,0,0,1,0,0,1,9,0,0,0,0,0,0,1,0,15,1,0,0,0,2,0,0,0,0,10,0,4,0,0,0,1,3,0,5,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,6,1,0
104,Sozialdemokratische Partei der Schweiz (SP),Vreni Müller-Hemmi,1,0,0,0,2,5,4,12,0,1,8,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,9,0,1,3,2,10,0,0,1,0,0,0,1,1,0,6,1,2,3,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,7,0,0,2,0,0,1,0,0,0,0,0,0,2,0,8,0,0,1,0,0,0,2,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,12,5,0,0,0,0,0,1,11,0,0,0,0,0,22,0,6,0,0,0,2,1,0,0,0,1,0,0,0,5,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,18,1,3,2,0
105,Sozialdemokratische Partei der Schweiz (SP),Werner Marti,0,2,0,0,1,4,11,33,1,0,12,2,0,8,0,1,1,0,0,5,0,0,0,0,0,1,4,0,0,0,1,1,1,0,4,0,0,0,5,6,0,0,0,0,3,0,0,0,0,8,0,0,1,0,1,1,0,1,0,0,18,2,1,4,6,4,0,7,3,2,2,1,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,4,1,0,9,3,19,2,0,0,0,7,0,6,0,3,2,1,2,0,3,16,0,1,1,0,1,0,0,0,0,0,3,3,0,0,2,2,0,0,0,3,1,0,1,0,0,3,0,2,1,1,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6,0,7,0,5,0
