,Speaker Party,Phrase,Counts,Freq,N,tf_idf
0,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",249.0,2,13,466.0787420484962
2,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",266.0,4,13,313.5222290268779
7,Sozialdemokratische Partei der Schweiz (SP),"('teilt', 'antrag')",153.0,4,13,180.33421444027186
18,Schweizerische Volkspartei (SVP),"('mehrheit', 'kommission')",319.0,9,13,117.30420485997624
19,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'unterstutzt')",99.0,4,13,116.68684463782297
22,Schweizerische Volkspartei (SVP),"('svpfraktion', 'lehnt')",41.0,1,13,105.16292365592301
23,Schweizerische Volkspartei (SVP),"('svpfraktion', 'unterstutzt')",89.0,4,13,104.90029467440651
24,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bitt')",40.0,1,13,102.59797429846147
25,Schweizerische Volkspartei (SVP),"('kommission', 'beantragt')",164.0,7,13,101.52243017862065
28,Sozialdemokratische Partei der Schweiz (SP),"('mehrheit', 'kommission')",269.0,9,13,98.91796585371037
29,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'mind')",38.0,1,13,97.4680755835384
30,Schweizerische Volkspartei (SVP),"('muss', 'seh')",156.0,7,13,96.57011651137087
37,Schweizerische Volkspartei (SVP),"('darum', 'bitt')",177.0,8,13,85.93488339336105
40,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bitt')",58.0,3,13,85.04754999001877
43,Sozialdemokratische Partei der Schweiz (SP),"('konsumentinn', 'konsument')",131.0,7,13,81.09413630121529
45,Sozialdemokratische Partei der Schweiz (SP),"('schweiz', 'tourismus')",103.0,6,13,79.63855848804862
47,Schweizerische Volkspartei (SVP),"('stimm', 'enthalt')",214.0,9,13,78.69310294681792
54,Schweizerische Volkspartei (SVP),"('herr', 'kolleg')",208.0,9,13,76.486754266066
69,Schweizerische Volkspartei (SVP),"('kommission', 'rechtsfrag')",144.0,8,13,69.91312547256491
73,Schweizerische Volkspartei (SVP),"('artikel', 'absatz')",870.0,12,13,69.63715567597663
74,Sozialdemokratische Partei der Schweiz (SP),"('anlegerinn', 'anleg')",59.0,4,13,69.54064478415712
75,Schweizerische Volkspartei (SVP),"('gemass', 'artikel')",189.0,9,13,69.49998344368498
76,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'beantragt')",112.0,7,13,69.33239134149703
