,Speaker Party,Phrase,Counts,Freq,N,tf_idf
0,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",206.0,2,12,369.10245066097934
2,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'unterstutzt')",110.0,1,12,273.33973147668
5,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",165.0,3,12,228.73856958478194
12,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'standerat')",176.0,6,12,121.99390377855038
18,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'antrag')",43.0,1,12,106.85098594088402
19,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bitt')",43.0,1,12,106.85098594088402
21,Sozialdemokratische Partei der Schweiz (SP),"('sicht', 'bundesrat')",177.0,7,12,95.40238062968558
22,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'nationalrat')",137.0,6,12,94.9611637367125
24,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'lehnt')",36.0,1,12,89.45663939236802
26,Sozialdemokratische Partei der Schweiz (SP),"('mehrheit', 'spfraktion')",34.0,1,12,84.48682609279201
28,Schweizerische Volkspartei (SVP),"('svpfraktion', 'unterstutzt')",57.0,3,12,79.01877858383376
35,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'rechtsfrag')",247.0,9,12,71.05747189558987
38,Sozialdemokratische Partei der Schweiz (SP),"('vorlauf', 'anwend')",101.0,6,12,70.00786523655448
41,Sozialdemokratische Partei der Schweiz (SP),"('best', 'dank')",128.0,7,12,68.99155209378392
45,Schweizerische Volkspartei (SVP),"('svpfraktion', 'lehnt')",27.0,1,12,67.092479544276
46,Sozialdemokratische Partei der Schweiz (SP),"('unterstutzt', 'spfraktion')",27.0,1,12,67.092479544276
47,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'bundesrat')",230.0,9,12,66.16687666390959
48,Sozialdemokratische Partei der Schweiz (SP),"('sinn', 'bitt')",121.0,7,12,65.21857658865511
49,Sozialdemokratische Partei der Schweiz (SP),"('einburgerungsgesuch', 'stell')",74.0,5,12,64.78468656418859
53,Schweizerische Volkspartei (SVP),"('herr', 'bundesrat')",223.0,9,12,64.15310215674712
